Volume,Age Age 0 to 85+,Age 0 to 4,Age 5 to 9,Age 10 to 14,Age 15 to 19,Age 20 to 24,Age 25 to 29,Age 30 to 34,Age 35 to 39,Age 40 to 44,Age 45 to 49,Age 50 to 54,Age 55 to 59,Age 60 to 64,Age 65 to 69,Age 70 to 74,Age 75 to 79,Age 80 to 84,Age 85+
11,174,0,1,0,1,1,3,12,8,14,27,19,19,23,13,13,15,2,3
1,4,0,0,0,0,0,0,0,0,1,1,0,0,1,0,1,0,0,0
2,3,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,0,0,0
3,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
4,7,0,0,0,0,0,2,0,0,1,1,0,0,1,1,1,0,0,0
5,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
6,11,0,0,0,0,0,0,0,2,0,0,2,1,1,3,0,1,1,0
7,21,0,0,0,0,0,0,1,0,1,2,3,5,3,2,1,1,1,0
8,51,0,0,0,,1,1,2,3,2,6,6,6,7,4,5,6,0,1
9,75,0,0,0,0,0,1,1,3,6,7,11,12,10,8,5,6,3,2
10,185,0,0,0,1,0,3,2,4,20,14,28,23,27,17,22,13,8,3
Total,533,0,1,0,2,2,10,18,20,46,58,69,67,74,49,49,42,16,9
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
