Volume,Age 0 to 85+,Age 0 to 4,Age 5 to 9,Age 10 to 14,Age 15 to 19,Age 20 to 24,Age 25 to 29,Age 30 to 34,Age 35 to 39,Age 40 to 44,Age 45 to 49,Age 50 to 54,Age 55 to 59,Age 60 to 64,Age 65 to 69,Age 70 to 74,Age 75 to 79,Age 80 to 84,Age 85+
11,3233,1,0,1,3,19,21,55,111,158,265,302,373,392,391,410,344,212,173
1,65,0,0,0,0,1,0,0,2,3,10,3,9,8,12,9,4,3,0
2,93,0,0,0,0,0,1,0,2,4,11,6,9,16,17,15,11,0,0
3,109,0,0,0,0,1,0,0,1,6,10,10,13,15,18,15,17,2,1
4,203,0,0,0,0,0,1,3,6,16,18,21,26,22,22,29,29,,0
5,274,0,1,0,0,3,1,6,3,16,17,25,25,38,43,38,33,15,10
6,547,1,0,0,3,1,4,14,15,26,23,34,68,78,82,81,58,41,14
7,581,0,0,1,2,2,4,9,21,25,42,50,70,82,81,77,55,39,21
8,1003,0,3,1,2,4,8,10,43,80,85,94,116,129,135,113,82,62,33
9,1434,1,1,0,0,10,12,32,40,97,119,144,144,195,200,155,138,75,64
10,2207,0,1,0,3,9,13,45,76,133,168,253,251,278,254,278,198,141,98
,9749,3,6,3,13,50,65,174,320,564,768,942,1104,1253,1255,1220,969,590,414
