Volume,Age 0 to 85+,Age 0 to 4,Age 5 to 9,Age 10 to 14,Age 15 to 19,Age 20 to 24,Age 25 to 29,Age 30 to 34,Age 35 to 39,Age 40 to 44,Age 45 to 49,Age 50 to 54,Age 55 to 59,Age 60 to 64,Age 65 to 69,Age 70 to 74,Age 75 to 79,Age 80 to 84,Age 85+
11,10771,1,0,0,1,11,11,44,139,259,409,654,992,1471,1558,1732,1478,1211,800
1,384,0,1,1,0,0,1,1,8,11,23,32,42,49,74,49,44,38,10
2,616,0,0,1,0,0,4,4,13,17,25,71,72,97,87,99,74,38,14
3,1262,0,0,0,1,0,6,14,21,36,65,104,137,186,213,188,140,103,48
4,1338,2,0,0,3,5,8,10,20,37,66,86,96,192,235,230,197,97,53
5,2092,0,1,0,2,2,5,15,33,46,83,133,185,245,348,380,297,211,104
6,2931,0,0,1,3,3,6,16,45,85,120,211,276,385,412,497,453,258,160
7,2487,0,0,0,1,6,4,21,33,64,124,180,256,328,393,342,360,253,122
8,3678,1,0,0,2,4,8,24,50,116,171,259,331,436,585,616,462,343,266
9,5623,1,0,0,1,5,7,30,60,150,259,443,541,710,827,871,850,465,399
10,7664,0,0,1,0,7,17,39,91,223,337,509,762,1024,1155,1204,1091,718,486
,38846,5,2,4,14,43,77,218,513,1044,1682,2682,3690,5123,5887,6208,5446,3735,2462
