Volume,Age 0 to 85+,Age 0 to 4,Age 5 to 9,Age 10 to 14,Age 15 to 19,Age 20 to 24,Age 25 to 29,Age 30 to 34,Age 35 to 39,Age 40 to 44,Age 45 to 49,Age 50 to 54,Age 55 to 59,Age 60 to 64,Age 65 to 69,Age 70 to 74,Age 75 to 79,Age 80 to 84,Age 85+
11,10837,0,2,1,3,9,19,61,141,304,542,821,1150,1459,1634,1430,1316,1051,894
1,140,0,0,0,0,0,1,4,3,0,4,17,12,19,30,23,17,7,3
2,119,0,0,0,0,1,0,5,3,4,9,19,16,13,23,10,7,6,2
3,535,0,0,0,0,0,2,8,11,19,36,54,61,71,72,69,71,35,19
4,1190,0,0,1,0,0,7,8,14,53,69,113,134,173,178,163,159,83,63
5,1381,0,0,0,0,1,1,13,19,44,77,100,153,185,215,186,165,121,99
6,1508,0,0,0,1,3,4,13,11,50,71,102,181,213,246,219,187,118,87
7,1216,0,0,0,0,2,2,7,21,34,46,75,119,153,216,197,158,119,66
8,2192,0,0,1,0,3,6,22,38,65,113,156,208,273,339,349,304,186,129
9,7675,0,2,0,2,2,12,52,129,249,465,658,838,854,991,1127,1007,733,550
10,9100,2,0,0,1,7,24,63,109,291,515,727,972,1108,1242,1182,1188,968,700
,35893,2,4,3,7,28,78,256,499,1113,1947,2842,3844,4521,5186,4955,4579,3427,2612
