Volume,Age 0 to 85+,Age 0 to 4,Age 5 to 9,Age 10 to 14,Age 15 to 19,Age 20 to 24,Age 25 to 29,Age 30 to 34,Age 35 to 39,Age 40 to 44,Age 45 to 49,Age 50 to 54,Age 55 to 59,Age 60 to 64,Age 65 to 69,Age 70 to 74,Age 75 to 79,Age 80 to 84,Age 85+
11,749,0,0,1,0,2,1,7,12,18,30,47,76,105,118,102,81,76,73
1,384,0,1,1,0,0,1,1,8,11,23,32,42,49,74,49,44,38,10
2,15,0,0,1,0,0,5,7,23,27,40,119,118,156,131,156,119,51,21
3,26,0,0,0,0,0,1,0,1,3,1,3,0,5,3,1,5,0,3
4,143,0,0,0,1,0,0,0,2,3,18,13,18,22,19,18,16,7,6
5,218,0,0,0,0,0,0,3,7,7,14,24,28,28,33,24,24,16,10
6,261,0,0,1,0,0,1,2,7,5,15,19,37,33,46,33,30,28,4
7,363,0,0,1,1,1,5,5,7,11,13,20,31,49,65,52,52,35,15
8,436,0,1,0,0,2,1,2,8,16,24,32,39,53,69,62,53,45,29
9,438,0,0,0,0,1,1,4,9,14,19,21,47,54,58,77,61,46,26
10,619,0,0,0,1,2,0,5,6,18,23,42,71,67,87,91,99,64,43
,3652,0,2,5,3,8,16,36,90,133,220,372,507,621,703,665,584,406,240
