I,0-85+,0 to 4,5 to 9,10 to 14,15 to 19,20 to 24,25 to 29,30 to 34,35 to 39,40 to 44,45 to 49,50 to 54,55 to 59,60 to 64,65 to 69,70 to 74,75 to 79,80 to 84,85+,
Africa,5,0,2,2,0,3,4,5,4,2,4,6,6,3,6,1,6,5,5,64
SA,4,0,2,2,0,1,1,4,2,4,3,2,2,2,5,5,3,4,3,45
NA,2,0,2,2,0,3,3,1,3,5,5,1,4,4,2,3,2,2,2,44
Asia,3,0,2,2,0,2,4,5,1,3,2,4,3,5,3,4,4,3,5,52
Europe,1,0,1,1,0,3,2,3,1,1,1,3,1,1,1,2,1,1,1,24
Oceania,6,0,2,2,0,3,4,2,4,5,6,5,5,6,4,6,5,5,4,68
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
II,0-85+,0 to 4,5 to 9,10 to 14,15 to 19,20 to 24,25 to 29,30 to 34,35 to 39,40 to 44,45 to 49,50 to 54,55 to 59,60 to 64,65 to 69,70 to 74,75 to 79,80 to 84,85+,
Africa,4,0,0,2,0,2,4,4,5,4,6,5,5,6,2,3,6,4,4,62
SA,5,0,0,2,0,2,4,4,5,5,5,5,5,5,6,6,5,4,4,67
NA,2,0,0,2,0,1,4,1,4,3,4,3,3,3,3,5,3,1,3,43
Asia,3,0,0,2,0,2,3,4,2,4,1,4,4,4,5,4,4,4,4,51
Europe,1,0,0,1,0,2,2,2,3,2,3,2,2,2,4,2,2,3,2,34
Oceania,6,0,0,1,0,2,1,3,1,1,2,1,1,1,1,1,1,2,1,20
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
III,0-85+,0 to 4,5 to 9,10 to 14,15 to 19,20 to 24,25 to 29,30 to 34,35 to 39,40 to 44,45 to 49,50 to 54,55 to 59,60 to 64,65 to 69,70 to 74,75 to 79,80 to 84,85+,
Africa,6,0,0,0,2,3,4,4,5,6,6,6,3,6,6,6,3,4,6,70
SA,5,0,0,0,2,1,4,3,3,3,2,5,5,3,5,4,4,3,3,50
NA,1,0,0,0,2,3,3,1,2,1,1,2,1,1,1,1,1,1,1,22
Asia,3,0,0,0,2,2,4,4,4,5,5,3,4,4,3,3,5,5,4,57
Europe,2,0,0,0,1,3,2,2,1,4,3,1,2,2,2,2,2,2,2,31
Oceania,4,0,0,0,2,3,1,4,4,2,4,4,6,5,4,5,6,6,5,61
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
IV,0-85+,0 to 4,5 to 9,10 to 14,15 to 19,20 to 24,25 to 29,30 to 34,35 to 39,40 to 44,45 to 49,50 to 54,55 to 59,60 to 64,65 to 69,70 to 74,75 to 79,80 to 84,85+,
Africa,6,2,0,2,4,2,1,4,6,4,6,6,6,6,6,6,6,6,6,79
SA,5,2,0,2,2,2,5,4,5,5,5,4,5,5,5,5,5,4,4,69
NA,2,2,0,1,4,2,3,1,2,3,1,1,1,2,2,1,2,1,1,30
Asia,4,2,0,2,4,2,4,3,3,2,4,3,3,4,4,4,4,5,5,58
Europe,1,1,0,2,1,1,2,2,1,1,2,2,2,1,1,2,1,2,2,26
Oceania,3,2,0,2,3,2,5,4,4,6,3,5,4,3,3,3,3,3,3,58
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
V,0-85+,0 to 4,5 to 9,10 to 14,15 to 19,20 to 24,25 to 29,30 to 34,35 to 39,40 to 44,45 to 49,50 to 54,55 to 59,60 to 64,65 to 69,70 to 74,75 to 79,80 to 84,85+,
Africa,6,0,3,0,2,4,4,6,6,6,6,5,6,6,6,6,6,6,6,84
SA,5,0,3,0,2,4,4,2,4,4,5,5,5,4,5,4,5,5,5,66
NA,2,0,3,0,2,3,3,3,3,1,1,1,1,2,3,2,2,3,2,35
Asia,4,0,1,0,2,1,2,5,5,5,4,3,3,5,4,3,3,2,4,52
Europe,1,0,2,0,1,2,1,1,1,2,2,2,2,1,1,1,1,1,1,22
Oceania,3,0,3,0,2,4,4,4,2,3,3,4,4,3,2,5,4,4,3,54
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
VI,0-85+,0 to 4,5 to 9,10 to 14,15 to 19,20 to 24,25 to 29,30 to 34,35 to 39,40 to 44,45 to 49,50 to 54,55 to 59,60 to 64,65 to 69,70 to 74,75 to 79,80 to 84,85+,
