XI,Breast(C50)-Male age 0-85+,,,,,,age 0-4,,,,,,,age 5-9,,,,,,,age 10-14,,,,,,,age 15-19,,,,,,,age 20-24,,,,,,,age 25-29,,,,,,,age 30-34,,,,,,,age 35-39,,,,,,,age 40-44,,,,,,,age 45-49,,,,,,,age 50-54,,,,,,,age 55-59,,,,,,,age 60-64,,,,,,,age 65-69,,,,,,,age 70-74,,,,,,,age 75-79,,,,,,,age 80-84,,,,,,,age 85+,,,,,,
Continent,Cases,Crude Rate,Std Dev,ASR((W) ,,Cumulative Rate,Cases,Crude Rate,,ASR (W),,Cumulative Rate,,Cases,Crude Rate,,ASR ,(W),Cumulative Rate,,Cases,Crude Rate,,ASR (W),,Cumulative Rate,,Cases,Crude Rate,,ASR (W),,Cumulative Rate,,Cases,Crude Rate,,ASR (W),,Cumulative Rate,,Cases,Crude Rate,,ASR (W),,Cumulative Rate,,Cases,Crude Rate,,ASR (W),,Cumulative Rate,,Cases,Crude Rate,,ASR (W),,Cumulative Rate,,Cases,Crude Rate,,ASR (W),,Cumulative Rate,,Cases,Crude Rate,,ASR (W),,Cumulative Rate,,Cases,Crude Rate,,ASR (W),,Cumulative Rate,,Cases,Crude Rate,,ASR (W),,Cumulative Rate,,Cases,Crude Rate,,ASR (W),,Cumulative Rate,,Cases,Crude Rate,,ASR (W),,Cumulative Rate,,Cases,Crude Rate,,ASR (W),,Cumulative Rate,,Cases,Crude Rate,,ASR (W),,Cumulative Rate,,Cases,Crude Rate,,ASR (W),,Cumulative Rate,,Cases,Crude Rate,,ASR (W),,Cumulative Rate,https://ci5.iarc.fr/CI5-XI/Pages/summary_table_site_sel.aspx
Africa,174,5.50,1.66,10.30,2.65,0.000,0,0.00,0.00,0.48,0.00,0.000,0,1,0.10,0.13,0.10,0.13,0.000,0.001,0,0.00,0.00,0.00,0.00,0.000,0.000,1,0.20,0.17,0.20,0.17,0.000,0.001,1,0.10,0.14,0.10,0.14,0.000,0.001,3,0.60,0.52,0.60,0.52,0.00,0.00,12,2.90,1.41,2.90,1.41,0.010,0.007,8,3.20,1.83,3.20,1.83,0.010,0.009,14,7.10,4.27,7.10,4.27,0.040,0.021,27,17.40,9.18,17.40,9.18,0.080,0.046,19.00,26.40,19.62,26.40,19.62,0.120,0.097,19,39.90,27.79,39.90,27.79,0.210,0.139,23,38.80,15.90,38.80,15.90,0.190,0.080,13,45.90,29.88,45.90,29.88,0.230,0.149,13,54.300,36.690,54.300,36.690,0.270,0.184,15,0.00,0.00,0.00,0.00,0.000,0.000,2,0.00,0.00,0.00,0.00,0.000,0.000,3,0.00,0.00,0.00,0.00,0.000,
SA,540,17.00,5.61,16.00,5.68,0.000,0,0.00,0.00,0.00,0.00,0.000,0,0,0.00,0.00,0.00,0.00,0.000,0.000,0,0.00,0.00,0.00,0.00,0.000,0.000,0,0.00,0.00,0.00,0.00,0.000,,7,1.60,1.39,1.60,1.43,0.000,0.008,0,0.00,0.00,0.00,0.00,0.00,0.00,6,1.80,1.56,1.80,1.59,0.000,0.008,15,7.10,6.51,7.20,6.56,0.010,0.033,19,8.20,6.51,8.30,6.54,0.030,0.032,39,19.30,14.72,19.30,14.73,0.100,0.074,52.00,25.10,13.54,25.10,13.57,0.130,0.068,58,31.90,19.51,32.20,19.63,0.160,0.099,43,34.60,26.22,34.70,26.29,0.150,0.131,73,98.00,69.73,98.30,69.88,0.480,0.350,77,148.600,103.000,148.900,103.190,0.730,0.515,68,158.10,99.32,158.90,99.70,0.800,0.497,43,139.20,91.46,139.20,91.46,0.690,0.458,43,139.20,91.46,139.20,91.46,0.690,-0.458
NA,10837,14.20,4.12,8.40,2.62,0.000,0,0.00,0.00,0.00,0.00,0.000,0,2,0.00,0.00,0.00,0.00,0.000,0.000,1,0.00,0.00,0.00,0.00,0.000,0.000,3,0.00,0.04,0.00,0.04,0.000,0.000,9,0.10,0.18,0.10,0.18,0.000,0.001,19,0.70,0.71,0.70,0.71,0.00,0.00,61,0.60,0.57,0.60,0.57,0.000,0.003,141,2.20,1.56,2.20,1.56,0.000,0.008,304,1.10,0.28,1.10,0.28,0.000,0.002,542,5.10,2.67,5.10,2.67,0.020,0.014,821.00,24.10,17.91,24.10,17.91,0.120,0.089,1150,14.70,5.91,14.70,5.91,0.070,0.029,1459,36.50,14.90,36.50,14.90,0.190,0.073,1634,38.70,13.42,38.70,13.42,0.200,0.068,1430,46.100,16.730,46.100,16.730,0.220,0.085,1316,147.40,106.78,147.40,106.78,0.740,0.534,"1,051",86.40,46.09,86.40,46.09,0.420,0.230,894,75.00,29.12,75.00,29.12,0.000,0
Asia,3233,43.30,10.24,37.20,9.47,0.000,1,0.10,0.08,0.10,0.08,0.000,0,0,0.00,0.00,0.00,0.00,0.000,0.000,1,0.20,0.18,0.20,0.18,0.000,0.001,3,0.20,0.15,0.20,0.15,0.000,0.000,19,3.10,2.98,3.10,2.98,0.000,0.014,21,2.20,1.84,2.20,1.84,0.00,0.01,55,7.90,6.57,7.90,6.59,0.010,0.033,111,17.80,12.60,18.80,13.63,0.050,0.070,158,30.40,21.97,30.40,21.97,0.070,0.113,265,55.30,31.72,50.70,31.74,0.250,0.161,302.00,61.10,34.95,61.10,34.98,0.250,0.176,373,102.90,61.86,102.90,61.88,0.460,0.303,392,153.70,84.40,153.70,84.40,0.790,0.429,391,183.00,102.66,183.10,105.12,0.930,0.526,410,288.600,165.350,288.800,165.400,1.460,0.829,344,148.80,84.97,148.80,84.97,0.720,0.424,212,132.10,77.93,132.10,77.93,0.620,0.389,173,313.10,237.67,331.30,250.53,0.000,
Europe,10771,149.60,31.22,78.80,17.29,0.000,1,0.10,0.05,0.10,0.05,0.000,0,0,0.00,0.00,0.00,0.00,0.000,0.000,0,0.00,0.00,0.00,0.00,0.000,0.000,1,3.40,3.38,3.40,3.38,0.020,0.017,11,1.80,1.64,1.80,1.64,0.010,0.008,11,3.70,3.69,3.70,3.69,0.02,0.02,44,10.80,10.03,10.80,10.03,0.040,0.048,139,37.20,31.60,37.20,31.60,0.140,0.161,259,49.60,39.46,49.60,39.46,0.150,0.198,409,78.40,55.44,78.40,55.44,0.310,0.281,654.00,127.00,82.85,127.00,82.85,0.580,0.414,992,199.90,114.29,199.90,114.29,1.020,0.574,1471,328.20,162.20,328.20,162.20,1.660,0.810,1558,427.80,207.59,427.80,207.59,2.140,1.037,1732,575.500,281.830,575.500,285.320,2.840,1.416,1478,713.50,345.65,713.50,345.65,3.600,1.729,"1,211",860.60,439.34,860.60,439.34,4.320,2.195,800,766.20,476.90,766.20,476.90,0.000,
Oceania,749,3.70,0.60,2.40,0.50,0.000,0,0.00,0.00,0.00,0.00,0.000,0,0,0.00,0.00,0.00,0.00,0.000,0.000,1,0.00,0.03,0.00,0.03,0.000,0.000,0,0.00,0.00,0.00,0.00,0.000,0.000,2,0.10,0.14,0.10,0.14,0.000,0.001,1,0.00,0.02,0.00,0.02,0.00,0.00,7,1.00,0.68,1.00,0.68,0.000,0.003,12,0.60,0.28,0.60,0.28,0.000,0.001,18,1.20,0.80,1.20,0.80,0.000,0.003,30,2.50,1.14,2.50,1.14,0.010,0.006,47.00,2.60,1.07,2.60,1.07,0.010,0.006,76,5.20,1.58,5.20,1.58,0.030,0.008,105,7.10,1.93,7.10,1.93,0.040,0.010,118,12.60,3.11,12.60,3.11,0.060,0.015,102,33.500,17.930,33.500,17.930,0.160,0.090,81,18.80,5.46,18.80,5.46,0.090,0.027,76,23.10,6.82,23.10,6.82,0.110,0.034,73,22.20,6.57,22.20,6.57,0.000,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
