,Breast(C50)-Male age 0-85+,,,,,,age 0-4,,,,,age 5-9,,,,,age 10-14,,,,,age 15-19,,,,,age 20-24,,,,,age 25-29,,,,,age 30-34,,,,,age 35-39,,,,age 40-44,,,,,,age 45-49,,,,age 50-54,,,,,age 55-59,,,,,age 60-64,,,,,age 65-69,,,,,age 70-74,,,,,age 75-79,,,,,age 80-84,,,,,age 85+,,,,,
Continent,Population,Cases,Crude Rate,ASR (W),Cumulative Rate,Population,Cases,Crude Rate,ASR (W),Cumulative Rate,Population,Cases,Crude Rate,ASR (W),Cumulative Rate,Population,Cases,Crude Rate,ASR (W),Cumulative Rate,Population,Cases,Crude Rate,ASR (W),Cumulative Rate,Population,Cases,Crude Rate,ASR (W),Cumulative Rate,Population,Cases,Crude Rate,ASR (W),Cumulative Rate,Population,Cases,Crude Rate,ASR (W),Cumulative Rate,Population,Cases,Crude Rate,ASR (W),Cumulative Rate,Population,Cases,Crude Rate,ASR (W),Cumulative Rate,Population,Cases,Crude Rate,ASR (W),Cumulative Rate,Population,Cases,Crude Rate,ASR (W),Cumulative Rate,Population,Cases,Crude Rate,ASR (W),Cumulative Rate,Population,Cases,Crude Rate,ASR (W),Cumulative Rate,Population,Cases,Crude Rate,ASR (W),Cumulative Rate,Population,Cases,Crude Rate,ASR (W),Cumulative Rate,Population,Cases,Crude Rate,ASR (W),Cumulative Rate,Population,Cases,Crude Rate,ASR (W),Cumulative Rate,Population,Cases,Crude Rate,ASR (W),Cumulative Rate,https://ci5.iarc.fr/CI5I-X/Pages/table2_sel.aspx
Africa,"Mozambique, Lourenco Marques (1956-1960)",5,2.2,3.2,..,"Mozambique, Lourenco Marques (1956-1960)",0,0,0,0,"Mozambique, Lourenco Marques (1956-1960)",0,0,0,0,"Mozambique, Lourenco Marques (1956-1960)",0,0,0,0,"Mozambique, Lourenco Marques (1956-1960)",0,0,0,0,"Mozambique, Lourenco Marques (1956-1960)",0,0,0,0,"Mozambique, Lourenco Marques (1956-1960)",0,0,0,0,"Mozambique, Lourenco Marques (1956-1960)",0,0,0,0,"Mozambique, Lourenco Marques (1956-1960)",0,0,0,0,"Mozambique, Lourenco Marques (1956-1960)",2,14.8,14.8,0.07,"Mozambique, Lourenco Marques (1956-1960)",0,0,0,0,"Mozambique, Lourenco Marques (1956-1960)",0,0,0,0,"Mozambique, Lourenco Marques (1956-1960)",3,56.6,56.6,0.28,"Mozambique, Lourenco Marques (1956-1960)",0,..,..,..,"Mozambique, Lourenco Marques (1956-1960)",0,..,..,..,"Mozambique, Lourenco Marques (1956-1960)",0,..,..,..,"  Mozambique, Lourenco Marques (1956-1960)",0,..,..,..,"Mozambique, Lourenco Marques (1956-1960)",0,..,..,..,"Mozambique, Lourenco Marques (1956-1960)",0,..,..,..,"ancer Incidence in Five Continents, IARC"
Africa,"  Nigeria, Ibadan (1960-1962)",55,7.6,16.7,..,"  Nigeria, Ibadan (1960-1962)",0,0,0,0,"  Nigeria, Ibadan (1960-1962)",0,0,0,0,"  Nigeria, Ibadan (1960-1962)",0,0,0,0,"  Nigeria, Ibadan (1960-1962)",0,0,0,0,"  Nigeria, Ibadan (1960-1962)",0,0,0,0,"  Nigeria, Ibadan (1960-1962)",4,4.8,4.9,0.02,"  Nigeria, Ibadan (1960-1962)",4,6.6,6.7,0.03,"  Nigeria, Ibadan (1960-1962)",11,24.6,25.1,0.13,"  Nigeria, Ibadan (1960-1962)",7,21.8,22.2,0.11,"  Nigeria, Ibadan (1960-1962)",4,17.8,18.1,0.09,"  Nigeria, Ibadan (1960-1962)",14,108.5,110.5,0.55,"  Nigeria, Ibadan (1960-1962)",4,41.7,42.4,0.21,"  Nigeria, Ibadan (1960-1962)",3,47.6,48.5,0.24,"  Nigeria, Ibadan (1960-1962)",3,90.9,92.6,0.46,"  Nigeria, Ibadan (1960-1962)",0,..,..,..,"  Nigeria, Ibadan (1960-1962)",0,..,..,..,"  Nigeria, Ibadan (1960-1962)",0,..,..,..,"  Nigeria, Ibadan (1960-1962)",0,..,..,..,"Crude and Age-Standardised Rate per 100,000"
Africa,"  South Africa, Johannesburg, Bantu (1953-1955)",49,7.7,15.3,..,"  South Africa, Johannesburg, Bantu (1953-1955)",0,0,0,0,"  South Africa, Johannesburg, Bantu (1953-1955)",0,0,0,0,"  South Africa, Johannesburg, Bantu (1953-1955)",0,0,0,0,"  South Africa, Johannesburg, Bantu (1953-1955)",0,0,0,0,"  South Africa, Johannesburg, Bantu (1953-1955)",2,2.4,2.4,0.01,"  South Africa, Johannesburg, Bantu (1953-1955)",1,1.2,1.2,0.01,"  South Africa, Johannesburg, Bantu (1953-1955)",7,9.4,9.4,0.05,"  South Africa, Johannesburg, Bantu (1953-1955)",4,7.7,7.7,0.04,"  South Africa, Johannesburg, Bantu (1953-1955)",4,11.5,11.5,0.06,"  South Africa, Johannesburg, Bantu (1953-1955)",7,28.1,28.1,0.14,"  South Africa, Johannesburg, Bantu (1953-1955)",9,54.4,54.4,0.27,"  South Africa, Johannesburg, Bantu (1953-1955)",2,24.7,24.7,0.12,"  South Africa, Johannesburg, Bantu (1953-1955)",2,30.9,30.9,0.15,"  South Africa, Johannesburg, Bantu (1953-1955)",6,133.3,133.3,0.67,"  South Africa, Johannesburg, Bantu (1953-1955)",3,84.7,84.7,0.42,"  South Africa, Johannesburg, Bantu (1953-1955)",2,..,..,..,"  South Africa, Johannesburg, Bantu (1953-1955)",0,..,..,..,"  South Africa, Johannesburg, Bantu (1953-1955)",0,..,..,..,"Cumulative Rate, percent "
Africa,"  Uganda, Kyadondo County (1954-1960)",32,5.3,8.8,..,"  Uganda, Kyadondo County (1954-1960)",0,0,0,0,"  Uganda, Kyadondo County (1954-1960)",0,0,0,0,"  Uganda, Kyadondo County (1954-1960)",0,0,0,0,"  Uganda, Kyadondo County (1954-1960)",0,0,0,0,"  Uganda, Kyadondo County (1954-1960)",0,0,0,0,"  Uganda, Kyadondo County (1954-1960)",3,4.2,4.3,0.02,"  Uganda, Kyadondo County (1954-1960)",5,10.6,10.9,0.05,"  Uganda, Kyadondo County (1954-1960)",3,9.3,9.6,0.05,"  Uganda, Kyadondo County (1954-1960)",4,16,16.5,0.08,"  Uganda, Kyadondo County (1954-1960)",4,21.6,22.3,0.11,"  Uganda, Kyadondo County (1954-1960)",3,22.3,23,0.12,"  Uganda, Kyadondo County (1954-1960)",6,61.2,63.2,0.32,"  Uganda, Kyadondo County (1954-1960)",1,9.7,10,0.05,"  Uganda, Kyadondo County (1954-1960)",0,0,0,0,"  Uganda, Kyadondo County (1954-1960)",1,23.8,24.6,0.12,"  Uganda, Kyadondo County (1954-1960)",0,0,0,0,"  Uganda, Kyadondo County (1954-1960)",1,59.5,61.4,0.31,"  Uganda, Kyadondo County (1954-1960)",0,0,0,..,
,,141,22.8,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2.4,2.4,0.01,0,8,10.2,10.4,0.05,0,16,26.6,27,0.13,0,18,41.6,42.4,0.22,0,17,64.1,65,0.32,0,15,67.5,68.5,0.34,0,26,185.2,187.9,0.94,0,15,184.2,186.9,0.93,0,6,88.2,89.4,0.44,0,9,224.2,225.9,1.13,0,4,108.5,109.3,0.54,0,2,0,0,0,0,1,59.5,61.4,0.31,0,0,0,0,0,
South America,Chile (1959-1961),1759,14.9,19.9,..,Chile (1959-1961),1,0.1,0.1,0,Chile (1959-1961),1,0.1,0.1,0,Chile (1959-1961),2,0.2,0.2,0,Chile (1959-1961),10,0.9,0.9,0,Chile (1959-1961),5,0.5,0.5,0,Chile (1959-1961),18,2.1,2.1,0.01,Chile (1959-1961),79,10.5,10.5,0.05,Chile (1959-1961),148,21.9,21.9,0.11,Chile (1959-1961),240,40,40,0.2,Chile (1959-1961),236,43.5,43.5,0.22,Chile (1959-1961),227,49.7,49.7,0.25,Chile (1959-1961),223,61.9,62,0.31,Chile (1959-1961),214,75.6,75.7,0.38,Chile (1959-1961),158,70,70.1,0.35,Chile (1959-1961),97,62.5,62.6,0.31,Chile (1959-1961),53,54.9,54.9,0.27,Chile (1959-1961),30,64.5,64.6,0.32,Chile (1959-1961),15,72.5,72.5,..,
South America,"  Colombia, Cali (1962-1964)",134,18.3,31.4,..,"  Colombia, Cali (1962-1964)",0,0,0,0,"  Colombia, Cali (1962-1964)",0,0,0,0,"  Colombia, Cali (1962-1964)",0,0,0,0,"  Colombia, Cali (1962-1964)",0,0,0,0,"  Colombia, Cali (1962-1964)",0,0,0,0,"  Colombia, Cali (1962-1964)",2,3.2,3.3,0.02,"  Colombia, Cali (1962-1964)",6,11.4,11.7,0.06,"  Colombia, Cali (1962-1964)",11,25.2,25.8,0.13,"  Colombia, Cali (1962-1964)",17,53.5,54.7,0.27,"  Colombia, Cali (1962-1964)",21,80.2,82.1,0.41,"  Colombia, Cali (1962-1964)",24,108.4,110.9,0.55,"  Colombia, Cali (1962-1964)",14,97.4,99.6,0.5,"  Colombia, Cali (1962-1964)",13,93.9,96,0.48,"  Colombia, Cali (1962-1964)",7,91.7,93.8,0.47,"  Colombia, Cali (1962-1964)",4,63.4,64.9,0.32,"  Colombia, Cali (1962-1964)",10,263.6,269.6,1.35,"  Colombia, Cali (1962-1964)",1,44.5,45.5,0.23,"  Colombia, Cali (1962-1964)",1,43.6,44.6,..,
South America,"  Jamaica, Kingston and St.Andrew (1958-1963)",315,22.9,30,..,"  Jamaica, Kingston and St.Andrew (1958-1963)",0,0,0,0,"  Jamaica, Kingston and St.Andrew (1958-1963)",0,0,0,0,"  Jamaica, Kingston and St.Andrew (1958-1963)",0,0,0,0,"  Jamaica, Kingston and St.Andrew (1958-1963)",0,0,0,0,"  Jamaica, Kingston and St.Andrew (1958-1963)",3,2.1,2.1,0.01,"  Jamaica, Kingston and St.Andrew (1958-1963)",7,5.4,5.4,0.03,"  Jamaica, Kingston and St.Andrew (1958-1963)",21,20.4,20.6,0.1,"  Jamaica, Kingston and St.Andrew (1958-1963)",26,27.5,27.8,0.14,"  Jamaica, Kingston and St.Andrew (1958-1963)",32,43.6,44.1,0.22,"  Jamaica, Kingston and St.Andrew (1958-1963)",52,78.2,79,0.39,"  Jamaica, Kingston and St.Andrew (1958-1963)",55,101,101.9,0.51,"  Jamaica, Kingston and St.Andrew (1958-1963)",24,61,61.6,0.31,"  Jamaica, Kingston and St.Andrew (1958-1963)",23,76.5,77.2,0.39,"  Jamaica, Kingston and St.Andrew (1958-1963)",28,142.3,143.6,0.72,"  Jamaica, Kingston and St.Andrew (1958-1963)",12,78.7,79.5,0.4,"  Jamaica, Kingston and St.Andrew (1958-1963)",15,141.2,142.6,0.71,"  Jamaica, Kingston and St.Andrew (1958-1963)",14,..,..,..,"  Jamaica, Kingston and St.Andrew (1958-1963)",0,..,..,..,
South America,"  USA, Puerto Rico (1962-1963)",309,12.2,16.1,..,"  USA, Puerto Rico (1962-1963)",0,0,0,0,"  USA, Puerto Rico (1962-1963)",0,0,0,0,"  USA, Puerto Rico (1962-1963)",0,0,0,0,"  USA, Puerto Rico (1962-1963)",0,0,0,0,"  USA, Puerto Rico (1962-1963)",1,0.5,0.5,0,"  USA, Puerto Rico (1962-1963)",5,2.8,2.8,0.01,"  USA, Puerto Rico (1962-1963)",14,8.5,8.5,0.04,"  USA, Puerto Rico (1962-1963)",22,15.4,15.4,0.08,"  USA, Puerto Rico (1962-1963)",34,27.3,27.4,0.14,"  USA, Puerto Rico (1962-1963)",41,35.5,35.6,0.18,"  USA, Puerto Rico (1962-1963)",35,38.5,38.6,0.19,"  USA, Puerto Rico (1962-1963)",25,36.6,36.7,0.18,"  USA, Puerto Rico (1962-1963)",33,54.5,54.7,0.27,"  USA, Puerto Rico (1962-1963)",35,70.3,70.5,0.35,"  USA, Puerto Rico (1962-1963)",27,74.8,75,0.38,"  USA, Puerto Rico (1962-1963)",36,..,..,..,"  USA, Puerto Rico (1962-1963)",0,..,..,..,"  USA, Puerto Rico (1962-1963)",0,..,..,..,
