,Breast(C50)-Male age 0-85+,,,,,,age 0-4,,,,,age 5-9,,,,,age 10-14,,,,,age 15-19,,,,,age 20-24,,,,,age 25-29,,,,,age 30-34,,,,,age 35-39,,,,age 40-44,,,,,,age 45-49,,,,age 50-54,,,,,age 55-59,,,,,age 60-64,,,,,age 65-69,,,,,age 70-74,,,,,age 75-79,,,,,age 80-84,,,,,age 85+,,,,,
Continent,Population,Cases,Crude Rate,ASR (W),Cumulative Rate,Population,Cases,Crude Rate,ASR (W),Cumulative Rate,Population,Cases,Crude Rate,ASR (W),Cumulative Rate,Population,Cases,Crude Rate,ASR (W),Cumulative Rate,Population,Cases,Crude Rate,ASR (W),Cumulative Rate,Population,Cases,Crude Rate,ASR (W),Cumulative Rate,Population,Cases,Crude Rate,ASR (W),Cumulative Rate,Population,Cases,Crude Rate,ASR (W),Cumulative Rate,Population,Cases,Crude Rate,ASR (W),Cumulative Rate,Population,Cases,Crude Rate,ASR (W),Cumulative Rate,Population,Cases,Crude Rate,ASR (W),Cumulative Rate,Population,Cases,Crude Rate,ASR (W),Cumulative Rate,Population,Cases,Crude Rate,ASR (W),Cumulative Rate,Population,Cases,Crude Rate,ASR (W),Cumulative Rate,Population,Cases,Crude Rate,ASR (W),Cumulative Rate,Population,Cases,Crude Rate,ASR (W),Cumulative Rate,Population,Cases,Crude Rate,ASR (W),Cumulative Rate,Population,Cases,Crude Rate,ASR (W),Cumulative Rate,Population,Cases,Crude Rate,ASR (W),Cumulative Rate,https://ci5.iarc.fr/CI5I-X/Pages/table2_sel.aspx
Africa,"Nigeria, Ibadan (1960-1965)",88,5.5,13.6,..,"Nigeria, Ibadan (1960-1965)",0,0,0,0,"Nigeria, Ibadan (1960-1965)",0,0,0,0,"Nigeria, Ibadan (1960-1965)",0,0,0,0,"Nigeria, Ibadan (1960-1965)",0,0,0,0,"  Nigeria, Ibadan (1960-1965)",1,0.3,0.3,0,"Nigeria, Ibadan (1960-1965)",5,1.9,2,0.01,"Nigeria, Ibadan (1960-1965)",9,6.1,6.3,0.03,"Nigeria, Ibadan (1960-1965)",14,16.8,17.6,0.09,"Nigeria, Ibadan (1960-1965)",13,20.6,21.6,0.11,"Nigeria, Ibadan (1960-1965)",8,22.6,23.7,0.12,"Nigeria, Ibadan (1960-1965)",16,56,58.6,0.29,"Nigeria, Ibadan (1960-1965)",4,33.3,34.9,0.17,"Nigeria, Ibadan (1960-1965)",8,52.3,54.8,0.27,"Nigeria, Ibadan (1960-1965)",6,88.8,93,0.47,"Nigeria, Ibadan (1960-1965)",0,0,0,0,"Nigeria, Ibadan (1960-1965)",0,0,0,0,"Nigeria, Ibadan (1960-1965)",0,0,0,0,"Nigeria, Ibadan (1960-1965)",0,0,0,..,
Africa,"  South Africa, Natal Province: African (1964-1966)",36,7.2,11.9,..,"  South Africa, Natal Province: African (1964-1966)",0,0,0,0,"  South Africa, Natal Province: African (1964-1966)",0,0,0,0,"  South Africa, Natal Province: African (1964-1966)",0,0,0,0,"  South Africa, Natal Province: African (1964-1966)",0,0,0,0,"  South Africa, Natal Province: African (1964-1966)",2,5.4,5.4,0.03,"  South Africa, Natal Province: African (1964-1966)",2,4,4,0.02,"  South Africa, Natal Province: African (1964-1966)",4,7.6,7.6,0.04,"  South Africa, Natal Province: African (1964-1966)",2,5.3,5.3,0.03,"  South Africa, Natal Province: African (1964-1966)",4,13.5,13.5,0.07,"  South Africa, Natal Province: African (1964-1966)",6,27.2,27.2,0.14,"  South Africa, Natal Province: African (1964-1966)",1,6.4,6.4,0.03,"  South Africa, Natal Province: African (1964-1966)",5,49.6,49.6,0.25,"  South Africa, Natal Province: African (1964-1966)",4,55.4,55.4,0.28,"  South Africa, Natal Province: African (1964-1966)",3,52.6,52.6,0.26,"  South Africa, Natal Province: African (1964-1966)",3,..,..,..,"  South Africa, Natal Province: African (1964-1966)",0,..,..,..,"  South Africa, Natal Province: African (1964-1966)",0,..,..,..,"  South Africa, Natal Province: African (1964-1966)",0,..,..,..,
Africa,"  South Africa, Natal Province: Indian (1964-1966)",31,7.6,19.9,..,"  South Africa, Natal Province: Indian (1964-1966)",0,0,0,0,"  South Africa, Natal Province: Indian (1964-1966)",0,0,0,0,"  South Africa, Natal Province: Indian (1964-1966)",0,0,0,0,"  South Africa, Natal Province: Indian (1964-1966)",0,0,0,0,"  South Africa, Natal Province: Indian (1964-1966)",0,0,0,0,"  South Africa, Natal Province: Indian (1964-1966)",0,0,0,0,"  South Africa, Natal Province: Indian (1964-1966)",5,19.7,19.7,0.1,"  South Africa, Natal Province: Indian (1964-1966)",5,24.4,24.4,0.12,"  South Africa, Natal Province: Indian (1964-1966)",2,12.7,12.7,0.06,"  South Africa, Natal Province: Indian (1964-1966)",3,22.5,22.5,0.11,"  South Africa, Natal Province: Indian (1964-1966)",4,43.8,43.8,0.22,"  South Africa, Natal Province: Indian (1964-1966)",2,34.9,34.9,0.17,"  South Africa, Natal Province: Indian (1964-1966)",6,137.6,137.6,0.69,"  South Africa, Natal Province: Indian (1964-1966)",2,94.6,94.6,0.47,"  South Africa, Natal Province: Indian (1964-1966)",2,..,..,..,"  South Africa, Natal Province: Indian (1964-1966)",0,..,..,..,"  South Africa, Natal Province: Indian (1964-1966)",0,..,..,..,"  South Africa, Natal Province: Indian (1964-1966)",0,..,..,..,
Africa,"  Zimbabwe, Bulawayo: African (1963-1967)",11,3.2,35.5,..,"  Zimbabwe, Bulawayo: African (1963-1967)",0,0,0,0,"  Zimbabwe, Bulawayo: African (1963-1967)",0,0,0,0,"  Zimbabwe, Bulawayo: African (1963-1967)",0,0,0,0,"  Zimbabwe, Bulawayo: African (1963-1967)",0,0,0,0,"  Zimbabwe, Bulawayo: African (1963-1967)",0,0,0,0,"  Zimbabwe, Bulawayo: African (1963-1967)",1,2,2,0.01,"  Zimbabwe, Bulawayo: African (1963-1967)",2,6.2,6.2,0.03,"  Zimbabwe, Bulawayo: African (1963-1967)",2,10,10,0.05,"  Zimbabwe, Bulawayo: African (1963-1967)",1,9.3,9.3,0.05,"  Zimbabwe, Bulawayo: African (1963-1967)",1,14.9,14.9,0.07,"  Zimbabwe, Bulawayo: African (1963-1967)",2,52.4,52.4,0.26,"  Zimbabwe, Bulawayo: African (1963-1967)",1,85.1,85.1,0.43,"  Zimbabwe, Bulawayo: African (1963-1967)",0,0,0,0,"  Zimbabwe, Bulawayo: African (1963-1967)",1,..,..,..,"  Zimbabwe, Bulawayo: African (1963-1967)",0,..,..,..,"  Zimbabwe, Bulawayo: African (1963-1967)",0,..,..,..,"  Zimbabwe, Bulawayo: African (1963-1967)",0,..,..,..,"  Zimbabwe, Bulawayo: African (1963-1967)",0,..,..,..,
,,166,23.5,80.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5.7,5.7,0.03,0,8,7.9,8,0.04,0,20,39.6,39.8,0.2,0,23,56.5,57.3,0.29,0,20,56.1,57.1,0.29,0,18,87.2,88.3,0.44,0,23,158.6,161.2,0.8,0,12,202.9,204.5,1.02,0,18,245.3,247.8,1.24,0,12,236,240.2,1.2,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
South America,"Colombia, Cali (1962-1966)",257,15.7,27.3,..,"Colombia, Cali (1962-1966)",0,0,0,0,"Colombia, Cali (1962-1966)",0,0,0,0,"Colombia, Cali (1962-1966)",0,0,0,0,"Colombia, Cali (1962-1966)",0,0,0,0,"Colombia, Cali (1962-1966)",1,0.6,0.6,0,"Colombia, Cali (1962-1966)",4,2.9,2.9,0.01,"Colombia, Cali (1962-1966)",11,9.4,9.5,0.05,"Colombia, Cali (1962-1966)",24,25,25.1,0.13,"Colombia, Cali (1962-1966)",34,48.2,48.6,0.24,"Colombia, Cali (1962-1966)",39,66.1,66.6,0.33,"Colombia, Cali (1962-1966)",39,79.8,80.4,0.4,"Colombia, Cali (1962-1966)",30,93.5,94.2,0.47,"Colombia, Cali (1962-1966)",25,79.6,80.2,0.4,"Colombia, Cali (1962-1966)",17,96,96.7,0.48,"Colombia, Cali (1962-1966)",15,114.1,115,0.58,"Colombia, Cali (1962-1966)",10,121.9,122.8,0.61,"Colombia, Cali (1962-1966)",5,98.9,99.7,0.5,"Colombia, Cali (1962-1966)",1,20,20.2,..,
South America,"  Jamaica, Kingston and St.Andrew (1964-1966)",191,23.5,33.5,..,"  Jamaica, Kingston and St.Andrew (1964-1966)",0,0,0,0,"  Jamaica, Kingston and St.Andrew (1964-1966)",0,0,0,0,"  Jamaica, Kingston and St.Andrew (1964-1966)",0,0,0,0,"  Jamaica, Kingston and St.Andrew (1964-1966)",0,0,0,0,"  Jamaica, Kingston and St.Andrew (1964-1966)",0,0,0,0,"  Jamaica, Kingston and St.Andrew (1964-1966)",5,6.5,6.5,0.03,"  Jamaica, Kingston and St.Andrew (1964-1966)",7,11.4,11.4,0.06,"  Jamaica, Kingston and St.Andrew (1964-1966)",14,24.8,24.8,0.12,"  Jamaica, Kingston and St.Andrew (1964-1966)",25,57.1,57.1,0.29,"  Jamaica, Kingston and St.Andrew (1964-1966)",25,63.1,63.1,0.32,"  Jamaica, Kingston and St.Andrew (1964-1966)",33,101.9,101.9,0.51,"  Jamaica, Kingston and St.Andrew (1964-1966)",34,145.3,145.3,0.73,"  Jamaica, Kingston and St.Andrew (1964-1966)",17,94.4,94.4,0.47,"  Jamaica, Kingston and St.Andrew (1964-1966)",9,76.9,76.9,0.38,"  Jamaica, Kingston and St.Andrew (1964-1966)",4,44.4,44.4,0.22,"  Jamaica, Kingston and St.Andrew (1964-1966)",18,..,..,..,"  Jamaica, Kingston and St.Andrew (1964-1966)",0,..,..,..,"  Jamaica, Kingston and St.Andrew (1964-1966)",0,..,..,..,
South America,"  USA, Puerto Rico (1964-1966)",620,15.5,20.9,..,"  USA, Puerto Rico (1964-1966)",0,0,0,0,"  USA, Puerto Rico (1964-1966)",0,0,0,0,"  USA, Puerto Rico (1964-1966)",1,0.2,0.2,0,"  USA, Puerto Rico (1964-1966)",1,0.2,0.2,0,"  USA, Puerto Rico (1964-1966)",0,0,0,0,"  USA, Puerto Rico (1964-1966)",9,3.4,3.4,0.02,"  USA, Puerto Rico (1964-1966)",18,8.1,8.1,0.04,"  USA, Puerto Rico (1964-1966)",41,19.9,19.9,0.1,"  USA, Puerto Rico (1964-1966)",76,36.9,36.9,0.18,"  USA, Puerto Rico (1964-1966)",83,51.3,51.3,0.26,"  USA, Puerto Rico (1964-1966)",90,59.8,59.8,0.3,"  USA, Puerto Rico (1964-1966)",61,58.3,58.3,0.29,"  USA, Puerto Rico (1964-1966)",55,60.9,60.9,0.3,"  USA, Puerto Rico (1964-1966)",70,86.7,86.7,0.43,"  USA, Puerto Rico (1964-1966)",52,81.1,81.1,0.41,"  USA, Puerto Rico (1964-1966)",63,..,..,..,"  USA, Puerto Rico (1964-1966)",0,..,..,..,"  USA, Puerto Rico (1964-1966)",0,..,..,..,
,,1068,54.7,81.7,0,0,0,0,0,0,0,0,0,0,0,0,1,0.2,0.2,0,0,1,0.2,0.2,0,0,1,0.6,0.6,0,0,18,12.8,12.8,0.06,0,36,28.9,29,0.15,0,79,69.7,69.8,0.35,0,135,142.2,142.6,0.71,0,147,180.5,181,0.91,0,162,241.5,242.1,1.21,0,125,297.1,297.8,1.49,0,97,234.9,235.5,1.17,0,96,259.6,260.3,1.29,0,71,239.6,240.5,1.21,0,91,121.9,122.8,0.61,0,5,98.9,99.7,0.5,0,1,20,20.2,0,
North America,"Canada, Alberta (1963-1966)",1434,51.3,54.6,..,"Canada, Alberta (1963-1966)",0,0,0,0,"Canada, Alberta (1963-1966)",0,0,0,0,"Canada, Alberta (1963-1966)",0,0,0,0,"Canada, Alberta (1963-1966)",0,0,0,0,"Canada, Alberta (1963-1966)",1,0.5,0.5,0,"Canada, Alberta (1963-1966)",9,4.9,4.9,0.02,"Canada, Alberta (1963-1966)",42,22.6,22.6,0.11,"Canada, Alberta (1963-1966)",93,50.1,50.1,0.25,"Canada, Alberta (1963-1966)",161,92.1,92.2,0.46,"Canada, Alberta (1963-1966)",161,92.1,92.2,0.46,"Canada, Alberta (1963-1966)",201,159,159.1,0.8,"Canada, Alberta (1963-1966)",164,162.1,162.2,0.81,"Canada, Alberta (1963-1966)",133,165.4,165.5,0.83,"Canada, Alberta (1963-1966)",118,184.4,184.5,0.92,"Canada, Alberta (1963-1966)",96,186,186.2,0.93,"Canada, Alberta (1963-1966)",100,257.7,257.9,1.29,"Canada, Alberta (1963-1966)",74,330.4,330.6,1.65,"Canada, Alberta (1963-1966)",35,291.7,291.9,..,
North America,"  Canada, Manitoba (1963-1966)",1277,67.6,60.6,..,"  Canada, Manitoba (1963-1966)",0,0,0,0,"  Canada, Manitoba (1963-1966)",0,0,0,0,"  Canada, Manitoba (1963-1966)",0,0,0,0,"  Canada, Manitoba (1963-1966)",0,0,0,0,"  Canada, Manitoba (1963-1966)",3,2.4,2.4,0.01,"  Canada, Manitoba (1963-1966)",5,4.6,4.6,0.02,"  Canada, Manitoba (1963-1966)",26,24,24.1,0.12,"  Canada, Manitoba (1963-1966)",73,61.2,61.6,0.31,"  Canada, Manitoba (1963-1966)",127,103.4,104,0.52,"  Canada, Manitoba (1963-1966)",127,103.4,104,0.52,"  Canada, Manitoba (1963-1966)",162,161.4,162.2,0.81,"  Canada, Manitoba (1963-1966)",141,171.1,172.1,0.86,"  Canada, Manitoba (1963-1966)",117,174.1,175.1,0.88,"  Canada, Manitoba (1963-1966)",136,237.8,239.1,1.2,"  Canada, Manitoba (1963-1966)",122,250,251.4,1.26,"  Canada, Manitoba (1963-1966)",99,263.3,264.7,1.32,"  Canada, Manitoba (1963-1966)",55,254.6,256,1.28,"  Canada, Manitoba (1963-1966)",47,391.7,393.8,..,
North America,"  Canada, New Brunswick (1965-1966)",320,52,53,..,"  Canada, New Brunswick (1965-1966)",0,0,0,0,"  Canada, New Brunswick (1965-1966)",0,0,0,0,"  Canada, New Brunswick (1965-1966)",0,0,0,0,"  Canada, New Brunswick (1965-1966)",0,0,0,0,"  Canada, New Brunswick (1965-1966)",1,2.3,2.3,0.01,"  Canada, New Brunswick (1965-1966)",0,0,0,0,"  Canada, New Brunswick (1965-1966)",8,25.3,25.3,0.13,"  Canada, New Brunswick (1965-1966)",19,57.6,57.6,0.29,"  Canada, New Brunswick (1965-1966)",31,89.6,89.6,0.45,"  Canada, New Brunswick (1965-1966)",31,89.6,89.6,0.45,"  Canada, New Brunswick (1965-1966)",36,127.7,127.7,0.64,"  Canada, New Brunswick (1965-1966)",31,132.5,132.5,0.66,"  Canada, New Brunswick (1965-1966)",40,208.3,208.3,1.04,"  Canada, New Brunswick (1965-1966)",34,202.4,202.4,1.01,"  Canada, New Brunswick (1965-1966)",31,215.3,215.3,1.08,"  Canada, New Brunswick (1965-1966)",28,269.2,269.2,1.35,"  Canada, New Brunswick (1965-1966)",15,234.4,234.4,1.17,"  Canada, New Brunswick (1965-1966)",7,166.7,166.7,..,
North America,"  Canada, Newfoundland (1963-1966)",293,30.7,39.1,..,"  Canada, Newfoundland (1963-1966)",0,0,0,0,"  Canada, Newfoundland (1963-1966)",0,0,0,0,"  Canada, Newfoundland (1963-1966)",0,0,0,0,"  Canada, Newfoundland (1963-1966)",0,0,0,0,"  Canada, Newfoundland (1963-1966)",1,1.4,1.4,0.01,"  Canada, Newfoundland (1963-1966)",1,1.9,1.9,0.01,"  Canada, Newfoundland (1963-1966)",26,53.7,55.6,0.28,"  Canada, Newfoundland (1963-1966)",19,39.6,41,0.2,"  Canada, Newfoundland (1963-1966)",28,61.9,64.1,0.32,"  Canada, Newfoundland (1963-1966)",28,61.9,64.1,0.32,"  Canada, Newfoundland (1963-1966)",27,71.8,74.3,0.37,"  Canada, Newfoundland (1963-1966)",30,104.2,107.8,0.54,"  Canada, Newfoundland (1963-1966)",23,99.1,102.6,0.51,"  Canada, Newfoundland (1963-1966)",34,170,176,0.88,"  Canada, Newfoundland (1963-1966)",30,187.5,194.1,0.97,"  Canada, Newfoundland (1963-1966)",19,169.6,175.6,0.88,"  Canada, Newfoundland (1963-1966)",6,93.8,97.1,0.49,"  Canada, Newfoundland (1963-1966)",7,194.4,201.3,..,
North America,"  Canada, Quebec (1963-1966)",5062,45,48.7,..,"  Canada, Quebec (1963-1966)",0,0,0,0,"  Canada, Quebec (1963-1966)",0,0,0,0,"  Canada, Quebec (1963-1966)",0,0,0,0,"  Canada, Quebec (1963-1966)",3,0.3,0.3,0,"  Canada, Quebec (1963-1966)",9,1,1,0.01,"  Canada, Quebec (1963-1966)",35,4.7,4.8,0.02,"  Canada, Quebec (1963-1966)",146,19.8,19.9,0.1,"  Canada, Quebec (1963-1966)",366,48.7,49.1,0.25,"  Canada, Quebec (1963-1966)",611,88.5,89.1,0.45,"  Canada, Quebec (1963-1966)",611,88.5,89.1,0.45,"  Canada, Quebec (1963-1966)",725,139.7,140.6,0.7,"  Canada, Quebec (1963-1966)",616,142.9,143.8,0.72,"  Canada, Quebec (1963-1966)",584,169.8,170.8,0.85,"  Canada, Quebec (1963-1966)",431,160.6,161.6,0.81,"  Canada, Quebec (1963-1966)",360,177.2,178.3,0.89,"  Canada, Quebec (1963-1966)",245,178.6,179.7,0.9,"  Canada, Quebec (1963-1966)",134,183.1,184.2,0.92,"  Canada, Quebec (1963-1966)",58,138.1,139,..,
North America,"  Canada, Saskatchewan (1963-1966)",1151,62.7,59.1,..,"  Canada, Saskatchewan (1963-1966)",0,0,0,0,"  Canada, Saskatchewan (1963-1966)",0,0,0,0,"  Canada, Saskatchewan (1963-1966)",1,0.5,0.5,0,"  Canada, Saskatchewan (1963-1966)",0,0,0,0,"  Canada, Saskatchewan (1963-1966)",1,0.8,0.8,0,"  Canada, Saskatchewan (1963-1966)",10,10,10.1,0.05,"  Canada, Saskatchewan (1963-1966)",23,22.6,22.6,0.11,"  Canada, Saskatchewan (1963-1966)",67,61.6,61.7,0.31,"  Canada, Saskatchewan (1963-1966)",121,109.2,109.4,0.55,"  Canada, Saskatchewan (1963-1966)",121,109.2,109.4,0.55,"  Canada, Saskatchewan (1963-1966)",128,137.2,137.4,0.69,"  Canada, Saskatchewan (1963-1966)",104,136.6,136.8,0.68,"  Canada, Saskatchewan (1963-1966)",132,214.2,214.5,1.07,"  Canada, Saskatchewan (1963-1966)",104,198.4,198.8,0.99,"  Canada, Saskatchewan (1963-1966)",105,230.5,230.9,1.15,"  Canada, Saskatchewan (1963-1966)",90,261.8,262.3,1.31,"  Canada, Saskatchewan (1963-1966)",62,307.8,308.4,1.54,"  Canada, Saskatchewan (1963-1966)",37,310.7,311.3,..,
North America,"  USA, California, Alameda County: Black (1960-1964)",117,35.6,38.6,..,"  USA, California, Alameda County: Black (1960-1964)",0,0,0,0,"  USA, California, Alameda County: Black (1960-1964)",0,0,0,0,"  USA, California, Alameda County: Black (1960-1964)",0,0,0,0,"  USA, California, Alameda County: Black (1960-1964)",0,0,0,0,"  USA, California, Alameda County: Black (1960-1964)",1,5.1,5.1,0.03,"  USA, California, Alameda County: Black (1960-1964)",0,0,0,0,"  USA, California, Alameda County: Black (1960-1964)",8,36.7,36.7,0.18,"  USA, California, Alameda County: Black (1960-1964)",12,45.6,45.6,0.23,"  USA, California, Alameda County: Black (1960-1964)",16,64.9,64.9,0.32,"  USA, California, Alameda County: Black (1960-1964)",16,64.9,64.9,0.32,"  USA, California, Alameda County: Black (1960-1964)",18,106.2,106.2,0.53,"  USA, California, Alameda County: Black (1960-1964)",9,64.5,64.5,0.32,"  USA, California, Alameda County: Black (1960-1964)",6,77.8,77.8,0.39,"  USA, California, Alameda County: Black (1960-1964)",10,138,138,0.69,"  USA, California, Alameda County: Black (1960-1964)",8,197,197,0.99,"  USA, California, Alameda County: Black (1960-1964)",7,232.2,232.2,1.16,"  USA, California, Alameda County: Black (1960-1964)",0,0,0,0,"  USA, California, Alameda County: Black (1960-1964)",2,465.1,465.1,..,
North America,"  USA, California, Alameda County: White (1960-1964)",1632,79.6,62.4,..,"  USA, California, Alameda County: White (1960-1964)",0,0,0,0,"  USA, California, Alameda County: White (1960-1964)",0,0,0,0,"  USA, California, Alameda County: White (1960-1964)",0,0,0,0,"  USA, California, Alameda County: White (1960-1964)",0,0,0,0,"  USA, California, Alameda County: White (1960-1964)",4,2.8,2.8,0.01,"  USA, California, Alameda County: White (1960-1964)",10,7.6,7.6,0.04,"  USA, California, Alameda County: White (1960-1964)",27,21.4,21.4,0.11,"  USA, California, Alameda County: White (1960-1964)",88,62.3,62.3,0.31,"  USA, California, Alameda County: White (1960-1964)",164,113.5,113.5,0.57,"  USA, California, Alameda County: White (1960-1964)",164,113.5,113.5,0.57,"  USA, California, Alameda County: White (1960-1964)",187,166.7,166.7,0.83,"  USA, California, Alameda County: White (1960-1964)",171,167.8,167.8,0.84,"  USA, California, Alameda County: White (1960-1964)",173,200.1,200.1,1,"  USA, California, Alameda County: White (1960-1964)",166,209.9,209.9,1.05,"  USA, California, Alameda County: White (1960-1964)",142,216.2,216.2,1.08,"  USA, California, Alameda County: White (1960-1964)",156,326.2,326.2,1.63,"  USA, California, Alameda County: White (1960-1964)",87,330.2,330.2,1.65,"  USA, California, Alameda County: White (1960-1964)",53,342.3,342.3,..,
North America,"  USA, Connecticut (1963-1965)",3281,77.4,62.3,..,"  USA, Connecticut (1963-1965)",0,0,0,0,"  USA, Connecticut (1963-1965)",0,0,0,0,"  USA, Connecticut (1963-1965)",0,0,0,0,"  USA, Connecticut (1963-1965)",1,0.3,0.3,0,"  USA, Connecticut (1963-1965)",0,0,0,0,"  USA, Connecticut (1963-1965)",23,8.7,8.8,0.04,"  USA, Connecticut (1963-1965)",61,22.9,22.9,0.11,"  USA, Connecticut (1963-1965)",170,60,60.1,0.3,"  USA, Connecticut (1963-1965)",326,112.6,112.8,0.56,"  USA, Connecticut (1963-1965)",326,112.6,112.8,0.56,"  USA, Connecticut (1963-1965)",368,150.6,150.9,0.75,"  USA, Connecticut (1963-1965)",389,183.1,183.5,0.92,"  USA, Connecticut (1963-1965)",322,179.2,179.6,0.9,"  USA, Connecticut (1963-1965)",337,212.8,213.2,1.07,"  USA, Connecticut (1963-1965)",328,267.8,268.3,1.34,"  USA, Connecticut (1963-1965)",242,288.8,289.4,1.45,"  USA, Connecticut (1963-1965)",142,284,284.6,1.42,"  USA, Connecticut (1963-1965)",120,384.6,385.4,..,
North America,"  USA, Nevada (1959-1966)",806,56.7,56.2,..,"  USA, Nevada (1959-1966)",0,0,0,0,"  USA, Nevada (1959-1966)",0,0,0,0,"  USA, Nevada (1959-1966)",0,0,0,0,"  USA, Nevada (1959-1966)",1,1,1,0.01,"  USA, Nevada (1959-1966)",0,0,0,0,"  USA, Nevada (1959-1966)",6,6,6.1,0.03,"  USA, Nevada (1959-1966)",23,21.6,21.8,0.11,"  USA, Nevada (1959-1966)",50,43.7,43.9,0.22,"  USA, Nevada (1959-1966)",90,84.5,85,0.42,"  USA, Nevada (1959-1966)",90,84.5,85,0.42,"  USA, Nevada (1959-1966)",118,155,155.7,0.78,"  USA, Nevada (1959-1966)",93,159.1,159.9,0.8,"  USA, Nevada (1959-1966)",76,179.7,180.6,0.9,"  USA, Nevada (1959-1966)",68,202.4,203.4,1.02,"  USA, Nevada (1959-1966)",44,179.4,180.3,0.9,"  USA, Nevada (1959-1966)",45,281.7,283.1,1.42,"  USA, Nevada (1959-1966)",25,311.3,312.8,1.56,"  USA, Nevada (1959-1966)",15,347.9,349.6,..,
North America,"  USA, Texas, El Paso County: Hispanic (1960-1966)",134,24.1,34,..,"  USA, Texas, El Paso County: Hispanic (1960-1966)",0,0,0,0,"  USA, Texas, El Paso County: Hispanic (1960-1966)",0,0,0,0,"  USA, Texas, El Paso County: Hispanic (1960-1966)",0,0,0,0,"  USA, Texas, El Paso County: Hispanic (1960-1966)",0,0,0,0,"  USA, Texas, El Paso County: Hispanic (1960-1966)",1,2.4,2.4,0.01,"  USA, Texas, El Paso County: Hispanic (1960-1966)",2,5.1,5.1,0.03,"  USA, Texas, El Paso County: Hispanic (1960-1966)",8,17.7,17.7,0.09,"  USA, Texas, El Paso County: Hispanic (1960-1966)",14,37.1,37.1,0.19,"  USA, Texas, El Paso County: Hispanic (1960-1966)",24,98.3,98.3,0.49,"  USA, Texas, El Paso County: Hispanic (1960-1966)",24,98.3,98.3,0.49,"  USA, Texas, El Paso County: Hispanic (1960-1966)",18,97.9,97.9,0.49,"  USA, Texas, El Paso County: Hispanic (1960-1966)",18,108.4,108.4,0.54,"  USA, Texas, El Paso County: Hispanic (1960-1966)",10,92.2,92.2,0.46,"  USA, Texas, El Paso County: Hispanic (1960-1966)",7,82.5,82.5,0.41,"  USA, Texas, El Paso County: Hispanic (1960-1966)",9,116.2,116.2,0.58,"  USA, Texas, El Paso County: Hispanic (1960-1966)",5,135.5,135.5,0.68,"  USA, Texas, El Paso County: Hispanic (1960-1966)",2,98.5,98.5,0.49,"  USA, Texas, El Paso County: Hispanic (1960-1966)",0,0,0,..,
