,Breast(C50)-Male age 0-85+,,,,,,age 0-4,,,,,age 5-9,,,,,age 10-14,,,,,age 15-19,,,,,age 20-24,,,,,age 25-29,,,,,age 30-34,,,,,age 35-39,,,,age 40-44,,,,,,age 45-49,,,,age 50-54,,,,,age 55-59,,,,,age 60-64,,,,,age 65-69,,,,,age 70-74,,,,,age 75-79,,,,,age 80-84,,,,,age 85+,,,,,
Continent,Population,Cases,Crude Rate,ASR (W),Cumulative Rate,Population,Cases,Crude Rate,ASR (W),Cumulative Rate,Population,Cases,Crude Rate,ASR (W),Cumulative Rate,Population,Cases,Crude Rate,ASR (W),Cumulative Rate,Population,Cases,Crude Rate,ASR (W),Cumulative Rate,Population,Cases,Crude Rate,ASR (W),Cumulative Rate,Population,Cases,Crude Rate,ASR (W),Cumulative Rate,Population,Cases,Crude Rate,ASR (W),Cumulative Rate,Population,Cases,Crude Rate,ASR (W),Cumulative Rate,Population,Cases,Crude Rate,ASR (W),Cumulative Rate,Population,Cases,Crude Rate,ASR (W),Cumulative Rate,Population,Cases,Crude Rate,ASR (W),Cumulative Rate,Population,Cases,Crude Rate,ASR (W),Cumulative Rate,Population,Cases,Crude Rate,ASR (W),Cumulative Rate,Population,Cases,Crude Rate,ASR (W),Cumulative Rate,Population,Cases,Crude Rate,ASR (W),Cumulative Rate,Population,Cases,Crude Rate,ASR (W),Cumulative Rate,Population,Cases,Crude Rate,ASR (W),Cumulative Rate,Population,Cases,Crude Rate,ASR (W),Cumulative Rate,https://ci5.iarc.fr/CI5I-X/Pages/table2_sel.aspx
Africa,"Nigeria, Ibadan (1960-1969)",157,5.8,15.3,..,"Nigeria, Ibadan (1960-1969)",0,0,0,0,"Nigeria, Ibadan (1960-1969)",0,0,0,0,"Nigeria, Ibadan (1960-1969)",0,0,0,0,"Nigeria, Ibadan (1960-1969)",0,0,0,0,"Nigeria, Ibadan (1960-1969)",2,0.4,0.4,0,"Nigeria, Ibadan (1960-1969)",7,1.6,1.7,0.01,"Nigeria, Ibadan (1960-1969)",20,8.1,8.6,0.04,"Nigeria, Ibadan (1960-1969)",25,18,19,0.1,"Nigeria, Ibadan (1960-1969)",19,18.1,19.2,0.1,"Nigeria, Ibadan (1960-1969)",17,28.8,30.5,0.15,"Nigeria, Ibadan (1960-1969)",22,46.2,49,0.24,"Nigeria, Ibadan (1960-1969)",8,40,42.4,0.21,"Nigeria, Ibadan (1960-1969)",13,51,54.1,0.27,"Nigeria, Ibadan (1960-1969)",12,106.6,113.1,0.57,"Nigeria, Ibadan (1960-1969)",2,22.4,23.8,0.12,"Nigeria, Ibadan (1960-1969)",1,25.6,27.2,0.14,"Nigeria, Ibadan (1960-1969)",0,0,0,0,"Nigeria, Ibadan (1960-1969)",0,0,0,..,
Africa,"  Zimbabwe, Bulawayo: African (1968-1972)",19,5.1,13.8,..,"  Zimbabwe, Bulawayo: African (1968-1972)",0,0,0,0,"  Zimbabwe, Bulawayo: African (1968-1972)",0,0,0,0,"  Zimbabwe, Bulawayo: African (1968-1972)",0,0,0,0,"  Zimbabwe, Bulawayo: African (1968-1972)",0,0,0,0,"  Zimbabwe, Bulawayo: African (1968-1972)",0,0,0,0,"  Zimbabwe, Bulawayo: African (1968-1972)",0,0,0,0,"  Zimbabwe, Bulawayo: African (1968-1972)",4,12,12,0.06,"  Zimbabwe, Bulawayo: African (1968-1972)",4,16.3,16.3,0.08,"  Zimbabwe, Bulawayo: African (1968-1972)",2,11.5,11.5,0.06,"  Zimbabwe, Bulawayo: African (1968-1972)",4,39,39,0.2,"  Zimbabwe, Bulawayo: African (1968-1972)",2,40.4,40.4,0.2,"  Zimbabwe, Bulawayo: African (1968-1972)",1,31.7,31.7,0.16,"  Zimbabwe, Bulawayo: African (1968-1972)",1,74.1,74.1,0.37,"  Zimbabwe, Bulawayo: African (1968-1972)",1,95.2,95.2,0.48,"  Zimbabwe, Bulawayo: African (1968-1972)",0,..,..,.,"  Zimbabwe, Bulawayo: African (1968-1972)",0,..,..,..,"  Zimbabwe, Bulawayo: African (1968-1972)",0,..,..,..,"  Zimbabwe, Bulawayo: African (1968-1972)",0,..,..,..,
,,176,10.9,29.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0.4,0.4,0,0,7,1.6,1.7,0.01,0,24,20.1,20.6,0.1,0,29,34.3,35.3,0.18,0,21,29.6,30.7,0.16,0,21,67.8,69.5,0.35,0,24,86.6,89.4,0.44,0,9,71.7,74.1,0.37,0,14,125.1,128.2,0.64,0,13,201.8,208.3,1.05,0,2,22.4,23.8,0.12,0,1,25.6,27.2,0.14,0,0,0,0,0,0,0,0,0,0,
South America,"  Brazil, Pernambuco (Recife) (1968-1971)",622,26.8,41.9,..,"  Brazil, Pernambuco (Recife) (1968-1971)",0,0,0,0,"Brazil, Pernambuco (Recife) (1968-1971)",0,0,0,0,"Brazil, Pernambuco (Recife) (1968-1971)",1,0.5,0.5,0,"Brazil, Pernambuco (Recife) (1968-1971)",1,0.4,0.4,0,"Brazil, Pernambuco (Recife) (1968-1971)",3,1,1.1,0.01,"Brazil, Pernambuco (Recife) (1968-1971)",16,6.8,7.1,0.04,"Brazil, Pernambuco (Recife) (1968-1971)",38,21.7,22.7,0.11,"Brazil, Pernambuco (Recife) (1968-1971)",67,43.3,45.3,0.23,"Brazil, Pernambuco (Recife) (1968-1971)",79,70,73.3,0.37,"Brazil, Pernambuco (Recife) (1968-1971)",92,95.9,100.4,0.5,"Brazil, Pernambuco (Recife) (1968-1971)",72,96.1,100.7,0.5,"Brazil, Pernambuco (Recife) (1968-1971)",64,117.3,122.8,0.61,"  Brazil, Pernambuco (Recife) (1968-1971)",64,157.1,164.5,0.82,"Brazil, Pernambuco (Recife) (1968-1971)",36,104.7,109.6,0.55,"Brazil, Pernambuco (Recife) (1968-1971)",28,167.6,175.5,0.88,"Brazil, Pernambuco (Recife) (1968-1971)",10,82.5,86.4,0.43,"Brazil, Pernambuco (Recife) (1968-1971)",12,292.4,306.2,1.53,"Brazil, Pernambuco (Recife) (1968-1971)",11,177.9,186.3,..,
South America,"  Brazil, Sao Paulo (1969)",1064,36.8,47.3,..,"  Brazil, Sao Paulo (1969)",1,0.3,0.3,0,"  Brazil, Sao Paulo (1969)",0,0,0,0,"  Brazil, Sao Paulo (1969)",0,0,0,0,"  Brazil, Sao Paulo (1969)",3,1,1.1,0.01,"  Brazil, Sao Paulo (1969)",2,0.7,0.7,0,"  Brazil, Sao Paulo (1969)",13,5.2,5.4,0.03,"  Brazil, Sao Paulo (1969)",29,13.1,13.7,0.07,"  Brazil, Sao Paulo (1969)",87,44.3,46.3,0.23,"  Brazil, Sao Paulo (1969)",161,89.9,93.9,0.47,"  Brazil, Sao Paulo (1969)",157,113.3,118.4,0.59,"  Brazil, Sao Paulo (1969)",142,126.6,132.3,0.66,"  Brazil, Sao Paulo (1969)",120,134.2,140.3,0.7,"  Brazil, Sao Paulo (1969)",121,167.9,175.5,0.88,"  Brazil, Sao Paulo (1969)",81,161.3,168.6,0.84,"  Brazil, Sao Paulo (1969)",53,153.3,160.3,0.8,"  Brazil, Sao Paulo (1969)",27,150.3,157.1,0.79,"  Brazil, Sao Paulo (1969)",21,..,..,..,"  Brazil, Sao Paulo (1969)",0,..,..,..,
South America,"  Colombia, Cali (1967-1971)",325,16.2,27.8,..,"  Colombia, Cali (1967-1971)",0,0,0,0,"  Colombia, Cali (1967-1971)",0,0,0,0,"  Colombia, Cali (1967-1971)",0,0,0,0,"  Colombia, Cali (1967-1971)",0,0,0,0,"  Colombia, Cali (1967-1971)",1,0.5,0.5,0,"  Colombia, Cali (1967-1971)",4,2.4,2.5,0.01,"  Colombia, Cali (1967-1971)",14,10.2,10.4,0.05,"  Colombia, Cali (1967-1971)",28,24.6,24.9,0.12,"  Colombia, Cali (1967-1971)",46,52.6,53.4,0.27,"  Colombia, Cali (1967-1971)",51,67.1,68.1,0.34,"  Colombia, Cali (1967-1971)",45,74,75.1,0.38,"  Colombia, Cali (1967-1971)",31,68,69,0.35,"  Colombia, Cali (1967-1971)",23,67.2,68.3,0.34,"  Colombia, Cali (1967-1971)",31,116.5,118.3,0.59,"  Colombia, Cali (1967-1971)",15,98.7,100.2,0.5,"  Colombia, Cali (1967-1971)",31,..,..,..,"  Colombia, Cali (1967-1971)",0,..,..,..,"  Colombia, Cali (1967-1971)",0,..,..,..,
South America,  Cuba (1968-1972),4680,22.7,28,..,  Cuba (1968-1972),0,0,0,0,  Cuba (1968-1972),3,0.1,0.1,0,  Cuba (1968-1972),1,0.1,0.1,0,  Cuba (1968-1972),9,0.5,0.5,0,  Cuba (1968-1972),13,0.7,0.7,0,  Cuba (1968-1972),55,3.5,3.5,0.02,  Cuba (1968-1972),136,10,10.1,0.05,  Cuba (1968-1972),276,24.1,24.3,0.12,  Cuba (1968-1972),489,47.8,48.2,0.24,  Cuba (1968-1972),589,65,65.5,0.33,  Cuba (1968-1972),586,70.6,71.1,0.36,  Cuba (1968-1972),654,86.7,87.4,0.44,  Cuba (1968-1972),537,88.6,89.3,0.45,  Cuba (1968-1972),483,94.8,95.5,0.48,  Cuba (1968-1972),260,134.9,136,0.68,  Cuba (1968-1972),243,123.6,124.6,0.62,  Cuba (1968-1972),165,114.5,115.4,0.58,  Cuba (1968-1972),145,127.4,128.4,..,
South America,"  Jamaica, Kingston and St.Andrew (1967-1972)",479,28.4,39.6,..,"  Jamaica, Kingston and St.Andrew (1967-1972)",0,0,0,0,"  Jamaica, Kingston and St.Andrew (1967-1972)",0,0,0,0,"  Jamaica, Kingston and St.Andrew (1967-1972)",0,0,0,0,"  Jamaica, Kingston and St.Andrew (1967-1972)",0,0,0,0,"  Jamaica, Kingston and St.Andrew (1967-1972)",2,1.2,1.2,0.01,"  Jamaica, Kingston and St.Andrew (1967-1972)",7,5.4,5.4,0.03,"  Jamaica, Kingston and St.Andrew (1967-1972)",18,19.3,19.5,0.1,"  Jamaica, Kingston and St.Andrew (1967-1972)",43,50.4,50.9,0.25,"  Jamaica, Kingston and St.Andrew (1967-1972)",53,70,70.7,0.35,"  Jamaica, Kingston and St.Andrew (1967-1972)",58,88.1,89,0.45,"  Jamaica, Kingston and St.Andrew (1967-1972)",61,102.4,103.4,0.52,"  Jamaica, Kingston and St.Andrew (1967-1972)",55,110.9,112.1,0.56,"  Jamaica, Kingston and St.Andrew (1967-1972)",60,136.8,138.3,0.69,"  Jamaica, Kingston and St.Andrew (1967-1972)",57,177.2,179.1,0.9,"  Jamaica, Kingston and St.Andrew (1967-1972)",30,135.1,136.5,0.68,"  Jamaica, Kingston and St.Andrew (1967-1972)",13,93.8,94.7,0.47,"  Jamaica, Kingston and St.Andrew (1967-1972)",13,151.7,153.3,0.77,"  Jamaica, Kingston and St.Andrew (1967-1972)",4,52,52.5,..,
South America,"  USA, Puerto Rico (1968-1972)",1462,21.2,25.4,..,"  USA, Puerto Rico (1968-1972)",0,0,0,0,"  USA, Puerto Rico (1968-1972)",0,0,0,0,"  USA, Puerto Rico (1968-1972)",0,0,0,0,"  USA, Puerto Rico (1968-1972)",0,0,0,0,"  USA, Puerto Rico (1968-1972)",4,0.6,0.6,0,"  USA, Puerto Rico (1968-1972)",18,3.7,3.7,0.02,"  USA, Puerto Rico (1968-1972)",59,14.2,14.2,0.07,"  USA, Puerto Rico (1968-1972)",106,27.6,27.6,0.14,"  USA, Puerto Rico (1968-1972)",148,44,44.1,0.22,"  USA, Puerto Rico (1968-1972)",218,69.7,70,0.35,"  USA, Puerto Rico (1968-1972)",187,71.2,71.4,0.36,"  USA, Puerto Rico (1968-1972)",146,61.7,61.9,0.31,"  USA, Puerto Rico (1968-1972)",149,72.8,73.1,0.37,"  USA, Puerto Rico (1968-1972)",158,94.4,94.7,0.47,"  USA, Puerto Rico (1968-1972)",115,106.7,107,0.54,"  USA, Puerto Rico (1968-1972)",72,99.2,99.6,0.5,"  USA, Puerto Rico (1968-1972)",36,67.4,67.6,0.34,"  USA, Puerto Rico (1968-1972)",41,73.6,73.9,..,
