,Breast(C50)-Female age 0-85+,,,,,,age 0-4,,,,,age 5-9,,,,,age 10-14,,,,,age 15-19,,,,,age 20-24,,,,,age 25-29,,,,,age 30-34,,,,,age 35-39,,,,age 40-44,,,,,,age 45-49,,,,age 50-54,,,,,age 55-59,,,,,age 60-64,,,,,age 65-69,,,,,age 70-74,,,,,age 75-79,,,,,age 80-84,,,,,age 85+,,,,,
Continent,Population,Cases,Crude Rate,ASR (W),Cumulative Rate,Population,Cases,Crude Rate,ASR (W),Cumulative Rate,Population,Cases,Crude Rate,ASR (W),Cumulative Rate,Population,Cases,Crude Rate,ASR (W),Cumulative Rate,Population,Cases,Crude Rate,ASR (W),Cumulative Rate,Population,Cases,Crude Rate,ASR (W),Cumulative Rate,Population,Cases,Crude Rate,ASR (W),Cumulative Rate,Population,Cases,Crude Rate,ASR (W),Cumulative Rate,Population,Cases,Crude Rate,ASR (W),Cumulative Rate,Population,Cases,Crude Rate,ASR (W),Cumulative Rate,Population,Cases,Crude Rate,ASR (W),Cumulative Rate,Population,Cases,Crude Rate,ASR (W),Cumulative Rate,Population,Cases,Crude Rate,ASR (W),Cumulative Rate,Population,Cases,Crude Rate,ASR (W),Cumulative Rate,Population,Cases,Crude Rate,ASR (W),Cumulative Rate,Population,Cases,Crude Rate,ASR (W),Cumulative Rate,Population,Cases,Crude Rate,ASR (W),Cumulative Rate,Population,Cases,Crude Rate,ASR (W),Cumulative Rate,Population,Cases,Crude Rate,ASR (W),Cumulative Rate,https://ci5.iarc.fr/CI5I-X/Pages/table2_sel.aspx
Africa,"Senegal, Dakar (1969-1974)",127,6.1,11.8,..,"Senegal, Dakar (1969-1974)",1,0.3,0.3,0,"Senegal, Dakar (1969-1974)",0,0,0,0,"Senegal, Dakar (1969-1974)",0,0,0,0,"Senegal, Dakar (1969-1974)",1,0.4,0.4,0,"Senegal, Dakar (1969-1974)",2,1,1,0.01,"Senegal, Dakar (1969-1974)",8,5.1,5.2,0.03,"Senegal, Dakar (1969-1974)",10,7.2,7.4,0.04,"Senegal, Dakar (1969-1974)",13,11.6,11.8,0.06,"Senegal, Dakar (1969-1974)",12,13.8,14.1,0.07,"Senegal, Dakar (1969-1974)",24,40.7,41.7,0.21,"Senegal, Dakar (1969-1974)",18,38.2,39.1,0.2,"Senegal, Dakar (1969-1974)",12,33.1,33.9,0.17,"Senegal, Dakar (1969-1974)",11,38.6,39.5,0.2,"Senegal, Dakar (1969-1974)",5,25.3,25.9,0.13,"Senegal, Dakar (1969-1974)",6,43.8,44.9,0.22,"  Senegal, Dakar (1969-1974)",1,20.4,20.9,0.1,"Senegal, Dakar (1969-1974)",0,..,..,..,"Senegal, Dakar (1969-1974)",0,..,..,..,
,,127,6.1,11.8,0,0,1,0.3,0.3,0,0,0,0,0,0,0,0,0,0,0,0,1,0.4,0.4,0,0,2,1,1,0.01,0,8,5.1,5.2,0.03,0,10,7.2,7.4,0.04,0,13,11.6,11.8,0.06,0,12,13.8,14.1,0.07,0,24,40.7,41.7,0.21,0,18,38.2,39.1,0.2,0,12,33.1,33.9,0.17,0,11,38.6,39.5,0.2,0,5,25.3,25.9,0.13,0,6,43.8,44.9,0.22,0,1,20.4,20.9,0.1,0,0,0,0,0,0,0,0,0,0,
South America,"Brazil, Sao Paulo (1973)",1494,44,56.2,..,"Brazil, Sao Paulo (1973)",0,0,0,0,"Brazil, Sao Paulo (1973)",0,0,0,0,"Brazil, Sao Paulo (1973)",0,0,0,0,"Brazil, Sao Paulo (1973)",1,0.3,0.3,0,"Brazil, Sao Paulo (1973)",12,3.4,3.6,0.02,"Brazil, Sao Paulo (1973)",25,7.8,8.2,0.04,"Brazil, Sao Paulo (1973)",55,21.2,22.5,0.11,"Brazil, Sao Paulo (1973)",100,44.4,47,0.23,"Brazil, Sao Paulo (1973)",180,91.4,96.6,0.48,"Brazil, Sao Paulo (1973)",224,131.8,139.3,0.7,"Brazil, Sao Paulo (1973)",196,142,150.2,0.75,"Brazil, Sao Paulo (1973)",189,178.3,188.5,0.94,"Brazil, Sao Paulo (1973)",141,174.1,184.1,0.92,"Brazil, Sao Paulo (1973)",117,191.8,202.8,1.01,"Brazil, Sao Paulo (1973)",90,214.3,226.6,1.13,"Brazil, Sao Paulo (1973)",83,..,..,..,"Brazil, Sao Paulo (1973)",0,..,..,..,"Brazil, Sao Paulo (1973)",0,..,..,..,
South America,"  Colombia, Cali (1972-1976)",492,20.1,33.2,..,"  Colombia, Cali (1972-1976)",0,0,0,0,"  Colombia, Cali (1972-1976)",0,0,0,0,"  Colombia, Cali (1972-1976)",0,0,0,0,"  Colombia, Cali (1972-1976)",0,0,0,0,"  Colombia, Cali (1972-1976)",4,1.4,1.5,0.01,"  Colombia, Cali (1972-1976)",15,7.3,7.5,0.04,"  Colombia, Cali (1972-1976)",22,14,14.2,0.07,"  Colombia, Cali (1972-1976)",38,26.9,27.4,0.14,"  Colombia, Cali (1972-1976)",58,49.1,50,0.25,"  Colombia, Cali (1972-1976)",64,67.8,69,0.35,"  Colombia, Cali (1972-1976)",65,85.2,86.8,0.43,"  Colombia, Cali (1972-1976)",57,102.2,104.1,0.52,"  Colombia, Cali (1972-1976)",54,117.5,119.7,0.6,"  Colombia, Cali (1972-1976)",42,136,138.5,0.69,"  Colombia, Cali (1972-1976)",21,94,95.7,0.48,"  Colombia, Cali (1972-1976)",43,..,..,..,"  Colombia, Cali (1972-1976)",0,..,..,..,"  Colombia, Cali (1972-1976)",0,..,..,..,
South America,  Cuba (1973-1977),5281,23.1,28.5,..,  Cuba (1973-1977),2,0.1,0.1,0,  Cuba (1973-1977),1,0,0,0,  Cuba (1973-1977),0,0,0,0,  Cuba (1973-1977),4,0.2,0.2,0,  Cuba (1973-1977),18,1,1,0,  Cuba (1973-1977),57,3.2,3.3,0.02,  Cuba (1973-1977),151,9.6,9.6,0.05,  Cuba (1973-1977),285,20.4,20.6,0.1,  Cuba (1973-1977),402,35.9,36.1,0.18,  Cuba (1973-1977),609,57.9,58.3,0.29,  Cuba (1973-1977),693,79.9,80.4,0.4,  Cuba (1973-1977),637,82.2,82.7,0.41,  Cuba (1973-1977),702,99.2,99.8,0.5,  Cuba (1973-1977),607,101.1,101.7,0.51,  Cuba (1973-1977),484,203.4,204.8,1.02,  Cuba (1973-1977),235,98.1,98.8,0.49,  Cuba (1973-1977),176,103.6,104.3,0.52,  Cuba (1973-1977),183,129.8,130.7,..,
South America,"  Jamaica, Kingston and St.Andrew (1973-1977)",472,27.8,39,..,"  Jamaica, Kingston and St.Andrew (1973-1977)",0,0,0,0,"  Jamaica, Kingston and St.Andrew (1973-1977)",0,0,0,0,"  Jamaica, Kingston and St.Andrew (1973-1977)",0,0,0,0,"  Jamaica, Kingston and St.Andrew (1973-1977)",0,0,0,0,"  Jamaica, Kingston and St.Andrew (1973-1977)",2,1.2,1.2,0.01,"  Jamaica, Kingston and St.Andrew (1973-1977)",9,6.8,6.9,0.03,"  Jamaica, Kingston and St.Andrew (1973-1977)",20,21.4,21.8,0.11,"  Jamaica, Kingston and St.Andrew (1973-1977)",33,38.6,39.3,0.2,"  Jamaica, Kingston and St.Andrew (1973-1977)",48,63.2,64.2,0.32,"  Jamaica, Kingston and St.Andrew (1973-1977)",56,84.8,86.3,0.43,"  Jamaica, Kingston and St.Andrew (1973-1977)",49,82.4,83.8,0.42,"  Jamaica, Kingston and St.Andrew (1973-1977)",46,92.9,94.5,0.47,"  Jamaica, Kingston and St.Andrew (1973-1977)",74,170.1,173,0.87,"  Jamaica, Kingston and St.Andrew (1973-1977)",45,140.6,143,0.72,"  Jamaica, Kingston and St.Andrew (1973-1977)",31,144.2,146.7,0.73,"  Jamaica, Kingston and St.Andrew (1973-1977)",25,185.2,188.4,0.94,"  Jamaica, Kingston and St.Andrew (1973-1977)",17,200,203.4,1.02,"  Jamaica, Kingston and St.Andrew (1973-1977)",9,120,122.1,..,
South America,"  Netherlands, Antilles (1973-1978)",178,32.5,37.6,..,"  Netherlands, Antilles (1973-1978)",0,0,0,0,"  Netherlands, Antilles (1973-1978)",0,0,0,0,"  Netherlands, Antilles (1973-1978)",0,0,0,0,"  Netherlands, Antilles (1973-1978)",0,0,0,0,"  Netherlands, Antilles (1973-1978)",4,7.8,7.8,0.04,"  Netherlands, Antilles (1973-1978)",7,15.4,15.4,0.08,"  Netherlands, Antilles (1973-1978)",6,15.4,15.4,0.08,"  Netherlands, Antilles (1973-1978)",17,53.5,53.5,0.27,"  Netherlands, Antilles (1973-1978)",20,71.9,71.9,0.36,"  Netherlands, Antilles (1973-1978)",23,99.5,99.5,0.5,"  Netherlands, Antilles (1973-1978)",15,79,79,0.4,"  Netherlands, Antilles (1973-1978)",12,71.1,71.1,0.36,"  Netherlands, Antilles (1973-1978)",17,118,118,0.59,"  Netherlands, Antilles (1973-1978)",19,148.3,148.3,0.74,"  Netherlands, Antilles (1973-1978)",9,90,90,0.45,"  Netherlands, Antilles (1973-1978)",12,153.5,153.5,0.77,"  Netherlands, Antilles (1973-1978)",8,163.2,163.2,0.82,"  Netherlands, Antilles (1973-1978)",9,246.7,246.7,..,
South America,"  USA, Puerto Rico (1973-1977)",2006,25.1,29.5,..,"  USA, Puerto Rico (1973-1977)",0,0,0,0,"  USA, Puerto Rico (1973-1977)",0,0,0,0,"  USA, Puerto Rico (1973-1977)",0,0,0,0,"  USA, Puerto Rico (1973-1977)",0,0,0,0,"  USA, Puerto Rico (1973-1977)",8,1.1,1.1,0.01,"  USA, Puerto Rico (1973-1977)",27,4.6,4.6,0.02,"  USA, Puerto Rico (1973-1977)",98,19.9,19.9,0.1,"  USA, Puerto Rico (1973-1977)",121,27.2,27.2,0.14,"  USA, Puerto Rico (1973-1977)",201,51.1,51.1,0.26,"  USA, Puerto Rico (1973-1977)",242,67.4,67.4,0.34,"  USA, Puerto Rico (1973-1977)",269,87.3,87.3,0.44,"  USA, Puerto Rico (1973-1977)",240,87.8,87.8,0.44,"  USA, Puerto Rico (1973-1977)",224,94.8,94.8,0.47,"  USA, Puerto Rico (1973-1977)",197,101.5,101.5,0.51,"  USA, Puerto Rico (1973-1977)",137,102.8,102.8,0.51,"  USA, Puerto Rico (1973-1977)",102,119.9,119.9,0.6,"  USA, Puerto Rico (1973-1977)",75,119.8,119.8,0.6,"  USA, Puerto Rico (1973-1977)",65,99.6,99.6,..,
,,9923,172.6,224,0,0,2,0.1,0.1,0,0,1,0,0,0,0,0,0,0,0,0,5,0.5,0.5,0,0,48,15.9,16.2,0.09,0,140,45.1,45.9,0.23,0,352,101.5,103.4,0.52,0,594,211,215,1.08,0,909,362.6,369.9,1.85,0,1218,509.2,519.8,2.61,0,1287,555.8,567.5,2.84,0,1181,614.5,628.7,3.14,0,1212,773.7,789.4,3.95,0,1027,819.3,835.8,4.18,0,772,848.7,866.6,4.32,0,500,556.7,560.6,2.8,0,276,586.6,590.7,2.96,0,266,596.1,599.1,0,
