,Breast(C50)-Female age 0-85+,,,,,,age 0-4,,,,,age 5-9,,,,,age 10-14,,,,,age 15-19,,,,,age 20-24,,,,,age 25-29,,,,,age 30-34,,,,,age 35-39,,,,age 40-44,,,,,,age 45-49,,,,age 50-54,,,,,age 55-59,,,,,age 60-64,,,,,age 65-69,,,,,age 70-74,,,,,age 75-79,,,,,age 80-84,,,,,age 85+,,,,,
Continent,Population,Cases,Crude Rate,ASR (W),Cumulative Rate,Population,Cases,Crude Rate,ASR (W),Cumulative Rate,Population,Cases,Crude Rate,ASR (W),Cumulative Rate,Population,Cases,Crude Rate,ASR (W),Cumulative Rate,Population,Cases,Crude Rate,ASR (W),Cumulative Rate,Population,Cases,Crude Rate,ASR (W),Cumulative Rate,Population,Cases,Crude Rate,ASR (W),Cumulative Rate,Population,Cases,Crude Rate,ASR (W),Cumulative Rate,Population,Cases,Crude Rate,ASR (W),Cumulative Rate,Population,Cases,Crude Rate,ASR (W),Cumulative Rate,Population,Cases,Crude Rate,ASR (W),Cumulative Rate,Population,Cases,Crude Rate,ASR (W),Cumulative Rate,Population,Cases,Crude Rate,ASR (W),Cumulative Rate,Population,Cases,Crude Rate,ASR (W),Cumulative Rate,Population,Cases,Crude Rate,ASR (W),Cumulative Rate,Population,Cases,Crude Rate,ASR (W),Cumulative Rate,Population,Cases,Crude Rate,ASR (W),Cumulative Rate,Population,Cases,Crude Rate,ASR (W),Cumulative Rate,Population,Cases,Crude Rate,ASR (W),Cumulative Rate,https://ci5.iarc.fr/CI5I-X/Pages/table2_sel.aspx
Africa,"Algeria, Setif Wilaya (1998-2002)",414,12.2,18.8,..,"Algeria, Setif Wilaya (1998-2002)",0,0,0,0,"Algeria, Setif Wilaya (1998-2002)",0,0,0,0,"Algeria, Setif Wilaya (1998-2002)",0,0,0,0,"Algeria, Setif Wilaya (1998-2002)",0,0,0,0,"Algeria, Setif Wilaya (1998-2002)",0,0,0,0,"Algeria, Setif Wilaya (1998-2002)",17,6.1,6.1,0.03,"Algeria, Setif Wilaya (1998-2002)",36,15.9,15.9,0.08,"Algeria, Setif Wilaya (1998-2002)",44,21.6,21.6,0.11,"Algeria, Setif Wilaya (1998-2002)",64,38.3,38.3,0.19,"  Algeria, Setif Wilaya (1998-2002)",71,56.8,56.8,0.28,"Algeria, Setif Wilaya (1998-2002)",55,74,74,0.37,"Algeria, Setif Wilaya (1998-2002)",36,50.6,50.6,0.25,"Algeria, Setif Wilaya (1998-2002)",34,47.8,47.8,0.24,"Algeria, Setif Wilaya (1998-2002)",32,52.5,52.5,0.26,"Algeria, Setif Wilaya (1998-2002)",17,..,..,..,"  Algeria, Setif Wilaya (1998-2002)",6,..,..,..,"Algeria, Setif Wilaya (1998-2002)",0,..,..,..,"Algeria, Setif Wilaya (1998-2002)",2,..,..,..,
Africa,"  Egypt, Gharbiah (1999-2002)",2426,33.5,42.5,..,"  Egypt, Gharbiah (1999-2002)",0,0,0,0,"  Egypt, Gharbiah (1999-2002)",0,0,0,0,"  Egypt, Gharbiah (1999-2002)",0,0,0,0,"  Egypt, Gharbiah (1999-2002)",2,0.2,0.2,0,"  Egypt, Gharbiah (1999-2002)",9,1.2,1.2,0.01,"  Egypt, Gharbiah (1999-2002)",51,8.3,8.3,0.04,"  Egypt, Gharbiah (1999-2002)",147,27.6,27.6,0.14,"  Egypt, Gharbiah (1999-2002)",278,61,61,0.3,"  Egypt, Gharbiah (1999-2002)",367,98.8,98.8,0.49,"  Egypt, Gharbiah (1999-2002)",416,123.8,123.8,0.62,"  Egypt, Gharbiah (1999-2002)",383,136.5,136.5,0.68,"  Egypt, Gharbiah (1999-2002)",293,111.2,111.2,0.56,"  Egypt, Gharbiah (1999-2002)",217,130.5,130.5,0.65,"  Egypt, Gharbiah (1999-2002)",124,94.8,94.8,0.47,"  Egypt, Gharbiah (1999-2002)",80,..,..,..,"  Egypt, Gharbiah (1999-2002)",35,..,..,..,"  Egypt, Gharbiah (1999-2002)",20,..,..,..,"  Egypt, Gharbiah (1999-2002)",4,..,..,..,
Africa,"  Tunisia, Centre, Sousse (1998-2002)",308,25.2,29.8,..,"  Tunisia, Centre, Sousse (1998-2002)",0,0,0,0,"  Tunisia, Centre, Sousse (1998-2002)",0,0,0,0,"  Tunisia, Centre, Sousse (1998-2002)",0,0,0,0,"  Tunisia, Centre, Sousse (1998-2002)",0,0,0,0,"  Tunisia, Centre, Sousse (1998-2002)",2,1.7,1.7,0.01,"  Tunisia, Centre, Sousse (1998-2002)",7,6.6,6.6,0.03,"  Tunisia, Centre, Sousse (1998-2002)",21,22.3,22.3,0.11,"  Tunisia, Centre, Sousse (1998-2002)",38,42.9,42.9,0.21,"  Tunisia, Centre, Sousse (1998-2002)",46,61.3,61.3,0.31,"  Tunisia, Centre, Sousse (1998-2002)",30,54.1,54.1,0.27,"  Tunisia, Centre, Sousse (1998-2002)",39,94,94,0.47,"  Tunisia, Centre, Sousse (1998-2002)",39,111.4,111.4,0.56,"  Tunisia, Centre, Sousse (1998-2002)",31,93.9,93.9,0.47,"  Tunisia, Centre, Sousse (1998-2002)",26,92.9,92.9,0.46,"  Tunisia, Centre, Sousse (1998-2002)",15,..,..,..,"  Tunisia, Centre, Sousse (1998-2002)",10,..,..,..,"  Tunisia, Centre, Sousse (1998-2002)",1,..,..,..,"  Tunisia, Centre, Sousse (1998-2002)",3,..,..,..,
Africa,"  Uganda, Kyadondo County (1998-2002)",332,8.4,23.4,..,"  Uganda, Kyadondo County (1998-2002)",0,0,0,0,"  Uganda, Kyadondo County (1998-2002)",0,0,0,0,"  Uganda, Kyadondo County (1998-2002)",0,0,0,0,"  Uganda, Kyadondo County (1998-2002)",4,0.7,0.7,0,"  Uganda, Kyadondo County (1998-2002)",9,1.6,1.6,0.01,"  Uganda, Kyadondo County (1998-2002)",19,4.5,4.6,0.02,"  Uganda, Kyadondo County (1998-2002)",35,13.7,14.1,0.07,"  Uganda, Kyadondo County (1998-2002)",56,34.3,35.3,0.18,"  Uganda, Kyadondo County (1998-2002)",47,42.6,43.8,0.22,"  Uganda, Kyadondo County (1998-2002)",31,46.8,48.1,0.24,"  Uganda, Kyadondo County (1998-2002)",41,77.6,79.8,0.4,"  Uganda, Kyadondo County (1998-2002)",21,77.2,79.3,0.4,"  Uganda, Kyadondo County (1998-2002)",23,73.3,75.3,0.38,"  Uganda, Kyadondo County (1998-2002)",11,66.9,68.7,0.34,"  Uganda, Kyadondo County (1998-2002)",12,..,..,..,"  Uganda, Kyadondo County (1998-2002)",9,..,..,..,"  Uganda, Kyadondo County (1998-2002)",3,..,..,..,"  Uganda, Kyadondo County (1998-2002)",2,..,..,..,
Africa,"  Zimbabwe, Harare: African (1998-2002)",330,7.6,19,..,"  Zimbabwe, Harare: African (1998-2002)",0,0,0,0,"  Zimbabwe, Harare: African (1998-2002)",0,0,0,0,"  Zimbabwe, Harare: African (1998-2002)",0,0,0,0,"  Zimbabwe, Harare: African (1998-2002)",0,0,0,0,"  Zimbabwe, Harare: African (1998-2002)",5,0.8,0.8,0,"  Zimbabwe, Harare: African (1998-2002)",20,4.1,4.1,0.02,"  Zimbabwe, Harare: African (1998-2002)",28,9.3,9.3,0.05,"  Zimbabwe, Harare: African (1998-2002)",39,13.6,13.7,0.07,"  Zimbabwe, Harare: African (1998-2002)",48,33.2,33.4,0.17,"  Zimbabwe, Harare: African (1998-2002)",36,32.2,32.4,0.16,"  Zimbabwe, Harare: African (1998-2002)",47,57.7,58.1,0.29,"  Zimbabwe, Harare: African (1998-2002)",28,43.9,44.2,0.22,"  Zimbabwe, Harare: African (1998-2002)",29,69.6,70.1,0.35,"  Zimbabwe, Harare: African (1998-2002)",20,53,53.3,0.27,"  Zimbabwe, Harare: African (1998-2002)",13,..,..,..,"  Zimbabwe, Harare: African (1998-2002)",9,..,..,..,"  Zimbabwe, Harare: African (1998-2002)",4,..,..,..,"  Zimbabwe, Harare: African (1998-2002)",2,..,..,..,
,,3810,86.9,133.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0.9,0.9,0,0,25,5.3,5.3,0.03,0,114,29.6,29.7,0.14,0,267,88.8,89.2,0.45,0,455,173.4,174.5,0.87,0,572,274.2,275.6,1.38,0,584,313.7,315.2,1.57,0,565,439.8,442.4,2.21,0,417,394.3,396.7,1.99,0,334,415.1,417.6,2.09,0,213,360.1,362.2,1.8,0,137,0,0,0,0,69,0,0,0,0,28,0,0,0,0,13,0,0,0,
South America,"Argentina, Bahia Blanca (1998-2002)",844,114.1,85.7,..,"Argentina, Bahia Blanca (1998-2002)",0,0,0,0,"Argentina, Bahia Blanca (1998-2002)",0,0,0,0,"Argentina, Bahia Blanca (1998-2002)",0,0,0,0,"Argentina, Bahia Blanca (1998-2002)",0,0,0,0,"Argentina, Bahia Blanca (1998-2002)",2,3.1,3.1,0.02,"Argentina, Bahia Blanca (1998-2002)",7,13.5,13.7,0.07,"Argentina, Bahia Blanca (1998-2002)",13,28.7,29.2,0.15,"Argentina, Bahia Blanca (1998-2002)",28,61.3,62.3,0.31,"Argentina, Bahia Blanca (1998-2002)",54,122,123.9,0.62,"  Argentina, Bahia Blanca (1998-2002)",85,201.9,205,1.03,"Argentina, Bahia Blanca (1998-2002)",94,227.1,230.6,1.15,"Argentina, Bahia Blanca (1998-2002)",109,308.5,313.3,1.57,"Argentina, Bahia Blanca (1998-2002)",98,314.2,319.1,1.6,"Argentina, Bahia Blanca (1998-2002)",91,313.5,318.4,1.59,"Argentina, Bahia Blanca (1998-2002)",90,322.3,327.4,1.64,"Argentina, Bahia Blanca (1998-2002)",70,297.1,301.8,1.51,"Argentina, Bahia Blanca (1998-2002)",48,309.5,314.3,1.57,"Argentina, Bahia Blanca (1998-2002)",42,320.4,325.4,..,
South America,"  Brazil, Brasilia (1998-2001)",2023,48.3,68.7,..,"  Brazil, Brasilia (1998-2001)",0,0,0,0,"  Brazil, Brasilia (1998-2001)",1,0.3,0.3,0,"  Brazil, Brasilia (1998-2001)",0,0,0,0,"  Brazil, Brasilia (1998-2001)",13,2.7,2.9,0.01,"  Brazil, Brasilia (1998-2001)",28,5.9,6.3,0.03,"  Brazil, Brasilia (1998-2001)",50,11.9,12.7,0.06,"  Brazil, Brasilia (1998-2001)",89,23.7,25.1,0.13,"  Brazil, Brasilia (1998-2001)",170,53.4,56.6,0.28,"  Brazil, Brasilia (1998-2001)",222,85,90.2,0.45,"  Brazil, Brasilia (1998-2001)",275,133.7,141.8,0.71,"  Brazil, Brasilia (1998-2001)",272,178.5,189.3,0.95,"  Brazil, Brasilia (1998-2001)",214,200,212,1.06,"  Brazil, Brasilia (1998-2001)",215,266.8,282.9,1.41,"  Brazil, Brasilia (1998-2001)",125,226.7,240.4,1.2,"  Brazil, Brasilia (1998-2001)",99,261.7,277.4,1.39,"  Brazil, Brasilia (1998-2001)",71,305.9,324.4,1.62,"  Brazil, Brasilia (1998-2001)",33,233,247,1.23,"  Brazil, Brasilia (1998-2001)",31,291.4,308.9,..,
South America,"  Brazil, Cuiaba (2000-2002)",423,38.9,51.7,..,"  Brazil, Cuiaba (2000-2002)",0,0,0,0,"  Brazil, Cuiaba (2000-2002)",0,0,0,0,"  Brazil, Cuiaba (2000-2002)",0,0,0,0,"  Brazil, Cuiaba (2000-2002)",0,0,0,0,"  Brazil, Cuiaba (2000-2002)",2,1.7,1.7,0.01,"  Brazil, Cuiaba (2000-2002)",12,11.8,11.9,0.06,"  Brazil, Cuiaba (2000-2002)",22,23.9,24,0.12,"  Brazil, Cuiaba (2000-2002)",36,42.8,43.2,0.22,"  Brazil, Cuiaba (2000-2002)",60,84.4,85,0.42,"  Brazil, Cuiaba (2000-2002)",77,142.9,143.9,0.72,"  Brazil, Cuiaba (2000-2002)",54,136.3,137.3,0.69,"  Brazil, Cuiaba (2000-2002)",40,145.5,146.6,0.73,"  Brazil, Cuiaba (2000-2002)",22,100.4,101.1,0.51,"  Brazil, Cuiaba (2000-2002)",30,192.1,193.5,0.97,"  Brazil, Cuiaba (2000-2002)",22,204.1,205.6,1.03,"  Brazil, Cuiaba (2000-2002)",23,356.9,359.4,1.8,"  Brazil, Cuiaba (2000-2002)",14,340.5,342.9,1.71,"  Brazil, Cuiaba (2000-2002)",6,164.8,166,..,
