,Breast(C50)-Male age 0-85+,,,,,,age 0-4,,,,,age 5-9,,,,,age 10-14,,,,,age 15-19,,,,,age 20-24,,,,,age 25-29,,,,,age 30-34,,,,,age 35-39,,,,age 40-44,,,,,,age 45-49,,,,age 50-54,,,,,age 55-59,,,,,age 60-64,,,,,age 65-69,,,,,age 70-74,,,,,age 75-79,,,,,age 80-84,,,,,age 85+,,,,,
Continent,Population,Cases,Crude Rate,ASR (W),Cumulative Rate,Population,Cases,Crude Rate,ASR (W),Cumulative Rate,Population,Cases,Crude Rate,ASR (W),Cumulative Rate,Population,Cases,Crude Rate,ASR (W),Cumulative Rate,Population,Cases,Crude Rate,ASR (W),Cumulative Rate,Population,Cases,Crude Rate,ASR (W),Cumulative Rate,Population,Cases,Crude Rate,ASR (W),Cumulative Rate,Population,Cases,Crude Rate,ASR (W),Cumulative Rate,Population,Cases,Crude Rate,ASR (W),Cumulative Rate,Population,Cases,Crude Rate,ASR (W),Cumulative Rate,Population,Cases,Crude Rate,ASR (W),Cumulative Rate,Population,Cases,Crude Rate,ASR (W),Cumulative Rate,Population,Cases,Crude Rate,ASR (W),Cumulative Rate,Population,Cases,Crude Rate,ASR (W),Cumulative Rate,Population,Cases,Crude Rate,ASR (W),Cumulative Rate,Population,Cases,Crude Rate,ASR (W),Cumulative Rate,Population,Cases,Crude Rate,ASR (W),Cumulative Rate,Population,Cases,Crude Rate,ASR (W),Cumulative Rate,Population,Cases,Crude Rate,ASR (W),Cumulative Rate,https://ci5.iarc.fr/CI5I-X/Pages/table2_sel.aspx
South America,"Brazil, Fortaleza (1978-1982)",1109,31.9,50,..,"Brazil, Fortaleza (1978-1982)",0,0,0,0,"Brazil, Fortaleza (1978-1982)",0,0,0,0,"Brazil, Fortaleza (1978-1982)",0,0,0,0,"Brazil, Fortaleza (1978-1982)",1,0.2,0.2,0,"Brazil, Fortaleza (1978-1982)",8,2.1,2.1,0.01,"Brazil, Fortaleza (1978-1982)",18,5.9,6,0.03,"  Brazil, Fortaleza (1978-1982)",40,16.5,16.5,0.08,"Brazil, Fortaleza (1978-1982)",84,45,45.2,0.23,"Brazil, Fortaleza (1978-1982)",133,78.3,78.7,0.39,"Brazil, Fortaleza (1978-1982)",161,128,128.7,0.64,"  Brazil, Fortaleza (1978-1982)",175,146.4,147.2,0.74,"Brazil, Fortaleza (1978-1982)",149,169,169.9,0.85,"Brazil, Fortaleza (1978-1982)",117,182.6,183.6,0.92,"Brazil, Fortaleza (1978-1982)",85,156.6,157.4,0.79,"  Brazil, Fortaleza (1978-1982)",67,201,202.1,1.01,"Brazil, Fortaleza (1978-1982)",27,155.4,156.2,0.78,"Brazil, Fortaleza (1978-1982)",18,129.9,130.6,0.65,"Brazil, Fortaleza (1978-1982)",20,132.5,133.3,..,
South America,"  Brazil, Pernambuco (Recife) (1980)",233,36.2,48.2,..,"  Brazil, Pernambuco (Recife) (1980)",0,0,0,0,"  Brazil, Pernambuco (Recife) (1980)",0,0,0,0,"  Brazil, Pernambuco (Recife) (1980)",1,1.4,1.6,0.01,"  Brazil, Pernambuco (Recife) (1980)",4,5.1,5.8,0.03,"  Brazil, Pernambuco (Recife) (1980)",3,4.3,4.9,0.02,"  Brazil, Pernambuco (Recife) (1980)",4,7.3,8.1,0.04,"  Brazil, Pernambuco (Recife) (1980)",8,18.3,20.5,0.1,"  Brazil, Pernambuco (Recife) (1980)",9,25.3,28.4,0.14,"  Brazil, Pernambuco (Recife) (1980)",18,53.9,60.4,0.3,"  Brazil, Pernambuco (Recife) (1980)",22,82.5,92.5,0.46,"  Brazil, Pernambuco (Recife) (1980)",36,140.9,157.9,0.79,"  Brazil, Pernambuco (Recife) (1980)",30,158.1,177.1,0.89,"  Brazil, Pernambuco (Recife) (1980)",18,117,131,0.66,"  Brazil, Pernambuco (Recife) (1980)",23,202,226.3,1.13,"  Brazil, Pernambuco (Recife) (1980)",16,179,200.5,1,"  Brazil, Pernambuco (Recife) (1980)",10,158.2,177.2,0.89,"  Brazil, Pernambuco (Recife) (1980)",6,..,..,..,"  Brazil, Pernambuco (Recife) (1980)",0,..,..,..,
South America,"  Brazil, Porto Alegre (1979-1982)",1315,55.1,60.6,..,"  Brazil, Porto Alegre (1979-1982)",0,0,0,0,"  Brazil, Porto Alegre (1979-1982)",0,0,0,0,"  Brazil, Porto Alegre (1979-1982)",0,0,0,0,"  Brazil, Porto Alegre (1979-1982)",2,0.8,0.9,0,"  Brazil, Porto Alegre (1979-1982)",4,1.5,1.6,0.01,"  Brazil, Porto Alegre (1979-1982)",14,6,6.2,0.03,"  Brazil, Porto Alegre (1979-1982)",29,15,15.6,0.08,"  Brazil, Porto Alegre (1979-1982)",63,40.7,42.3,0.21,"  Brazil, Porto Alegre (1979-1982)",110,77.9,80.9,0.4,"  Brazil, Porto Alegre (1979-1982)",157,122.1,126.8,0.63,"  Brazil, Porto Alegre (1979-1982)",180,151.7,157.5,0.79,"  Brazil, Porto Alegre (1979-1982)",145,161.3,167.5,0.84,"  Brazil, Porto Alegre (1979-1982)",164,229.9,238.6,1.19,"  Brazil, Porto Alegre (1979-1982)",123,222.2,230.7,1.15,"  Brazil, Porto Alegre (1979-1982)",110,..,..,..,"  Brazil, Porto Alegre (1979-1982)",71,..,..,..,"  Brazil, Porto Alegre (1979-1982)",95,..,..,..,"  Brazil, Porto Alegre (1979-1982)",0,..,..,..,
South America,"  Brazil, Sao Paulo (1978)",1892,53.8,65.5,..,"  Brazil, Sao Paulo (1978)",0,0,0,0,"  Brazil, Sao Paulo (1978)",0,0,0,0,"  Brazil, Sao Paulo (1978)",0,0,0,0,"  Brazil, Sao Paulo (1978)",1,0.3,0.3,0,"  Brazil, Sao Paulo (1978)",8,2,2.2,0.01,"  Brazil, Sao Paulo (1978)",29,8.2,8.7,0.04,"  Brazil, Sao Paulo (1978)",81,28.4,30.1,0.15,"  Brazil, Sao Paulo (1978)",120,53.3,56.6,0.28,"  Brazil, Sao Paulo (1978)",179,90.1,95.7,0.48,"  Brazil, Sao Paulo (1978)",250,145.7,154.7,0.77,"  Brazil, Sao Paulo (1978)",290,185.3,196.7,0.98,"  Brazil, Sao Paulo (1978)",210,178.4,189.4,0.95,"  Brazil, Sao Paulo (1978)",184,203.6,216.2,1.08,"  Brazil, Sao Paulo (1978)",160,227,241,1.21,"  Brazil, Sao Paulo (1978)",123,..,..,..,"  Brazil, Sao Paulo (1978)",85,..,..,..,"  Brazil, Sao Paulo (1978)",38,..,..,..,"  Brazil, Sao Paulo (1978)",24,..,..,..,
South America,"  Colombia, Cali (1977-1981)",614,20.5,34.8,..,"  Colombia, Cali (1977-1981)",0,0,0,0,"  Colombia, Cali (1977-1981)",0,0,0,0,"  Colombia, Cali (1977-1981)",0,0,0,0,"  Colombia, Cali (1977-1981)",2,0.5,0.5,0,"  Colombia, Cali (1977-1981)",2,0.6,0.6,0,"  Colombia, Cali (1977-1981)",16,6.6,6.8,0.03,"  Colombia, Cali (1977-1981)",20,10.4,10.7,0.05,"  Colombia, Cali (1977-1981)",47,27,27.7,0.14,"  Colombia, Cali (1977-1981)",63,44,45.3,0.23,"  Colombia, Cali (1977-1981)",85,74.3,76.4,0.38,"  Colombia, Cali (1977-1981)",81,88.5,91,0.46,"  Colombia, Cali (1977-1981)",61,91.7,94.3,0.47,"  Colombia, Cali (1977-1981)",74,131.6,135.3,0.68,"  Colombia, Cali (1977-1981)",48,134.7,138.6,0.69,"  Colombia, Cali (1977-1981)",42,150.8,155,0.78,"  Colombia, Cali (1977-1981)",23,158,162.5,0.81,"  Colombia, Cali (1977-1981)",18,205.1,211,1.05,"  Colombia, Cali (1977-1981)",15,178.9,184,..,
South America,  Costa Rica (1980-1982),680,19.8,30.7,..,  Costa Rica (1980-1982),0,0,0,0,  Costa Rica (1980-1982),0,0,0,0,  Costa Rica (1980-1982),0,0,0,0,  Costa Rica (1980-1982),0,0,0,0,  Costa Rica (1980-1982),2,0.5,0.5,0,  Costa Rica (1980-1982),7,2.2,2.2,0.01,  Costa Rica (1980-1982),40,16.2,16.2,0.08,  Costa Rica (1980-1982),44,23.3,23.3,0.12,  Costa Rica (1980-1982),58,39,39.1,0.2,  Costa Rica (1980-1982),93,73.3,73.4,0.37,  Costa Rica (1980-1982),93,85,85.2,0.43,  Costa Rica (1980-1982),80,88.9,89,0.45,  Costa Rica (1980-1982),70,99,99.2,0.5,  Costa Rica (1980-1982),67,124.1,124.3,0.62,  Costa Rica (1980-1982),52,137.2,137.4,0.69,  Costa Rica (1980-1982),40,164.2,164.5,0.82,  Costa Rica (1980-1982),21,177.9,178.2,0.89,  Costa Rica (1980-1982),12,117.3,117.4,..,
South America,"  France, Martinique (1981-1982)",106,31.5,31.1,..,"  France, Martinique (1981-1982)",0,0,0,0,"  France, Martinique (1981-1982)",0,0,0,0,"  France, Martinique (1981-1982)",0,0,0,0,"  France, Martinique (1981-1982)",0,0,0,0,"  France, Martinique (1981-1982)",0,0,0,0,"  France, Martinique (1981-1982)",2,8.7,8.7,0.04,"  France, Martinique (1981-1982)",2,9.4,9.4,0.05,"  France, Martinique (1981-1982)",5,27.4,27.4,0.14,"  France, Martinique (1981-1982)",6,36.2,36.2,0.18,"  France, Martinique (1981-1982)",17,102.9,102.9,0.51,"  France, Martinique (1981-1982)",10,66.7,66.7,0.33,"  France, Martinique (1981-1982)",9,66.7,66.7,0.33,"  France, Martinique (1981-1982)",11,95.4,95.4,0.48,"  France, Martinique (1981-1982)",15,152.6,152.6,0.76,"  France, Martinique (1981-1982)",10,124.3,124.3,0.62,"  France, Martinique (1981-1982)",8,138.2,138.2,0.69,"  France, Martinique (1981-1982)",7,191.3,191.3,0.96,"  France, Martinique (1981-1982)",4,130.7,130.7,..,
South America,"  Netherlands, Antilles (1978-1982)",153,32.2,35.2,..,"  Netherlands, Antilles (1978-1982)",0,0,0,0,"  Netherlands, Antilles (1978-1982)",0,0,0,0,"  Netherlands, Antilles (1978-1982)",0,0,0,0,"  Netherlands, Antilles (1978-1982)",0,0,0,0,"  Netherlands, Antilles (1978-1982)",0,0,0,0,"  Netherlands, Antilles (1978-1982)",3,6.9,6.9,0.03,"  Netherlands, Antilles (1978-1982)",8,20.6,20.6,0.1,"  Netherlands, Antilles (1978-1982)",11,36.1,36.1,0.18,"  Netherlands, Antilles (1978-1982)",14,53.7,53.7,0.27,"  Netherlands, Antilles (1978-1982)",21,98.3,98.3,0.49,"  Netherlands, Antilles (1978-1982)",14,77.8,77.8,0.39,"  Netherlands, Antilles (1978-1982)",10,70.3,70.3,0.35,"  Netherlands, Antilles (1978-1982)",15,117.2,117.2,0.59,"  Netherlands, Antilles (1978-1982)",13,121.6,121.6,0.61,"  Netherlands, Antilles (1978-1982)",17,183.2,183.2,0.92,"  Netherlands, Antilles (1978-1982)",7,103.2,103.2,0.52,"  Netherlands, Antilles (1978-1982)",12,252.6,252.6,1.26,"  Netherlands, Antilles (1978-1982)",8,234.3,234.3,..,
South America,"  USA, Puerto Rico (1978-1982)",2761,33.6,35.1,..,"  USA, Puerto Rico (1978-1982)",0,0,0,0,"  USA, Puerto Rico (1978-1982)",0,0,0,0,"  USA, Puerto Rico (1978-1982)",0,0,0,0,"  USA, Puerto Rico (1978-1982)",2,0.2,0.2,0,"  USA, Puerto Rico (1978-1982)",7,1,1,0,"  USA, Puerto Rico (1978-1982)",42,6.7,6.7,0.03,"  USA, Puerto Rico (1978-1982)",117,19.1,19.1,0.1,"  USA, Puerto Rico (1978-1982)",180,35,35,0.17,"  USA, Puerto Rico (1978-1982)",269,61.3,61.3,0.31,"  USA, Puerto Rico (1978-1982)",339,88.3,88.3,0.44,"  USA, Puerto Rico (1978-1982)",343,99.8,99.8,0.5,"  USA, Puerto Rico (1978-1982)",338,108.2,108.2,0.54,"  USA, Puerto Rico (1978-1982)",282,103.7,103.7,0.52,"  USA, Puerto Rico (1978-1982)",273,112.3,112.3,0.56,"  USA, Puerto Rico (1978-1982)",217,128.7,128.7,0.64,"  USA, Puerto Rico (1978-1982)",165,139.1,139.1,0.7,"  USA, Puerto Rico (1978-1982)",99,150.8,150.8,0.75,"  USA, Puerto Rico (1978-1982)",88,131.4,131.4,..,
