,Breast(C50)-Female age 0-85+,,,,,,age 0-4,,,,,age 5-9,,,,,age 10-14,,,,,age 15-19,,,,,age 20-24,,,,,age 25-29,,,,,age 30-34,,,,,age 35-39,,,,age 40-44,,,,,,age 45-49,,,,age 50-54,,,,,age 55-59,,,,,age 60-64,,,,,age 65-69,,,,,age 70-74,,,,,age 75-79,,,,,age 80-84,,,,,age 85+,,,,,
Continent,Population,Cases,Crude Rate,ASR (W),Cumulative Rate,Population,Cases,Crude Rate,ASR (W),Cumulative Rate,Population,Cases,Crude Rate,ASR (W),Cumulative Rate,Population,Cases,Crude Rate,ASR (W),Cumulative Rate,Population,Cases,Crude Rate,ASR (W),Cumulative Rate,Population,Cases,Crude Rate,ASR (W),Cumulative Rate,Population,Cases,Crude Rate,ASR (W),Cumulative Rate,Population,Cases,Crude Rate,ASR (W),Cumulative Rate,Population,Cases,Crude Rate,ASR (W),Cumulative Rate,Population,Cases,Crude Rate,ASR (W),Cumulative Rate,Population,Cases,Crude Rate,ASR (W),Cumulative Rate,Population,Cases,Crude Rate,ASR (W),Cumulative Rate,Population,Cases,Crude Rate,ASR (W),Cumulative Rate,Population,Cases,Crude Rate,ASR (W),Cumulative Rate,Population,Cases,Crude Rate,ASR (W),Cumulative Rate,Population,Cases,Crude Rate,ASR (W),Cumulative Rate,Population,Cases,Crude Rate,ASR (W),Cumulative Rate,Population,Cases,Crude Rate,ASR (W),Cumulative Rate,Population,Cases,Crude Rate,ASR (W),Cumulative Rate,https://ci5.iarc.fr/CI5I-X/Pages/table2_sel.aspx
Africa,"Algeria, Setif Wilaya (1986-1989)",87,4,6.4,..,"Algeria, Setif Wilaya (1986-1989)",1,0.2,0.2,0,"  Algeria, Setif Wilaya (1986-1989)",0,0,0,0,"Algeria, Setif Wilaya (1986-1989)",1,0.4,0.4,0,"Algeria, Setif Wilaya (1986-1989)",4,1.7,1.7,0.01,"Algeria, Setif Wilaya (1986-1989)",0,0,0,0,"Algeria, Setif Wilaya (1986-1989)",7,5.1,5.2,0.03,"Algeria, Setif Wilaya (1986-1989)",11,12.5,12.8,0.06,"Algeria, Setif Wilaya (1986-1989)",8,8.4,8.6,0.04,"Algeria, Setif Wilaya (1986-1989)",10,10.9,11.2,0.06,"Algeria, Setif Wilaya (1986-1989)",13,16.5,16.9,0.08,"Algeria, Setif Wilaya (1986-1989)",6,10.5,10.8,0.05,"Algeria, Setif Wilaya (1986-1989)",9,18.5,19,0.09,"Algeria, Setif Wilaya (1986-1989)",6,..,..,..,"Algeria, Setif Wilaya (1986-1989)",3,..,..,..,"Algeria, Setif Wilaya (1986-1989)",4,..,..,..,"Algeria, Setif Wilaya (1986-1989)",1,..,..,..,"Algeria, Setif Wilaya (1986-1989)",1,..,..,..,"  Algeria, Setif Wilaya (1986-1989)",0,..,..,..,
Africa,"  Mali, Bamako (1987-1989)",46,4.5,10.2,..,"  Mali, Bamako (1987-1989)",0,0,0,0,"  Mali, Bamako (1987-1989)",0,0,0,0,"  Mali, Bamako (1987-1989)",0,0,0,0,"  Mali, Bamako (1987-1989)",1,0.8,0.8,0,"  Mali, Bamako (1987-1989)",0,0,0,0,"  Mali, Bamako (1987-1989)",4,4.5,4.7,0.02,"  Mali, Bamako (1987-1989)",2,3.1,3.3,0.02,"  Mali, Bamako (1987-1989)",4,8.2,8.6,0.04,"  Mali, Bamako (1987-1989)",6,16.3,17.1,0.09,"  Mali, Bamako (1987-1989)",6,22.4,23.4,0.12,"  Mali, Bamako (1987-1989)",2,9.4,9.8,0.05,"  Mali, Bamako (1987-1989)",4,28,29.2,0.15,"  Mali, Bamako (1987-1989)",6,47.9,50.1,0.25,"  Mali, Bamako (1987-1989)",4,51.1,53.5,0.27,"  Mali, Bamako (1987-1989)",2,33.9,35.4,0.18,"  Mali, Bamako (1987-1989)",0,0,0,0,"  Mali, Bamako (1987-1989)",3,..,..,..,"  Mali, Bamako (1987-1989)",0,..,..,..,
Africa,  The Gambia (1987-1989),25,2.1,3.4,..,  The Gambia (1987-1989),0,0,0,0,  The Gambia (1987-1989),0,0,0,0,  The Gambia (1987-1989),1,0.8,0.9,0,  The Gambia (1987-1989),0,0,0,0,  The Gambia (1987-1989),0,0,0,0,  The Gambia (1987-1989),0,0,0,0,  The Gambia (1987-1989),2,2.4,2.7,0.01,  The Gambia (1987-1989),4,7.2,8.2,0.04,  The Gambia (1987-1989),4,7.9,9,0.04,  The Gambia (1987-1989),1,3.3,3.7,0.02,  The Gambia (1987-1989),3,9.4,10.6,0.05,  The Gambia (1987-1989),0,0,0,0,  The Gambia (1987-1989),1,4.7,5.3,0.03,  The Gambia (1987-1989),2,..,..,..,  The Gambia (1987-1989),3,..,..,..,  The Gambia (1987-1989),0,..,..,..,  The Gambia (1987-1989),0,..,..,..,  The Gambia (1987-1989),1,..,..,..,
,,158,10.6,20,0,0,1,0.2,0.2,0,0,0,0,0,0,0,2,1.2,1.3,0,0,5,2.5,2.5,0.01,0,0,0,0,0,0,11,9.6,9.9,0.05,0,15,18,18.8,0.09,0,16,23.8,25.4,0.12,0,20,35.1,37.3,0.19,0,20,42.2,44,0.22,0,11,29.3,31.2,0.15,0,13,46.5,48.2,0.24,0,13,52.6,55.4,0.28,0,9,51.1,53.5,0.27,0,9,33.9,35.4,0.18,0,1,0,0,0,0,4,0,0,0,0,1,0,0,0,
South America,"Brazil, Goiania (1988-1989)",230,21.2,40.5,..,"  Brazil, Goiania (1988-1989)",0,0,0,0,"Brazil, Goiania (1988-1989)",0,0,0,0,"Brazil, Goiania (1988-1989)",0,0,0,0,"Brazil, Goiania (1988-1989)",0,0,0,0,"Brazil, Goiania (1988-1989)",1,0.8,0.8,0,"Brazil, Goiania (1988-1989)",4,4,4,0.02,"Brazil, Goiania (1988-1989)",10,13.3,13.4,0.07,"Brazil, Goiania (1988-1989)",27,46.3,46.7,0.23,"Brazil, Goiania (1988-1989)",19,43.7,44.1,0.22,"Brazil, Goiania (1988-1989)",31,71.3,71.9,0.36,"Brazil, Goiania (1988-1989)",25,93.5,94.3,0.47,"Brazil, Goiania (1988-1989)",29,108.4,109.4,0.55,"Brazil, Goiania (1988-1989)",27,181.4,183,0.91,"Brazil, Goiania (1988-1989)",25,167.9,169.4,0.85,"Brazil, Goiania (1988-1989)",16,212.2,214,1.07,"Brazil, Goiania (1988-1989)",7,185.7,187.3,0.94,"Brazil, Goiania (1988-1989)",6,318.3,321.1,1.61,"  Brazil, Goiania (1988-1989)",1,53,53.5,..,
South America,"  Brazil, Porto Alegre (1987)",518,75.4,78.5,..,"  Brazil, Porto Alegre (1987)",0,0,0,0,"  Brazil, Porto Alegre (1987)",0,0,0,0,"  Brazil, Porto Alegre (1987)",0,0,0,0,"  Brazil, Porto Alegre (1987)",0,0,0,0,"  Brazil, Porto Alegre (1987)",1,1.3,1.3,0.01,"  Brazil, Porto Alegre (1987)",7,9.7,9.9,0.05,"  Brazil, Porto Alegre (1987)",20,34.6,35.3,0.18,"  Brazil, Porto Alegre (1987)",31,72.8,74.3,0.37,"  Brazil, Porto Alegre (1987)",52,129.1,131.7,0.66,"  Brazil, Porto Alegre (1987)",68,185.4,189.1,0.95,"  Brazil, Porto Alegre (1987)",67,183.6,187.3,0.94,"  Brazil, Porto Alegre (1987)",75,271.4,276.7,1.38,"  Brazil, Porto Alegre (1987)",60,277.3,282.7,1.41,"  Brazil, Porto Alegre (1987)",49,291.8,297.6,1.49,"  Brazil, Porto Alegre (1987)",26,207.3,211.4,1.06,"  Brazil, Porto Alegre (1987)",25,..,..,..,"  Brazil, Porto Alegre (1987)",16,..,..,..,"  Brazil, Porto Alegre (1987)",11,..,..,..,
South America,"  Colombia, Cali (1982-1986)",853,24.3,34.8,..,"  Colombia, Cali (1982-1986)",0,0,0,0,"  Colombia, Cali (1982-1986)",0,0,0,0,"  Colombia, Cali (1982-1986)",0,0,0,0,"  Colombia, Cali (1982-1986)",0,0,0,0,"  Colombia, Cali (1982-1986)",3,0.7,0.7,0,"  Colombia, Cali (1982-1986)",6,1.7,1.8,0.01,"  Colombia, Cali (1982-1986)",43,15.8,16.3,0.08,"  Colombia, Cali (1982-1986)",72,31.3,32.4,0.16,"  Colombia, Cali (1982-1986)",93,56.3,58.1,0.29,"  Colombia, Cali (1982-1986)",114,80.6,83.3,0.42,"  Colombia, Cali (1982-1986)",115,91.6,94.6,0.47,"  Colombia, Cali (1982-1986)",97,101.4,104.7,0.52,"  Colombia, Cali (1982-1986)",86,112.4,116.1,0.58,"  Colombia, Cali (1982-1986)",71,130.5,134.8,0.67,"  Colombia, Cali (1982-1986)",52,131.8,136.1,0.68,"  Colombia, Cali (1982-1986)",38,150.9,155.8,0.78,"  Colombia, Cali (1982-1986)",24,157.1,162.3,0.81,"  Colombia, Cali (1982-1986)",12,89,91.9,..,
South America,  Costa Rica (1984-1987),931,17.6,26.7,..,  Costa Rica (1984-1987),0,0,0,0,  Costa Rica (1984-1987),0,0,0,0,  Costa Rica (1984-1987),0,0,0,0,  Costa Rica (1984-1987),0,0,0,0,  Costa Rica (1984-1987),1,0.2,0.2,0,  Costa Rica (1984-1987),10,2.1,2.1,0.01,  Costa Rica (1984-1987),33,8.5,8.5,0.04,  Costa Rica (1984-1987),94,31,31,0.15,  Costa Rica (1984-1987),98,41.8,41.8,0.21,  Costa Rica (1984-1987),112,57.9,57.9,0.29,  Costa Rica (1984-1987),100,59.9,60,0.3,  Costa Rica (1984-1987),104,74.6,74.6,0.37,  Costa Rica (1984-1987),119,106.7,106.8,0.53,  Costa Rica (1984-1987),82,94.4,94.5,0.47,  Costa Rica (1984-1987),84,131.8,131.9,0.66,  Costa Rica (1984-1987),49,116.1,116.2,0.58,  Costa Rica (1984-1987),24,..,..,..,  Costa Rica (1984-1987),20,..,..,..,
South America,  Cuba (1986),1787,35.1,35,..,  Cuba (1986),0,0,0,0,  Cuba (1986),0,0,0,0,  Cuba (1986),1,0.2,0.2,0,  Cuba (1986),2,0.4,0.4,0,  Cuba (1986),1,0.2,0.2,0,  Cuba (1986),19,4.6,4.7,0.02,  Cuba (1986),38,10.6,10.8,0.05,  Cuba (1986),92,26.5,26.8,0.13,  Cuba (1986),166,52.6,53.2,0.27,  Cuba (1986),184,68.6,69.3,0.35,  Cuba (1986),199,90.9,91.9,0.46,  Cuba (1986),200,106.2,107.4,0.54,  Cuba (1986),226,142.3,143.9,0.72,  Cuba (1986),195,124.2,125.5,0.63,  Cuba (1986),152,123.2,124.5,0.62,  Cuba (1986),134,155.3,157,0.79,  Cuba (1986),99,318.8,322.2,1.61,  Cuba (1986),60,178.4,180.3,..,
