,Breast(C50)-Female age 0-85+,,,,,,age 0-4,,,,,age 5-9,,,,,age 10-14,,,,,age 15-19,,,,,age 20-24,,,,,age 25-29,,,,,age 30-34,,,,,age 35-39,,,,age 40-44,,,,,,age 45-49,,,,age 50-54,,,,,age 55-59,,,,,age 60-64,,,,,age 65-69,,,,,age 70-74,,,,,age 75-79,,,,,age 80-84,,,,,age 85+,,,,,
Continent,Population,Cases,Crude Rate,ASR (W),Cumulative Rate,Population,Cases,Crude Rate,ASR (W),Cumulative Rate,Population,Cases,Crude Rate,ASR (W),Cumulative Rate,Population,Cases,Crude Rate,ASR (W),Cumulative Rate,Population,Cases,Crude Rate,ASR (W),Cumulative Rate,Population,Cases,Crude Rate,ASR (W),Cumulative Rate,Population,Cases,Crude Rate,ASR (W),Cumulative Rate,Population,Cases,Crude Rate,ASR (W),Cumulative Rate,Population,Cases,Crude Rate,ASR (W),Cumulative Rate,Population,Cases,Crude Rate,ASR (W),Cumulative Rate,Population,Cases,Crude Rate,ASR (W),Cumulative Rate,Population,Cases,Crude Rate,ASR (W),Cumulative Rate,Population,Cases,Crude Rate,ASR (W),Cumulative Rate,Population,Cases,Crude Rate,ASR (W),Cumulative Rate,Population,Cases,Crude Rate,ASR (W),Cumulative Rate,Population,Cases,Crude Rate,ASR (W),Cumulative Rate,Population,Cases,Crude Rate,ASR (W),Cumulative Rate,Population,Cases,Crude Rate,ASR (W),Cumulative Rate,Population,Cases,Crude Rate,ASR (W),Cumulative Rate,https://ci5.iarc.fr/CI5I-X/Pages/table2_sel.aspx
Africa,"Algeria, Setif Wilaya (1990-1993)",118,5.3,9.5,..,"Algeria, Setif Wilaya (1990-1993)",0,0,0,0,"Algeria, Setif Wilaya (1990-1993)",0,0,0,0,"Algeria, Setif Wilaya (1990-1993)",0,0,0,0,"Algeria, Setif Wilaya (1990-1993)",0,0,0,0,"Algeria, Setif Wilaya (1990-1993)",1,0.5,0.5,0,"Algeria, Setif Wilaya (1990-1993)",4,2.3,2.3,0.01,"Algeria, Setif Wilaya (1990-1993)",9,7,7,0.03,"Algeria, Setif Wilaya (1990-1993)",12,12.3,12.3,0.06,"  Algeria, Setif Wilaya (1990-1993)",11,17,17,0.08,"Algeria, Setif Wilaya (1990-1993)",23,36,36,0.18,"Algeria, Setif Wilaya (1990-1993)",21,32.3,32.3,0.16,"Algeria, Setif Wilaya (1990-1993)",14,25.7,25.7,0.13,"Algeria, Setif Wilaya (1990-1993)",11,..,..,..,"Algeria, Setif Wilaya (1990-1993)",7,..,..,..,"Algeria, Setif Wilaya (1990-1993)",4,..,..,..,"Algeria, Setif Wilaya (1990-1993)",1,..,..,..,"Algeria, Setif Wilaya (1990-1993)",0,..,..,..,"Algeria, Setif Wilaya (1990-1993)",0,..,..,..,
Africa,"  France, La Reunion (1988-1992)",392,25.8,29.4,..,"  France, La Reunion (1988-1992)",0,0,0,0,"  France, La Reunion (1988-1992)",0,0,0,0,"  France, La Reunion (1988-1992)",0,0,0,0,"  France, La Reunion (1988-1992)",1,0.7,0.7,0,"  France, La Reunion (1988-1992)",1,0.7,0.7,0,"  France, La Reunion (1988-1992)",6,4.1,4.1,0.02,"  France, La Reunion (1988-1992)",17,14.3,14.3,0.07,"  France, La Reunion (1988-1992)",25,23.7,23.7,0.12,"  France, La Reunion (1988-1992)",57,70.2,70.2,0.35,"  France, La Reunion (1988-1992)",55,82.6,82.6,0.41,"  France, La Reunion (1988-1992)",58,94.1,94.1,0.47,"  France, La Reunion (1988-1992)",40,79.8,79.8,0.4,"  France, La Reunion (1988-1992)",32,74.3,74.3,0.37,"  France, La Reunion (1988-1992)",33,89.8,89.8,0.45,"  France, La Reunion (1988-1992)",20,..,..,..,"  France, La Reunion (1988-1992)",25,..,..,..,"  France, La Reunion (1988-1992)",17,..,..,..,"  France, La Reunion (1988-1992)",5,..,..,..,
Africa,"  Mali, Bamako (1988-1992)",100,5.9,12.4,..,"  Mali, Bamako (1988-1992)",1,0.3,0.3,0,"  Mali, Bamako (1988-1992)",0,0,0,0,"  Mali, Bamako (1988-1992)",0,0,0,0,"  Mali, Bamako (1988-1992)",1,0.5,0.5,0,"  Mali, Bamako (1988-1992)",1,0.6,0.6,0,"  Mali, Bamako (1988-1992)",5,4.5,4.5,0.02,"  Mali, Bamako (1988-1992)",11,12.1,12.1,0.06,"  Mali, Bamako (1988-1992)",12,16.7,16.7,0.08,"  Mali, Bamako (1988-1992)",15,24.2,24.2,0.12,"  Mali, Bamako (1988-1992)",13,28,28,0.14,"  Mali, Bamako (1988-1992)",6,15.7,15.7,0.08,"  Mali, Bamako (1988-1992)",10,37.8,37.8,0.19,"  Mali, Bamako (1988-1992)",11,53.2,53.2,0.27,"  Mali, Bamako (1988-1992)",9,57.3,57.3,0.29,"  Mali, Bamako (1988-1992)",1,..,..,..,"  Mali, Bamako (1988-1992)",0,..,..,..,"  Mali, Bamako (1988-1992)",4,..,..,..,"  Mali, Bamako (1988-1992)",0,..,..,..,
Africa,"  Uganda, Kyadondo County (1991-1993)",126,7.9,20.7,..,"  Uganda, Kyadondo County (1991-1993)",0,0,0,0,"  Uganda, Kyadondo County (1991-1993)",0,0,0,0,"  Uganda, Kyadondo County (1991-1993)",0,0,0,0,"  Uganda, Kyadondo County (1991-1993)",2,0.9,0.9,0,"  Uganda, Kyadondo County (1991-1993)",6,2.9,3,0.02,"  Uganda, Kyadondo County (1991-1993)",10,6.1,6.3,0.03,"  Uganda, Kyadondo County (1991-1993)",15,15.2,15.6,0.08,"  Uganda, Kyadondo County (1991-1993)",18,30.2,30.9,0.15,"  Uganda, Kyadondo County (1991-1993)",16,42.5,43.6,0.22,"  Uganda, Kyadondo County (1991-1993)",17,67.6,69.3,0.35,"  Uganda, Kyadondo County (1991-1993)",12,48.5,49.7,0.25,"  Uganda, Kyadondo County (1991-1993)",7,61.3,62.8,0.31,"  Uganda, Kyadondo County (1991-1993)",9,58.7,60.1,0.3,"  Uganda, Kyadondo County (1991-1993)",3,42,43,0.22,"  Uganda, Kyadondo County (1991-1993)",6,..,..,..,"  Uganda, Kyadondo County (1991-1993)",1,..,..,..,"  Uganda, Kyadondo County (1991-1993)",1,..,..,..,"  Uganda, Kyadondo County (1991-1993)",0,..,..,..,
Africa,"  Zimbabwe, Harare: African (1990-1992)",117,7.7,19.6,..,"  Zimbabwe, Harare: African (1990-1992)",0,0,0,0,"  Zimbabwe, Harare: African (1990-1992)",0,0,0,0,"  Zimbabwe, Harare: African (1990-1992)",0,0,0,0,"  Zimbabwe, Harare: African (1990-1992)",0,0,0,0,"  Zimbabwe, Harare: African (1990-1992)",1,0.4,0.4,0,"  Zimbabwe, Harare: African (1990-1992)",10,6.3,6.5,0.03,"  Zimbabwe, Harare: African (1990-1992)",11,9.5,9.7,0.05,"  Zimbabwe, Harare: African (1990-1992)",27,32.6,33.4,0.17,"  Zimbabwe, Harare: African (1990-1992)",14,27.6,28.4,0.14,"  Zimbabwe, Harare: African (1990-1992)",12,35.8,36.8,0.18,"  Zimbabwe, Harare: African (1990-1992)",14,54.2,55.6,0.28,"  Zimbabwe, Harare: African (1990-1992)",9,65.3,67,0.34,"  Zimbabwe, Harare: African (1990-1992)",7,67.2,69,0.35,"  Zimbabwe, Harare: African (1990-1992)",4,70.7,72.5,0.36,"  Zimbabwe, Harare: African (1990-1992)",2,..,..,..,"  Zimbabwe, Harare: African (1990-1992)",1,..,..,..,"  Zimbabwe, Harare: African (1990-1992)",2,..,..,..,"  Zimbabwe, Harare: African (1990-1992)",0,..,..,..,
Africa,"  Zimbabwe, Harare: European (1990-1992)",135,209.4,127.7,..,"  Zimbabwe, Harare: European (1990-1992)",0,0,0,0,"  Zimbabwe, Harare: European (1990-1992)",0,0,0,0,"  Zimbabwe, Harare: European (1990-1992)",0,0,0,0,"  Zimbabwe, Harare: European (1990-1992)",0,0,0,0,"  Zimbabwe, Harare: European (1990-1992)",0,0,0,0,"  Zimbabwe, Harare: European (1990-1992)",0,0,0,0,"  Zimbabwe, Harare: European (1990-1992)",3,68.1,70.1,0.35,"  Zimbabwe, Harare: European (1990-1992)",3,71.7,73.9,0.37,"  Zimbabwe, Harare: European (1990-1992)",8,186.4,192.1,0.96,"  Zimbabwe, Harare: European (1990-1992)",17,386.5,398.3,1.99,"  Zimbabwe, Harare: European (1990-1992)",16,358.2,369.1,1.85,"  Zimbabwe, Harare: European (1990-1992)",15,373.7,385.1,1.93,"  Zimbabwe, Harare: European (1990-1992)",16,398.3,410.5,2.05,"  Zimbabwe, Harare: European (1990-1992)",16,462.2,476.3,2.38,"  Zimbabwe, Harare: European (1990-1992)",16,..,..,..,"  Zimbabwe, Harare: European (1990-1992)",11,..,..,..,"  Zimbabwe, Harare: European (1990-1992)",6,..,..,..,"  Zimbabwe, Harare: European (1990-1992)",4,..,..,..,
,,988,262,219.3,0,0,1,0.3,0.3,0,0,0,0,0,0,0,0,0,0,0,0,4,2.1,2.1,0,0,10,5.1,5.2,0.02,0,35,23.3,23.7,0.11,0,66,126.2,128.8,0.64,0,97,187.2,190.9,0.95,0,121,367.9,375.5,1.87,0,137,636.5,651,3.25,0,127,603,616.5,3.09,0,95,643.6,658.2,3.3,0,86,651.7,667.1,3.34,0,72,722,738.9,3.7,0,49,0,0,0,0,39,0,0,0,0,30,0,0,0,0,9,0,0,0,
South America,"Argentina, Concordia (1990-1994)",207,58.2,60.2,..,"  Argentina, Concordia (1990-1994)",0,0,0,0,"Argentina, Concordia (1990-1994)",0,0,0,0,"Argentina, Concordia (1990-1994)",0,0,0,0,"  Argentina, Concordia (1990-1994)",0,0,0,0,"Argentina, Concordia (1990-1994)",0,0,0,0,"Argentina, Concordia (1990-1994)",3,12,12,0.06,"Argentina, Concordia (1990-1994)",5,20.7,20.7,0.1,"Argentina, Concordia (1990-1994)",7,31.7,31.7,0.16,"  Argentina, Concordia (1990-1994)",14,69.8,69.8,0.35,"Argentina, Concordia (1990-1994)",13,80.2,80.2,0.4,"Argentina, Concordia (1990-1994)",16,113.8,113.8,0.57,"Argentina, Concordia (1990-1994)",22,166.5,166.5,0.83,"Argentina, Concordia (1990-1994)",26,207.7,207.7,1.04,"Argentina, Concordia (1990-1994)",31,328.6,328.6,1.64,"Argentina, Concordia (1990-1994)",29,426.2,426.2,2.13,"Argentina, Concordia (1990-1994)",19,353.5,353.5,1.77,"Argentina, Concordia (1990-1994)",11,319.8,319.8,1.6,"Argentina, Concordia (1990-1994)",11,591.4,591.4,..,
South America,"  Brazil, Belem (1989-1991)",409,19.5,30.2,..,"  Brazil, Belem (1989-1991)",0,0,0,0,"  Brazil, Belem (1989-1991)",0,0,0,0,"  Brazil, Belem (1989-1991)",0,0,0,0,"  Brazil, Belem (1989-1991)",0,0,0,0,"  Brazil, Belem (1989-1991)",3,1.3,1.4,0.01,"  Brazil, Belem (1989-1991)",3,1.6,1.7,0.01,"  Brazil, Belem (1989-1991)",16,9.8,10.5,0.05,"  Brazil, Belem (1989-1991)",32,24.3,25.8,0.13,"  Brazil, Belem (1989-1991)",43,42,44.6,0.22,"  Brazil, Belem (1989-1991)",66,84,89.3,0.45,"  Brazil, Belem (1989-1991)",51,80.9,85.9,0.43,"  Brazil, Belem (1989-1991)",39,77.4,82.2,0.41,"  Brazil, Belem (1989-1991)",39,90.2,95.8,0.48,"  Brazil, Belem (1989-1991)",31,101.4,107.8,0.54,"  Brazil, Belem (1989-1991)",32,148.4,157.6,0.79,"  Brazil, Belem (1989-1991)",14,87.9,93.4,0.47,"  Brazil, Belem (1989-1991)",12,126.8,134.7,0.67,"  Brazil, Belem (1989-1991)",4,56.5,60,..,
