,Breast(C50)-Female age 0-85+,,,,,,age 0-4,,,,,age 5-9,,,,,age 10-14,,,,,age 15-19,,,,,age 20-24,,,,,age 25-29,,,,,age 30-34,,,,,age 35-39,,,,age 40-44,,,,,,age 45-49,,,,age 50-54,,,,,age 55-59,,,,,age 60-64,,,,,age 65-69,,,,,age 70-74,,,,,age 75-79,,,,,age 80-84,,,,,age 85+,,,,,
Continent,Population,Cases,Crude Rate,ASR (W),Cumulative Rate,Population,Cases,Crude Rate,ASR (W),Cumulative Rate,Population,Cases,Crude Rate,ASR (W),Cumulative Rate,Population,Cases,Crude Rate,ASR (W),Cumulative Rate,Population,Cases,Crude Rate,ASR (W),Cumulative Rate,Population,Cases,Crude Rate,ASR (W),Cumulative Rate,Population,Cases,Crude Rate,ASR (W),Cumulative Rate,Population,Cases,Crude Rate,ASR (W),Cumulative Rate,Population,Cases,Crude Rate,ASR (W),Cumulative Rate,Population,Cases,Crude Rate,ASR (W),Cumulative Rate,Population,Cases,Crude Rate,ASR (W),Cumulative Rate,Population,Cases,Crude Rate,ASR (W),Cumulative Rate,Population,Cases,Crude Rate,ASR (W),Cumulative Rate,Population,Cases,Crude Rate,ASR (W),Cumulative Rate,Population,Cases,Crude Rate,ASR (W),Cumulative Rate,Population,Cases,Crude Rate,ASR (W),Cumulative Rate,Population,Cases,Crude Rate,ASR (W),Cumulative Rate,Population,Cases,Crude Rate,ASR (W),Cumulative Rate,Population,Cases,Crude Rate,ASR (W),Cumulative Rate,https://ci5.iarc.fr/CI5I-X/Pages/table2_sel.aspx
Africa,"Algeria, Algiers (1993-1997)",906,16.6,21.3,..,"Algeria, Algiers (1993-1997)",0,0,0,0,"Algeria, Algiers (1993-1997)",0,0,0,0,"Algeria, Algiers (1993-1997)",0,0,0,0,"  Algeria, Algiers (1993-1997)",1,0.2,0.2,0,"Algeria, Algiers (1993-1997)",2,0.3,0.3,0,"Algeria, Algiers (1993-1997)",22,4.1,4.3,0.02,"Algeria, Algiers (1993-1997)",60,12.9,13.4,0.07,"Algeria, Algiers (1993-1997)",116,35.4,36.9,0.18,"Algeria, Algiers (1993-1997)",143,51.6,53.7,0.27,"Algeria, Algiers (1993-1997)",135,56.1,58.3,0.29,"  Algeria, Algiers (1993-1997)",104,54.3,56.5,0.28,"  Algeria, Algiers (1993-1997)",70,43.9,45.7,0.23,"Algeria, Algiers (1993-1997)",99,73.6,76.5,0.38,"Algeria, Algiers (1993-1997)",57,57,59.3,0.3,"Algeria, Algiers (1993-1997)",29,43.9,45.6,0.23,"Algeria, Algiers (1993-1997)",16,..,..,..,"Algeria, Algiers (1993-1997)",8,..,..,..,"Algeria, Algiers (1993-1997)",9,..,..,..,
Africa,"  France, La Reunion (1993-1994)",174,26.9,29.2,..,"  France, La Reunion (1993-1994)",0,0,0,0,"  France, La Reunion (1993-1994)",0,0,0,0,"  France, La Reunion (1993-1994)",0,0,0,0,"  France, La Reunion (1993-1994)",0,0,0,0,"  France, La Reunion (1993-1994)",0,0,0,0,"  France, La Reunion (1993-1994)",2,3.5,3.5,0.02,"  France, La Reunion (1993-1994)",8,14.9,14.9,0.07,"  France, La Reunion (1993-1994)",13,26.7,26.7,0.13,"  France, La Reunion (1993-1994)",14,36.6,36.6,0.18,"  France, La Reunion (1993-1994)",23,72.5,72.5,0.36,"  France, La Reunion (1993-1994)",20,74.5,74.5,0.37,"  France, La Reunion (1993-1994)",15,67.5,67.5,0.34,"  France, La Reunion (1993-1994)",23,119.8,119.8,0.6,"  France, La Reunion (1993-1994)",22,139.1,139.1,0.7,"  France, La Reunion (1993-1994)",16,132,132,0.66,"  France, La Reunion (1993-1994)",8,84.9,84.9,0.42,"  France, La Reunion (1993-1994)",7,..,..,..,"  France, La Reunion (1993-1994)",3,..,..,..,
Africa,"  Mali, Bamako (1994-1996)",103,9,20,..,"  Mali, Bamako (1994-1996)",0,0,0,0,"  Mali, Bamako (1994-1996)",0,0,0,0,"  Mali, Bamako (1994-1996)",1,0.5,0.5,0,"  Mali, Bamako (1994-1996)",3,1.9,1.9,0.01,"  Mali, Bamako (1994-1996)",2,2,2,0.01,"  Mali, Bamako (1994-1996)",4,5.6,5.6,0.03,"  Mali, Bamako (1994-1996)",11,19.9,19.9,0.1,"  Mali, Bamako (1994-1996)",13,31,31,0.16,"  Mali, Bamako (1994-1996)",11,29.2,29.2,0.15,"  Mali, Bamako (1994-1996)",10,35.1,35.1,0.18,"  Mali, Bamako (1994-1996)",16,67.2,67.2,0.34,"  Mali, Bamako (1994-1996)",8,47.9,47.9,0.24,"  Mali, Bamako (1994-1996)",11,86.8,86.8,0.43,"  Mali, Bamako (1994-1996)",5,53.2,53.2,0.27,"  Mali, Bamako (1994-1996)",3,36.9,36.9,0.18,"  Mali, Bamako (1994-1996)",5,..,..,..,"  Mali, Bamako (1994-1996)",0,..,..,..,"  Mali, Bamako (1994-1996)",0,..,..,..,
Africa,  The Gambia (1997-1998),41,4,7,..,  The Gambia (1997-1998),0,0,0,0,  The Gambia (1997-1998),0,0,0,0,  The Gambia (1997-1998),0,0,0,0,  The Gambia (1997-1998),0,0,0,0,  The Gambia (1997-1998),3,3.6,4.8,0.02,  The Gambia (1997-1998),1,1.2,1.6,0.01,  The Gambia (1997-1998),3,4.8,6.3,0.03,  The Gambia (1997-1998),4,8.6,11.4,0.06,  The Gambia (1997-1998),7,18,23.8,0.12,  The Gambia (1997-1998),4,16.6,21.9,0.11,  The Gambia (1997-1998),4,18.1,24,0.12,  The Gambia (1997-1998),0,0,0,0,  The Gambia (1997-1998),0,0,0,0,  The Gambia (1997-1998),1,..,..,..,  The Gambia (1997-1998),3,..,..,..,  The Gambia (1997-1998),1,..,..,..,  The Gambia (1997-1998),0,..,..,..,  The Gambia (1997-1998),0,..,..,..,
Africa,"  Uganda, Kyadondo County (1993-1997)",224,7.7,20.7,..,"  Uganda, Kyadondo County (1993-1997)",0,0,0,0,"  Uganda, Kyadondo County (1993-1997)",0,0,0,0,"  Uganda, Kyadondo County (1993-1997)",0,0,0,0,"  Uganda, Kyadondo County (1993-1997)",3,0.7,0.7,0,"  Uganda, Kyadondo County (1993-1997)",10,2.7,2.8,0.01,"  Uganda, Kyadondo County (1993-1997)",8,2.7,2.8,0.01,"  Uganda, Kyadondo County (1993-1997)",26,14.4,14.8,0.07,"  Uganda, Kyadondo County (1993-1997)",38,34.9,35.8,0.18,"  Uganda, Kyadondo County (1993-1997)",30,43.6,44.8,0.22,"  Uganda, Kyadondo County (1993-1997)",27,58.8,60.4,0.3,"  Uganda, Kyadondo County (1993-1997)",17,37.6,38.6,0.19,"  Uganda, Kyadondo County (1993-1997)",10,47.9,49.2,0.25,"  Uganda, Kyadondo County (1993-1997)",20,72.8,74.8,0.37,"  Uganda, Kyadondo County (1993-1997)",4,30.7,31.5,0.16,"  Uganda, Kyadondo County (1993-1997)",11,71.9,73.9,0.37,"  Uganda, Kyadondo County (1993-1997)",6,85.3,87.6,0.44,"  Uganda, Kyadondo County (1993-1997)",6,..,..,..,"  Uganda, Kyadondo County (1993-1997)",2,..,..,..,
Africa,"  Zimbabwe, Harare: African (1993-1997)",237,7.4,20.3,..,"  Zimbabwe, Harare: African (1993-1997)",0,0,0,0,"  Zimbabwe, Harare: African (1993-1997)",0,0,0,0,"  Zimbabwe, Harare: African (1993-1997)",0,0,0,0,"  Zimbabwe, Harare: African (1993-1997)",0,0,0,0,"  Zimbabwe, Harare: African (1993-1997)",8,1.7,1.7,0.01,"  Zimbabwe, Harare: African (1993-1997)",4,1.2,1.2,0.01,"  Zimbabwe, Harare: African (1993-1997)",13,5.5,5.6,0.03,"  Zimbabwe, Harare: African (1993-1997)",38,20,20.4,0.1,"  Zimbabwe, Harare: African (1993-1997)",34,31.7,32.2,0.16,"  Zimbabwe, Harare: African (1993-1997)",44,58.3,59.3,0.3,"  Zimbabwe, Harare: African (1993-1997)",22,38.4,39.1,0.2,"  Zimbabwe, Harare: African (1993-1997)",24,67.8,68.9,0.34,"  Zimbabwe, Harare: African (1993-1997)",19,75.2,76.5,0.38,"  Zimbabwe, Harare: African (1993-1997)",10,59.5,60.5,0.3,"  Zimbabwe, Harare: African (1993-1997)",6,77,78.4,0.39,"  Zimbabwe, Harare: African (1993-1997)",7,..,..,..,"  Zimbabwe, Harare: African (1993-1997)",3,..,..,..,"  Zimbabwe, Harare: African (1993-1997)",1,..,..,..,
,,1685,71.6,118.5,0,0,0,0,0,0,0,0,0,0,0,0,1,0.5,0.5,0,0,7,2.8,2.8,0.01,0,25,10.3,11.6,0.05,0,41,18.3,19,0.1,0,121,72.4,74.9,0.37,0,222,156.6,162.2,0.81,0,239,210.7,220.3,1.1,0,243,297.4,307.5,1.54,0,183,290.1,299.9,1.5,0,127,275,279.2,1.4,0,172,428.2,434.4,2.16,0,99,339.5,343.6,1.73,0,68,361.7,366.8,1.83,0,43,170.2,172.5,0.86,0,24,0,0,0,0,15,0,0,0,
South America,"Argentina, Bahia Blanca (1993-1997)",1112,111.8,86.1,..,"Argentina, Bahia Blanca (1993-1997)",1,1.1,1.1,0.01,"Argentina, Bahia Blanca (1993-1997)",0,0,0,0,"Argentina, Bahia Blanca (1993-1997)",0,0,0,0,"Argentina, Bahia Blanca (1993-1997)",0,0,0,0,"Argentina, Bahia Blanca (1993-1997)",2,2.9,2.9,0.01,"Argentina, Bahia Blanca (1993-1997)",7,10.1,10.2,0.05,"Argentina, Bahia Blanca (1993-1997)",6,9.2,9.2,0.05,"  Argentina, Bahia Blanca (1993-1997)",48,74.8,75.1,0.38,"Argentina, Bahia Blanca (1993-1997)",68,109.6,110,0.55,"Argentina, Bahia Blanca (1993-1997)",104,191.1,191.8,0.96,"Argentina, Bahia Blanca (1993-1997)",100,206.2,206.9,1.03,"Argentina, Bahia Blanca (1993-1997)",111,245.5,246.4,1.23,"Argentina, Bahia Blanca (1993-1997)",135,287.1,288.1,1.44,"Argentina, Bahia Blanca (1993-1997)",158,385.2,386.6,1.93,"  Argentina, Bahia Blanca (1993-1997)",155,462.5,464.1,2.32,"Argentina, Bahia Blanca (1993-1997)",111,..,..,..,"Argentina, Bahia Blanca (1993-1997)",58,..,..,..,"  Argentina, Bahia Blanca (1993-1997)",44,..,..,..,
South America,"  Argentina, Concordia (1993-1997)",209,56,55.1,..,"  Argentina, Concordia (1993-1997)",0,0,0,0,"  Argentina, Concordia (1993-1997)",0,0,0,0,"  Argentina, Concordia (1993-1997)",0,0,0,0,"  Argentina, Concordia (1993-1997)",0,0,0,0,"  Argentina, Concordia (1993-1997)",1,3.4,3.4,0.02,"  Argentina, Concordia (1993-1997)",2,8.1,8.1,0.04,"  Argentina, Concordia (1993-1997)",4,15.9,15.9,0.08,"  Argentina, Concordia (1993-1997)",6,25.7,25.7,0.13,"  Argentina, Concordia (1993-1997)",13,61,61,0.3,"  Argentina, Concordia (1993-1997)",19,108.7,108.7,0.54,"  Argentina, Concordia (1993-1997)",23,153.4,153.4,0.77,"  Argentina, Concordia (1993-1997)",24,169.5,169.5,0.85,"  Argentina, Concordia (1993-1997)",21,163.8,163.8,0.82,"  Argentina, Concordia (1993-1997)",18,171.1,171.1,0.86,"  Argentina, Concordia (1993-1997)",34,390.8,390.8,1.95,"  Argentina, Concordia (1993-1997)",17,..,..,..,"  Argentina, Concordia (1993-1997)",18,..,..,..,"  Argentina, Concordia (1993-1997)",9,..,..,..,
