,Breast(C50)-Female age 0-85+,,,,,,age 0-4,,,,,age 5-9,,,,,age 10-14,,,,,age 15-19,,,,,age 20-24,,,,,age 25-29,,,,,age 30-34,,,,,age 35-39,,,,age 40-44,,,,,,age 45-49,,,,age 50-54,,,,,age 55-59,,,,,age 60-64,,,,,age 65-69,,,,,age 70-74,,,,,age 75-79,,,,,age 80-84,,,,,age 85+,,,,,
Continent,Population,Cases,Crude Rate,ASR (W),Cumulative Rate,Population,Cases,Crude Rate,ASR (W),Cumulative Rate,Population,Cases,Crude Rate,ASR (W),Cumulative Rate,Population,Cases,Crude Rate,ASR (W),Cumulative Rate,Population,Cases,Crude Rate,ASR (W),Cumulative Rate,Population,Cases,Crude Rate,ASR (W),Cumulative Rate,Population,Cases,Crude Rate,ASR (W),Cumulative Rate,Population,Cases,Crude Rate,ASR (W),Cumulative Rate,Population,Cases,Crude Rate,ASR (W),Cumulative Rate,Population,Cases,Crude Rate,ASR (W),Cumulative Rate,Population,Cases,Crude Rate,ASR (W),Cumulative Rate,Population,Cases,Crude Rate,ASR (W),Cumulative Rate,Population,Cases,Crude Rate,ASR (W),Cumulative Rate,Population,Cases,Crude Rate,ASR (W),Cumulative Rate,Population,Cases,Crude Rate,ASR (W),Cumulative Rate,Population,Cases,Crude Rate,ASR (W),Cumulative Rate,Population,Cases,Crude Rate,ASR (W),Cumulative Rate,Population,Cases,Crude Rate,ASR (W),Cumulative Rate,Population,Cases,Crude Rate,ASR (W),Cumulative Rate,https://ci5.iarc.fr/CI5I-X/Pages/table2_sel.aspx
Africa,"Algeria, Setif Wilaya (2003-2007)",733,20.5,29.8,..,"Algeria, Setif Wilaya (2003-2007)",0,0,0,0,"Algeria, Setif Wilaya (2003-2007)",0,0,0,0,"Algeria, Setif Wilaya (2003-2007)",0,0,0,0,"  Algeria, Setif Wilaya (2003-2007)",4,0.9,0.9,0,"  Algeria, Setif Wilaya (2003-2007)",12,3.4,3.4,0.02,"Algeria, Setif Wilaya (2003-2007)",31,10.8,10.8,0.05,"Algeria, Setif Wilaya (2003-2007)",42,18.1,18.1,0.09,"Algeria, Setif Wilaya (2003-2007)",89,42.7,42.7,0.21,"Algeria, Setif Wilaya (2003-2007)",107,62.4,62.4,0.31,"Algeria, Setif Wilaya (2003-2007)",124,96.6,96.6,0.48,"Algeria, Setif Wilaya (2003-2007)",99,110.1,110.1,0.55,"Algeria, Setif Wilaya (2003-2007)",67,74.5,74.5,0.37,"Algeria, Setif Wilaya (2003-2007)",64,87,87,0.43,"  Algeria, Setif Wilaya (2003-2007)",59,80.9,80.9,0.4,"Algeria, Setif Wilaya (2003-2007)",23,..,..,..,"Algeria, Setif Wilaya (2003-2007)",9,..,..,..,"Algeria, Setif Wilaya (2003-2007)",2,..,..,..,"Algeria, Setif Wilaya (2003-2007)",1,..,..,..,
Africa,"  Egypt, Gharbiah (2003-2007)",3675,37.8,45.4,..,"  Egypt, Gharbiah (2003-2007)",0,0,0,0,"  Egypt, Gharbiah (2003-2007)",0,0,0,0,"  Egypt, Gharbiah (2003-2007)",0,0,0,0,"  Egypt, Gharbiah (2003-2007)",0,0,0,0,"  Egypt, Gharbiah (2003-2007)",14,1.4,1.4,0.01,"  Egypt, Gharbiah (2003-2007)",57,6.6,6.6,0.03,"  Egypt, Gharbiah (2003-2007)",178,27.3,27.3,0.14,"  Egypt, Gharbiah (2003-2007)",327,49.4,49.4,0.25,"  Egypt, Gharbiah (2003-2007)",550,91.2,91.2,0.46,"  Egypt, Gharbiah (2003-2007)",612,116.3,116.3,0.58,"  Egypt, Gharbiah (2003-2007)",630,140.3,140.3,0.7,"  Egypt, Gharbiah (2003-2007)",491,159.6,159.6,0.8,"  Egypt, Gharbiah (2003-2007)",354,149,149,0.75,"  Egypt, Gharbiah (2003-2007)",209,125.6,125.6,0.63,"  Egypt, Gharbiah (2003-2007)",143,124.1,124.1,0.62,"  Egypt, Gharbiah (2003-2007)",82,..,..,..,"  Egypt, Gharbiah (2003-2007)",16,..,..,..,"  Egypt, Gharbiah (2003-2007)",12,..,..,..,
Africa,"  Libya, Benghazi (2003-2005)",364,16,22.9,..,"  Libya, Benghazi (2003-2005)",0,0,0,0,"  Libya, Benghazi (2003-2005)",0,0,0,0,"  Libya, Benghazi (2003-2005)",0,0,0,0,"  Libya, Benghazi (2003-2005)",0,0,0,0,"  Libya, Benghazi (2003-2005)",1,0.4,0.4,0,"  Libya, Benghazi (2003-2005)",12,5,5,0.03,"  Libya, Benghazi (2003-2005)",33,15.5,15.5,0.08,"  Libya, Benghazi (2003-2005)",53,31.5,31.5,0.16,"  Libya, Benghazi (2003-2005)",69,58.4,58.4,0.29,"  Libya, Benghazi (2003-2005)",51,63,63,0.31,"  Libya, Benghazi (2003-2005)",41,61.8,61.8,0.31,"  Libya, Benghazi (2003-2005)",30,50.4,50.4,0.25,"  Libya, Benghazi (2003-2005)",31,78.3,78.3,0.39,"  Libya, Benghazi (2003-2005)",16,56.4,56.4,0.28,"  Libya, Benghazi (2003-2005)",13,71.9,71.9,0.36,"  Libya, Benghazi (2003-2005)",7,..,..,..,"  Libya, Benghazi (2003-2005)",4,..,..,..,"  Libya, Benghazi (2003-2005)",3,..,..,..,
Africa,"  Malawi, Blantyre (2003-2007)",165,7.1,14.3,..,"  Malawi, Blantyre (2003-2007)",0,0,0,0,"  Malawi, Blantyre (2003-2007)",0,0,0,0,"  Malawi, Blantyre (2003-2007)",0,0,0,0,"  Malawi, Blantyre (2003-2007)",1,0.4,0.4,0,"  Malawi, Blantyre (2003-2007)",7,2.5,3.2,0.02,"  Malawi, Blantyre (2003-2007)",7,3.1,3.9,0.02,"  Malawi, Blantyre (2003-2007)",20,12.6,15.7,0.08,"  Malawi, Blantyre (2003-2007)",15,13.3,16.6,0.08,"  Malawi, Blantyre (2003-2007)",19,24.8,31,0.16,"  Malawi, Blantyre (2003-2007)",8,13,16.3,0.08,"  Malawi, Blantyre (2003-2007)",19,43.5,54.4,0.27,"  Malawi, Blantyre (2003-2007)",11,34.7,43.4,0.22,"  Malawi, Blantyre (2003-2007)",8,33.5,41.8,0.21,"  Malawi, Blantyre (2003-2007)",6,31.9,39.9,0.2,"  Malawi, Blantyre (2003-2007)",6,41.3,51.6,0.26,"  Malawi, Blantyre (2003-2007)",2,..,..,..,"  Malawi, Blantyre (2003-2007)",2,..,..,..,"  Malawi, Blantyre (2003-2007)",1,..,..,..,
Africa,"  South Africa, PROMEC (2003-2007)",175,5.9,7.3,..,"  South Africa, PROMEC (2003-2007)",0,0,0,0,"  South Africa, PROMEC (2003-2007)",0,0,0,0,"  South Africa, PROMEC (2003-2007)",0,0,0,0,"  South Africa, PROMEC (2003-2007)",0,0,0,0,"  South Africa, PROMEC (2003-2007)",3,1.5,1.5,0.01,"  South Africa, PROMEC (2003-2007)",5,3.4,3.4,0.02,"  South Africa, PROMEC (2003-2007)",12,9.3,9.3,0.05,"  South Africa, PROMEC (2003-2007)",13,9.7,9.7,0.05,"  South Africa, PROMEC (2003-2007)",25,15.4,15.4,0.08,"  South Africa, PROMEC (2003-2007)",14,11.6,11.6,0.06,"  South Africa, PROMEC (2003-2007)",18,18.5,18.5,0.09,"  South Africa, PROMEC (2003-2007)",18,27.6,27.6,0.14,"  South Africa, PROMEC (2003-2007)",23,23,23,0.12,"  South Africa, PROMEC (2003-2007)",13,17,17,0.08,"  South Africa, PROMEC (2003-2007)",16,16.1,16.1,0.08,"  South Africa, PROMEC (2003-2007)",8,..,..,..,"  South Africa, PROMEC (2003-2007)",6,..,..,..,"  South Africa, PROMEC (2003-2007)",1,..,..,..,
Africa,"  Tunisia, North (2003-2005)",2260,31.3,30.9,..,"  Tunisia, North (2003-2005)",0,0,0,0,"  Tunisia, North (2003-2005)",0,0,0,0,"  Tunisia, North (2003-2005)",0,0,0,0,"  Tunisia, North (2003-2005)",2,0.3,0.3,0,"  Tunisia, North (2003-2005)",7,1,1,0,"  Tunisia, North (2003-2005)",44,6.8,6.8,0.03,"  Tunisia, North (2003-2005)",115,20.1,20.2,0.1,"  Tunisia, North (2003-2005)",213,37.6,37.8,0.19,"  Tunisia, North (2003-2005)",382,74.9,75.3,0.38,"  Tunisia, North (2003-2005)",379,86.5,86.9,0.43,"  Tunisia, North (2003-2005)",302,86.9,87.4,0.44,"  Tunisia, North (2003-2005)",221,85.4,85.8,0.43,"  Tunisia, North (2003-2005)",167,83.8,84.2,0.42,"  Tunisia, North (2003-2005)",146,80.5,80.9,0.4,"  Tunisia, North (2003-2005)",126,86.5,86.9,0.43,"  Tunisia, North (2003-2005)",80,..,..,..,"  Tunisia, North (2003-2005)",47,..,..,..,"  Tunisia, North (2003-2005)",17,..,..,..,
Africa,"  Uganda, Kyadondo County (2003-2007)",498,10.2,32.9,..,"  Uganda, Kyadondo County (2003-2007)",0,0,0,0,"  Uganda, Kyadondo County (2003-2007)",0,0,0,0,"  Uganda, Kyadondo County (2003-2007)",0,0,0,0,"  Uganda, Kyadondo County (2003-2007)",2,0.3,0.3,0,"  Uganda, Kyadondo County (2003-2007)",12,1.7,1.7,0.01,"  Uganda, Kyadondo County (2003-2007)",29,5.2,5.4,0.03,"  Uganda, Kyadondo County (2003-2007)",45,14.2,14.5,0.07,"  Uganda, Kyadondo County (2003-2007)",43,20.8,21.3,0.11,"  Uganda, Kyadondo County (2003-2007)",77,55.6,56.9,0.28,"  Uganda, Kyadondo County (2003-2007)",67,77.6,79.4,0.4,"  Uganda, Kyadondo County (2003-2007)",53,89,91,0.46,"  Uganda, Kyadondo County (2003-2007)",39,107.9,110.3,0.55,"  Uganda, Kyadondo County (2003-2007)",41,120.4,123.1,0.62,"  Uganda, Kyadondo County (2003-2007)",31,137,140.1,0.7,"  Uganda, Kyadondo County (2003-2007)",26,130,132.9,0.66,"  Uganda, Kyadondo County (2003-2007)",11,..,..,..,"  Uganda, Kyadondo County (2003-2007)",8,..,..,..,"  Uganda, Kyadondo County (2003-2007)",3,..,..,..,
Africa,"  Zimbabwe, Harare: African (2003-2006)",364,12.8,33.9,..,"  Zimbabwe, Harare: African (2003-2006)",0,0,0,0,"  Zimbabwe, Harare: African (2003-2006)",0,0,0,0,"  Zimbabwe, Harare: African (2003-2006)",0,0,0,0,"  Zimbabwe, Harare: African (2003-2006)",2,0.5,0.5,0,"  Zimbabwe, Harare: African (2003-2006)",6,1.3,1.3,0.01,"  Zimbabwe, Harare: African (2003-2006)",4,1.1,1.2,0.01,"  Zimbabwe, Harare: African (2003-2006)",27,12.3,12.5,0.06,"  Zimbabwe, Harare: African (2003-2006)",54,38.2,38.7,0.19,"  Zimbabwe, Harare: African (2003-2006)",58,54.3,55.1,0.28,"  Zimbabwe, Harare: African (2003-2006)",45,58.5,59.3,0.3,"  Zimbabwe, Harare: African (2003-2006)",45,86.2,87.4,0.44,"  Zimbabwe, Harare: African (2003-2006)",41,132.9,134.8,0.67,"  Zimbabwe, Harare: African (2003-2006)",33,139.2,141.1,0.71,"  Zimbabwe, Harare: African (2003-2006)",20,137.2,139.1,0.7,"  Zimbabwe, Harare: African (2003-2006)",6,58.9,59.8,0.3,"  Zimbabwe, Harare: African (2003-2006)",13,..,..,..,"  Zimbabwe, Harare: African (2003-2006)",3,..,..,..,"  Zimbabwe, Harare: African (2003-2006)",2,..,..,..,
,,8234,141.6,217.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,2.4,2.4,0,0,62,13.2,13.9,0.08,0,189,42,43.1,0.22,0,472,129.4,133.1,0.67,0,807,243.2,247.7,1.24,0,1287,437,445.7,2.24,0,1300,523.1,529.4,2.64,0,1207,636.3,650.9,3.26,0,918,673,686.4,3.43,0,721,714.2,727.5,3.65,0,500,666.5,679.9,3.39,0,359,528.8,543.3,2.71,0,212,0,0,0,0,88,0,0,0,0,40,0,0,0,
