,Breast(C50)-Male age 0-85+,,,,,,age 0-4,,,,,age 5-9,,,,,age 10-14,,,,,age 15-19,,,,,age 20-24,,,,,age 25-29,,,,,age 30-34,,,,,age 35-39,,,,age 40-44,,,,,,age 45-49,,,,age 50-54,,,,,age 55-59,,,,,age 60-64,,,,,age 65-69,,,,,age 70-74,,,,,age 75-79,,,,,age 80-84,,,,,age 85+,,,,,https://ci5.iarc.fr/CI5-XI/Pages/summary_table_site_sel.aspx
Continent,Population,Cases,Crude Rate,ASR (W),Cumulative Rate,Population,Cases,Crude Rate,ASR (W),Cumulative Rate,Population,Cases,Crude Rate,ASR (W),Cumulative Rate,Population,Cases,Crude Rate,ASR (W),Cumulative Rate,Population,Cases,Crude Rate,ASR (W),Cumulative Rate,Population,Cases,Crude Rate,ASR (W),Cumulative Rate,Population,Cases,Crude Rate,ASR (W),Cumulative Rate,Population,Cases,Crude Rate,ASR (W),Cumulative Rate,Population,Cases,Crude Rate,ASR (W),Cumulative Rate,Population,Cases,Crude Rate,ASR (W),Cumulative Rate,Population,Cases,Crude Rate,ASR (W),Cumulative Rate,Population,Cases,Crude Rate,ASR (W),Cumulative Rate,Population,Cases,Crude Rate,ASR (W),Cumulative Rate,Population,Cases,Crude Rate,ASR (W),Cumulative Rate,Population,Cases,Crude Rate,ASR (W),Cumulative Rate,Population,Cases,Crude Rate,ASR (W),Cumulative Rate,Population,Cases,Crude Rate,ASR (W),Cumulative Rate,Population,Cases,Crude Rate,ASR (W),Cumulative Rate,Population,Cases,Crude Rate,ASR (W),Cumulative Rate,
Africa,"*Algeria, Setif",1162,38.4 (1.13),44.7 (1.37),..,"Algeria, Setif",0,0.0 (0.00),0.0 (0.00),0.00 (0.000),"*Algeria, Setif",0,0.0 (0.00),0.0 (0.00),0.00 (0.000),"*Algeria, Setif",1,0.4 (0.37),0.4 (0.37),0.00 (0.002),"*Algeria, Setif",2,0.6 (0.44),0.6 (0.44),0.00 (0.002),"*Algeria, Setif",10,2.9 (0.90),2.9 (0.90),0.01 (0.005),"*Algeria, Setif",31,9.5 (1.70),9.5 (1.70),0.05 (0.009),"*Algeria, Setif",95,34.9 (3.58),34.9 (3.58),0.17 (0.018),"*Algeria, Setif",156,72.7 (5.82),72.7 (5.82),0.36 (0.029),"*Algeria, Setif",200,115.7 (8.18),115.7 (8.18),0.58 (0.041),"*Algeria, Setif",202,134.4 (9.46),134.4 (9.46),0.67 (0.047),"*Algeria, Setif",151,124.6 (10.14),124.6 (10.14),0.62 (0.051),"*Algeria, Setif",97,103.7 (10.53),103.7 (10.53),0.52 (0.053),"*Algeria, Setif",84,134.7 (14.69),134.7 (14.69),0.67 (0.073),"*Algeria, Setif",60,122.3 (15.79),122.3 (15.79),0.61 (0.079),"Algeria, Setif",35,76.4 (12.92),76.4 (12.92),0.38 (0.065),"*Algeria, Setif",22,..,..,..,"*Algeria, Setif",14,..,..,..,"*Algeria, Setif",2,..,..,..,
Africa,"*Algeria, Batna",613,21.4 (0.87),25.9 (1.08),..,"*Algeria, Batna",0,0.0 (0.00),0.0 (0.00),0.00 (0.000),"*Algeria, Batna",0,0.0 (0.00),0.0 (0.00),0.00 (0.000),"*Algeria, Batna",0,0.0 (0.00),0.0 (0.00),0.00 (0.000),"*Algeria, Batna",0,0.0 (0.00),0.0 (0.00),0.00 (0.000),"*Algeria, Batna",4,1.2 (0.61),1.2 (0.61),0.01 (0.003),"*Algeria, Batna",4,1.5 (0.74),1.5 (0.74),0.01 (0.004),"*Algeria, Batna",41,18.8 (2.94),18.8 (2.94),0.09 (0.015),"*Algeria, Batna",78,43.3 (4.90),43.3 (4.90),0.22 (0.025),"*Algeria, Batna",115,71.4 (6.66),71.4 (6.66),0.36 (0.033),"*Algeria, Batna",120,83.9 (7.66),83.9 (7.66),0.42 (0.038),"*Algeria, Batna",78,70.1 (7.94),70.1 (7.94),0.35 (0.040),"*Algeria, Batna",64,76.4 (9.56),76.4 (9.56),0.38 (0.048),"*Algeria, Batna",33,60.8 (10.58),60.8 (10.58),0.30 (0.053),"*Algeria, Batna",24,48.4 (9.88),48.4 (9.88),0.24 (0.049),"*Algeria, Batna",27,65.3 (12.56),65.3 (12.56),0.33 (0.063),"*Algeria, Batna",15,..,..,..,"*Algeria, Batna",5,..,..,..,"*Algeria, Batna",5,..,..,..,
Africa,"*Kenya, Nairobi",1515,19.8 (0.51),59.0 (1.87),..,"*Kenya, Nairobi",0,0.0 (0.00),0.0 (0.00),0.00 (0.000),"*Kenya, Nairobi",0,0.0 (0.00),0.0 (0.00),0.00 (0.000),"*Kenya, Nairobi",0,0.0 (0.00),0.0 (0.00),0.00 (0.000),"*Kenya, Nairobi",4,0.5 (0.26),0.5 (0.26),0.00 (0.001),"*Kenya, Nairobi",18,1.4 (0.32),1.4 (0.32),0.01 (0.002),"*Kenya, Nairobi",45,3.9 (0.59),3.9 (0.59),0.02 (0.003),"*Kenya, Nairobi",127,17.9 (1.59),17.9 (1.59),0.09 (0.008),"*Kenya, Nairobi",191,40.1 (2.90),40.1 (2.90),0.20 (0.015),"*Kenya, Nairobi",203,70.6 (4.96),70.6 (4.96),0.35 (0.025),"*Kenya, Nairobi",245,119.2 (7.62),119.2 (7.62),0.60 (0.038),"*Kenya, Nairobi",193,155.1 (11.16),155.1 (11.16),0.78 (0.056),"*Kenya, Nairobi",158,210.9 (16.78),210.9 (16.78),1.05 (0.084),"*Kenya, Nairobi",110,217.7 (20.76),217.7 (20.76),1.09 (0.104),"*Kenya, Nairobi",79,279.0 (31.38),279.0 (31.38),1.39 (0.157),"*Kenya, Nairobi",71,334.9 (39.75),334.9 (39.75),1.67 (0.199),"*Kenya, Nairobi",39,..,..,..,"*Kenya, Nairobi",17,..,..,..,"*Kenya, Nairobi",15,..,..,..,
Africa, Seychelles,77,43.9 (5.00),35.8 (4.26),.., Seychelles,0,0.0 (0.00),0.0 (0.00),0.00 (0.000), Seychelles,0,0.0 (0.00),0.0 (0.00),0.00 (0.000), Seychelles,0,0.0 (0.00),0.0 (0.00),0.00 (0.000), Seychelles,0,0.0 (0.00),0.0 (0.00),0.00 (0.000), Seychelles,0,0.0 (0.00),0.0 (0.00),0.00 (0.000), Seychelles,0,0.0 (0.00),0.0 (0.00),0.00 (0.000), Seychelles,1,7.0 (6.97),7.0 (6.97),0.03 (0.035), Seychelles,3,20.8 (12.02),20.8 (12.02),0.10 (0.060), Seychelles,5,36.3 (16.24),36.3 (16.24),0.18 (0.081), Seychelles,11,81.0 (24.42),81.0 (24.42),0.41 (0.122), Seychelles,8,76.4 (27.00),76.4 (27.00),0.38 (0.135), Seychelles,13,174.8 (48.49),174.8 (48.49),0.87 (0.242), Seychelles,7,125.0 (47.26),125.0 (47.26),0.63 (0.236), Seychelles,6,136.6 (55.77),136.6 (55.77),0.68 (0.279), Seychelles,7,158.8 (60.04),158.8 (60.04),0.79 (0.300), Seychelles,7,..,..,.., Seychelles,3,..,..,.., Seychelles,6,..,..,..,
Africa,"*South Africa, Eastern Cape",314,10.9 (0.61),12.7 (0.73),..,"*South Africa, Eastern Cape",0,0.0 (0.00),0.0 (0.00),0.00 (0.000),"*South Africa, Eastern Cape",0,0.0 (0.00),0.0 (0.00),0.00 (0.000),"*South Africa, Eastern Cape",0,0.0 (0.00),0.0 (0.00),0.00 (0.000),"*South Africa, Eastern Cape",0,0.0 (0.00),0.0 (0.00),0.00 (0.000),"*South Africa, Eastern Cape",5,2.1 (0.95),2.1 (0.95),0.01 (0.005),"*South Africa, Eastern Cape",12,7.0 (2.02),7.0 (2.02),0.03 (0.010),"*South Africa, Eastern Cape",16,11.6 (2.91),11.6 (2.91),0.06 (0.015),"*South Africa, Eastern Cape",13,9.8 (2.72),9.8 (2.72),0.05 (0.014),"*South Africa, Eastern Cape",34,26.5 (4.54),26.5 (4.54),0.13 (0.023),"*South Africa, Eastern Cape",32,26.4 (4.67),26.4 (4.67),0.13 (0.023),"*South Africa, Eastern Cape",32,27.0 (4.78),27.0 (4.78),0.14 (0.024),"*South Africa, Eastern Cape",38,40.4 (6.56),40.4 (6.56),0.20 (0.033),"*South Africa, Eastern Cape",44,50.0 (7.54),50.0 (7.54),0.25 (0.038),"*South Africa, Eastern Cape",22,32.5 (6.94),32.5 (6.94),0.16 (0.035),"*South Africa, Eastern Cape",26,38.9 (7.63),38.9 (7.63),0.19 (0.038),"*South Africa, Eastern Cape",22,..,..,..,"*South Africa, Eastern Cape",15,..,..,..,"*South Africa, Eastern Cape",3,..,..,..,
Africa,"*Uganda, Kyadondo",623,10.6 (0.42),29.1 (1.37),..,"*Uganda, Kyadondo",0,0.0 (0.00),0.0 (0.00),0.00 (0.000),"*Uganda, Kyadondo",0,0.0 (0.00),0.0 (0.00),0.00 (0.000),"*Uganda, Kyadondo",0,0.0 (0.00),0.0 (0.00),0.00 (0.000),"*Uganda, Kyadondo",1,0.1 (0.12),0.1 (0.12),0.00 (0.001),"*Uganda, Kyadondo",15,1.6 (0.42),1.7 (0.43),0.01 (0.002),"*Uganda, Kyadondo",45,6.8 (1.01),6.9 (1.02),0.03 (0.005),"*Uganda, Kyadondo",63,15.8 (1.99),16.0 (2.01),0.08 (0.010),"*Uganda, Kyadondo",86,33.0 (3.56),33.4 (3.60),0.17 (0.018),"*Uganda, Kyadondo",71,37.5 (4.44),37.9 (4.50),0.19 (0.022),"*Uganda, Kyadondo",94,84.8 (8.74),85.7 (8.84),0.43 (0.044),"*Uganda, Kyadondo",80,94.6 (10.57),95.6 (10.69),0.48 (0.053),"*Uganda, Kyadondo",41,91.6 (14.30),92.6 (14.47),0.46 (0.072),"*Uganda, Kyadondo",48,103.0 (14.86),104.1 (15.03),0.52 (0.075),"*Uganda, Kyadondo",23,90.9 (18.96),92.0 (19.18),0.46 (0.096),"*Uganda, Kyadondo",18,65.0 (15.32),65.7 (15.49),0.33 (0.077),"*Uganda, Kyadondo",16,..,..,..,"*Uganda, Kyadondo",12,..,..,..,"*Uganda, Kyadondo",3,..,..,..,
Africa,"*Zimbabwe, Harare: African",437,19.4 (0.93),41.4 (2.20),..,"*Zimbabwe, Harare: African",0,0.0 (0.00),0.0 (0.00),0.00 (0.000),"*Zimbabwe, Harare: African",0,0.0 (0.00),0.0 (0.00),0.00 (0.000),"*Zimbabwe, Harare: African",0,0.0 (0.00),0.0 (0.00),0.00 (0.000),"*Zimbabwe, Harare: African",1,0.4 (0.38),0.4 (0.39),0.00 (0.002),"*Zimbabwe, Harare: African",1,0.3 (0.34),0.4 (0.35),0.00 (0.002),"*Zimbabwe, Harare: African",9,3.2 (1.07),3.3 (1.11),0.02 (0.006),"*Zimbabwe, Harare: African",17,8.4 (2.03),8.6 (2.10),0.04 (0.010),"*Zimbabwe, Harare: African",48,33.4 (4.82),34.5 (4.98),0.17 (0.025),"*Zimbabwe, Harare: African",69,72.0 (8.67),74.4 (8.95),0.37 (0.045),"*Zimbabwe, Harare: African",57,88.5 (11.72),91.4 (12.11),0.46 (0.061),"*Zimbabwe, Harare: African",52,94.9 (13.15),98.0 (13.59),0.49 (0.068),"*Zimbabwe, Harare: African",55,140.8 (18.98),145.4 (19.61),0.73 (0.098),"*Zimbabwe, Harare: African",37,140.6 (23.12),145.3 (23.88),0.73 (0.119),"*Zimbabwe, Harare: African",33,183.9 (32.02),190.0 (33.08),0.95 (0.165),"*Zimbabwe, Harare: African",28,218.5 (41.29),225.7 (42.65),1.13 (0.213),"*Zimbabwe, Harare: African",8,..,..,..,"*Zimbabwe, Harare: African",8,..,..,..,"*Zimbabwe, Harare: African",0,..,..,..,
,,4741,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,8,0,0,0,0,53,0,0,0,0,146,0,0,0,0,360,0,0,0,0,575,0,0,0,0,697,0,0,0,0,761,0,0,0,0,594,0,0,0,0,466,0,0,0,0,363,0,0,0,0,247,0,0,0,0,212,0,0,0,0,129,0,0,0,0,74,0,0,0,0,34,0,0,0,
South America,"Argentina, Chaco",1212,45.2 (1.30),47.2 (1.38),..," Argentina, Chaco",0,0.0 (0.00),0.0 (0.00),0.00 (0.000),"Argentina, Chaco",0,0.0 (0.00),0.0 (0.00),0.00 (0.000),"Argentina, Chaco",0,0.0 (0.00),0.0 (0.00),0.00 (0.000),"Argentina, Chaco",0,0.0 (0.00),0.0 (0.00),0.00 (0.000),"Argentina, Chaco",5,2.0 (0.90),2.0 (0.90),0.01 (0.004),"Argentina, Chaco",14,6.4 (1.72),6.4 (1.72),0.03 (0.009),"Argentina, Chaco",30,15.6 (2.85),15.6 (2.85),0.08 (0.014),"Argentina, Chaco",64,40.5 (5.06),40.5 (5.06),0.20 (0.025)," Argentina, Chaco",118,82.5 (7.59),82.5 (7.59),0.41 (0.038),"Argentina, Chaco",160,115.0 (9.09),115.0 (9.09),0.57 (0.045),"Argentina, Chaco",161,126.0 (9.93),126.0 (9.93),0.63 (0.050),"Argentina, Chaco",150,140.0 (11.43),140.0 (11.43),0.70 (0.057),"Argentina, Chaco",130,158.6 (13.91),158.6 (13.91),0.79 (0.070),"Argentina, Chaco",126,187.0 (16.66),187.0 (16.66),0.93 (0.083),"Argentina, Chaco",104,180.8 (17.73),180.8 (17.73),0.90 (0.089),"Argentina, Chaco",71,165.4 (19.63),165.4 (19.63),0.83 (0.098)," Argentina, Chaco",47,..,..,..,"Argentina, Chaco",32,..,..,..,
