,Breast(C50)-Male age 0-85+,,,,,,age 0-4,,,,,age 5-9,,,,,age 10-14,,,,,age 15-19,,,,,age 20-24,,,,,age 25-29,,,,,age 30-34,,,,,age 35-39,,,,age 40-44,,,,,,age 45-49,,,,age 50-54,,,,,age 55-59,,,,,age 60-64,,,,,age 65-69,,,,,age 70-74,,,,,age 75-79,,,,,age 80-84,,,,,age 85+,,,,,
Continent,Population,Cases,Crude Rate,ASR (W),Cumulative Rate,Population,Cases,Crude Rate,ASR (W),Cumulative Rate,Population,Cases,Crude Rate,ASR (W),Cumulative Rate,Population,Cases,Crude Rate,ASR (W),Cumulative Rate,Population,Cases,Crude Rate,ASR (W),Cumulative Rate,Population,Cases,Crude Rate,ASR (W),Cumulative Rate,Population,Cases,Crude Rate,ASR (W),Cumulative Rate,Population,Cases,Crude Rate,ASR (W),Cumulative Rate,Population,Cases,Crude Rate,ASR (W),Cumulative Rate,Population,Cases,Crude Rate,ASR (W),Cumulative Rate,Population,Cases,Crude Rate,ASR (W),Cumulative Rate,Population,Cases,Crude Rate,ASR (W),Cumulative Rate,Population,Cases,Crude Rate,ASR (W),Cumulative Rate,Population,Cases,Crude Rate,ASR (W),Cumulative Rate,Population,Cases,Crude Rate,ASR (W),Cumulative Rate,Population,Cases,Crude Rate,ASR (W),Cumulative Rate,Population,Cases,Crude Rate,ASR (W),Cumulative Rate,Population,Cases,Crude Rate,ASR (W),Cumulative Rate,Population,Cases,Crude Rate,ASR (W),Cumulative Rate,https://ci5.iarc.fr/CI5I-X/Pages/table2_sel.aspx
Africa,"Nigeria, Ibadan (1960-1965)",0,0,0,..,"Nigeria, Ibadan (1960-1965)",0,0,0,0,"Nigeria, Ibadan (1960-1965)",0,0,0,0,"Nigeria, Ibadan (1960-1965)",0,0,0,0,"Nigeria, Ibadan (1960-1965)",0,0,0,0,"Nigeria, Ibadan (1960-1965)",0,0,0,0,"Nigeria, Ibadan (1960-1965)",0,0,0,0,"Nigeria, Ibadan (1960-1965)",0,0,0,0,"Nigeria, Ibadan (1960-1965)",0,0,0,0,"Nigeria, Ibadan (1960-1965)",0,0,0,0,"Nigeria, Ibadan (1960-1965)",0,0,0,0,"Nigeria, Ibadan (1960-1965)",0,0,0,0,"Nigeria, Ibadan (1960-1965)",0,0,0,0,"Nigeria, Ibadan (1960-1965)",0,0,0,0,"Nigeria, Ibadan (1960-1965)",0,0,0,0,"Nigeria, Ibadan (1960-1965)",0,0,0,0,"Nigeria, Ibadan (1960-1965)",0,0,0,0,"Nigeria, Ibadan (1960-1965)",0,0,0,0,"Nigeria, Ibadan (1960-1965)",0,0,0,..,
Africa,"  South Africa, Natal Province: African (1964-1966)",0,0,0,..,"  South Africa, Natal Province: African (1964-1966)",0,0,0,0,"  South Africa, Natal Province: African (1964-1966)",0,0,0,0,"  South Africa, Natal Province: African (1964-1966)",0,0,0,0,"  South Africa, Natal Province: African (1964-1966)",0,0,0,0,"  South Africa, Natal Province: African (1964-1966)",0,0,0,0,"  South Africa, Natal Province: African (1964-1966)",0,0,0,0,"  South Africa, Natal Province: African (1964-1966)",0,0,0,0,"  South Africa, Natal Province: African (1964-1966)",0,0,0,0,"  South Africa, Natal Province: African (1964-1966)",0,0,0,0,"  South Africa, Natal Province: African (1964-1966)",0,0,0,0,"  South Africa, Natal Province: African (1964-1966)",0,0,0,0,"  South Africa, Natal Province: African (1964-1966)",0,0,0,0,"  South Africa, Natal Province: African (1964-1966)",0,0,0,0,"  South Africa, Natal Province: African (1964-1966)",0,0,0,0,"  South Africa, Natal Province: African (1964-1966)",0,0,0,0,"  South Africa, Natal Province: African (1964-1966)",0,..,..,..,"  South Africa, Natal Province: African (1964-1966)",0,..,..,..,"  South Africa, Natal Province: African (1964-1966)",0,..,..,..,
Africa,"  South Africa, Natal Province: Indian (1964-1966)",2,0.5,1.8,..,"  South Africa, Natal Province: Indian (1964-1966)",0,0,0,0,"  South Africa, Natal Province: Indian (1964-1966)",0,0,0,0,"  South Africa, Natal Province: Indian (1964-1966)",0,0,0,0,"  South Africa, Natal Province: Indian (1964-1966)",0,0,0,0,"  South Africa, Natal Province: Indian (1964-1966)",0,0,0,0,"  South Africa, Natal Province: Indian (1964-1966)",0,0,0,0,"  South Africa, Natal Province: Indian (1964-1966)",0,0,0,0,"  South Africa, Natal Province: Indian (1964-1966)",0,0,0,0,"  South Africa, Natal Province: Indian (1964-1966)",0,0,0,0,"  South Africa, Natal Province: Indian (1964-1966)",0,0,0,0,"  South Africa, Natal Province: Indian (1964-1966)",0,0,0,0,"  South Africa, Natal Province: Indian (1964-1966)",0,0,0,0,"  South Africa, Natal Province: Indian (1964-1966)",1,19.4,19.4,0.1,"  South Africa, Natal Province: Indian (1964-1966)",1,33.8,33.8,0.17,"  South Africa, Natal Province: Indian (1964-1966)",1,33.8,33.8,0.17,"  South Africa, Natal Province: Indian (1964-1966)",0,..,..,..,"  South Africa, Natal Province: Indian (1964-1966)",0,..,..,..,"  South Africa, Natal Province: Indian (1964-1966)",0,..,..,..,
Africa,"  Zimbabwe, Bulawayo: African (1963-1967)",1,0.2,0.2,..,"  Zimbabwe, Bulawayo: African (1963-1967)",0,0,0,0,"  Zimbabwe, Bulawayo: African (1963-1967)",0,0,0,0,"  Zimbabwe, Bulawayo: African (1963-1967)",0,0,0,0,"  Zimbabwe, Bulawayo: African (1963-1967)",0,0,0,0,"  Zimbabwe, Bulawayo: African (1963-1967)",0,0,0,0,"  Zimbabwe, Bulawayo: African (1963-1967)",0,0,0,0,"  Zimbabwe, Bulawayo: African (1963-1967)",0,0,0,0,"  Zimbabwe, Bulawayo: African (1963-1967)",0,0,0,0,"  Zimbabwe, Bulawayo: African (1963-1967)",1,2.5,2.5,0.01,"  Zimbabwe, Bulawayo: African (1963-1967)",0,0,0,0,"  Zimbabwe, Bulawayo: African (1963-1967)",0,0,0,0,"  Zimbabwe, Bulawayo: African (1963-1967)",0,0,0,0,"  Zimbabwe, Bulawayo: African (1963-1967)",0,0,0,0,"  Zimbabwe, Bulawayo: African (1963-1967)",0,..,..,..,"  Zimbabwe, Bulawayo: African (1963-1967)",0,..,..,..,"  Zimbabwe, Bulawayo: African (1963-1967)",0,..,..,..,"  Zimbabwe, Bulawayo: African (1963-1967)",0,..,..,..,"  Zimbabwe, Bulawayo: African (1963-1967)",0,..,..,..,
Africa,,3,0.7,2,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,1,2.5,2.5,0.01,,0,0,0,0,,0,0,0,0,,0,0,0,0,,1,19.4,19.4,0.1,,1,33.8,33.8,0.17,,1,33.8,33.8,0.17,,0,0,0,0,,0,0,0,0,,0,0,0,0,
South America,"Colombia, Cali (1962-1966)",1,0.1,0.2,..,"Colombia, Cali (1962-1966)",0,0,0,0,"Colombia, Cali (1962-1966)",0,0,0,0,"Colombia, Cali (1962-1966)",0,0,0,0,"Colombia, Cali (1962-1966)",0,0,0,0,"Colombia, Cali (1962-1966)",0,0,0,0,"Colombia, Cali (1962-1966)",0,0,0,0,"Colombia, Cali (1962-1966)",0,0,0,0,"Colombia, Cali (1962-1966)",0,0,0,0,"Colombia, Cali (1962-1966)",0,0,0,0,"Colombia, Cali (1962-1966)",0,0,0,0,"Colombia, Cali (1962-1966)",0,0,0,0,"Colombia, Cali (1962-1966)",0,0,0,0,"Colombia, Cali (1962-1966)",1,4.1,4.1,0.02,"Colombia, Cali (1962-1966)",0,0,0,0,"  Colombia, Cali (1962-1966)",0,0,0,0,"Colombia, Cali (1962-1966)",0,0,0,0,"Colombia, Cali (1962-1966)",0,0,0,0,"Colombia, Cali (1962-1966)",0,0,0,..,
South America,"  Jamaica, Kingston and St.Andrew (1964-1966)",0,0,0,..,"  Jamaica, Kingston and St.Andrew (1964-1966)",0,0,0,0,"  Jamaica, Kingston and St.Andrew (1964-1966)",0,0,0,0,"  Jamaica, Kingston and St.Andrew (1964-1966)",0,0,0,0,"  Jamaica, Kingston and St.Andrew (1964-1966)",0,0,0,0,"  Jamaica, Kingston and St.Andrew (1964-1966)",0,0,0,0,"  Jamaica, Kingston and St.Andrew (1964-1966)",0,0,0,0,"  Jamaica, Kingston and St.Andrew (1964-1966)",0,0,0,0,"  Jamaica, Kingston and St.Andrew (1964-1966)",0,0,0,0,"  Jamaica, Kingston and St.Andrew (1964-1966)",0,0,0,0,"  Jamaica, Kingston and St.Andrew (1964-1966)",0,0,0,0,"  Jamaica, Kingston and St.Andrew (1964-1966)",0,0,0,0,"  Jamaica, Kingston and St.Andrew (1964-1966)",0,0,0,0,"  Jamaica, Kingston and St.Andrew (1964-1966)",0,0,0,0,"  Jamaica, Kingston and St.Andrew (1964-1966)",0,0,0,0,"  Jamaica, Kingston and St.Andrew (1964-1966)",0,0,0,0,"  Jamaica, Kingston and St.Andrew (1964-1966)",0,..,..,..,"  Jamaica, Kingston and St.Andrew (1964-1966)",0,..,..,..,"  Jamaica, Kingston and St.Andrew (1964-1966)",0,..,..,..,
South America,"  USA, Puerto Rico (1964-1966)",13,0.3,0.4,..,"  USA, Puerto Rico (1964-1966)",0,0,0,0,"  USA, Puerto Rico (1964-1966)",0,0,0,0,"  USA, Puerto Rico (1964-1966)",0,0,0,0,"  USA, Puerto Rico (1964-1966)",0,0,0,0,"  USA, Puerto Rico (1964-1966)",0,0,0,0,"  USA, Puerto Rico (1964-1966)",0,0,0,0,"  USA, Puerto Rico (1964-1966)",0,0,0,0,"  USA, Puerto Rico (1964-1966)",0,0,0,0,"  USA, Puerto Rico (1964-1966)",1,0.5,0.5,0,"  USA, Puerto Rico (1964-1966)",1,0.6,0.6,0,"  USA, Puerto Rico (1964-1966)",0,0,0,0,"  USA, Puerto Rico (1964-1966)",0,0,0,0,"  USA, Puerto Rico (1964-1966)",1,1,1,0.01,"  USA, Puerto Rico (1964-1966)",2,2.6,2.6,0.01,"  USA, Puerto Rico (1964-1966)",3,4.8,4.8,0.02,"  USA, Puerto Rico (1964-1966)",5,..,..,..,"  USA, Puerto Rico (1964-1966)",0,..,..,..,"  USA, Puerto Rico (1964-1966)",0,..,..,..,
South America,,14,0.4,0.6,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,1,0.5,0.5,0,,1,0.6,0.6,0,,0,0,0,0,,0,0,0,0,,2,5.1,5.1,0.03,,2,2.6,2.6,0.01,,3,4.8,4.8,0.02,,5,0,0,0,,0,0,0,0,,0,0,0,0,
