,Breast(C50)-Male age 0-85+,,,,,,age 0-4,,,,,age 5-9,,,,,age 10-14,,,,,age 15-19,,,,,age 20-24,,,,,age 25-29,,,,,age 30-34,,,,,age 35-39,,,,age 40-44,,,,,,age 45-49,,,,age 50-54,,,,,age 55-59,,,,,age 60-64,,,,,age 65-69,,,,,age 70-74,,,,,age 75-79,,,,,age 80-84,,,,,age 85+,,,,,
Continent,Population,Cases,Crude Rate,ASR (W),Cumulative Rate,Population,Cases,Crude Rate,ASR (W),Cumulative Rate,Population,Cases,Crude Rate,ASR (W),Cumulative Rate,Population,Cases,Crude Rate,ASR (W),Cumulative Rate,Population,Cases,Crude Rate,ASR (W),Cumulative Rate,Population,Cases,Crude Rate,ASR (W),Cumulative Rate,Population,Cases,Crude Rate,ASR (W),Cumulative Rate,Population,Cases,Crude Rate,ASR (W),Cumulative Rate,Population,Cases,Crude Rate,ASR (W),Cumulative Rate,Population,Cases,Crude Rate,ASR (W),Cumulative Rate,Population,Cases,Crude Rate,ASR (W),Cumulative Rate,Population,Cases,Crude Rate,ASR (W),Cumulative Rate,Population,Cases,Crude Rate,ASR (W),Cumulative Rate,Population,Cases,Crude Rate,ASR (W),Cumulative Rate,Population,Cases,Crude Rate,ASR (W),Cumulative Rate,Population,Cases,Crude Rate,ASR (W),Cumulative Rate,Population,Cases,Crude Rate,ASR (W),Cumulative Rate,Population,Cases,Crude Rate,ASR (W),Cumulative Rate,Population,Cases,Crude Rate,ASR (W),Cumulative Rate,https://ci5.iarc.fr/CI5I-X/Pages/table2_sel.aspx
Africa,"Senegal, Dakar (1969-1974)",7,0.3,0.7,..,"Senegal, Dakar (1969-1974)",0,0,0,0,"Senegal, Dakar (1969-1974)",0,0,0,0,"Senegal, Dakar (1969-1974)",0,0,0,0,"Senegal, Dakar (1969-1974)",0,0,0,0,"Senegal, Dakar (1969-1974)",0,0,0,0,"  Senegal, Dakar (1969-1974)",2,1.3,1.3,0.01,"Senegal, Dakar (1969-1974)",0,0,0,0,"Senegal, Dakar (1969-1974)",0,0,0,0,"Senegal, Dakar (1969-1974)",1,0.9,0.9,0,"Senegal, Dakar (1969-1974)",1,1.1,1.1,0.01,"Senegal, Dakar (1969-1974)",0,0,0,0,"Senegal, Dakar (1969-1974)",0,0,0,0,"Senegal, Dakar (1969-1974)",1,3.2,3.2,0.02,"Senegal, Dakar (1969-1974)",1,4.7,4.7,0.02,"Senegal, Dakar (1969-1974)",1,8.1,8.1,0.04,"Senegal, Dakar (1969-1974)",0,0,0,0,"Senegal, Dakar (1969-1974)",0,..,..,..,"Senegal, Dakar (1969-1974)",0,..,..,..,
Africa,,7,0.3,0.7,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,2,1.3,1.3,0.01,,0,0,0,0,,0,0,0,0,,1,0.9,0.9,0,,1,1.1,1.1,0.01,,0,0,0,0,,0,0,0,0,,1,3.2,3.2,0.02,,1,4.7,4.7,0.02,,1,8.1,8.1,0.04,,0,0,0,0,,0,0,0,0,,0,0,0,0,
South America,"Brazil, Sao Paulo (1973)",12,0.4,0.5,..,"Brazil, Sao Paulo (1973)",0,0,0,0,"Brazil, Sao Paulo (1973)",0,0,0,0,"Brazil, Sao Paulo (1973)",0,0,0,0,"Brazil, Sao Paulo (1973)",1,0.3,0.4,0,"Brazil, Sao Paulo (1973)",0,0,0,0,"Brazil, Sao Paulo (1973)",0,0,0,0,"Brazil, Sao Paulo (1973)",1,0.4,0.4,0,"Brazil, Sao Paulo (1973)",0,0,0,0,"Brazil, Sao Paulo (1973)",0,0,0,0,"Brazil, Sao Paulo (1973)",1,0.6,0.7,0,"Brazil, Sao Paulo (1973)",3,2.3,2.5,0.01,"Brazil, Sao Paulo (1973)",1,1.1,1.2,0.01,"Brazil, Sao Paulo (1973)",1,1.5,1.6,0.01,"  Brazil, Sao Paulo (1973)",2,4,4.4,0.02,"  Brazil, Sao Paulo (1973)",1,3.1,3.4,0.02,"Brazil, Sao Paulo (1973)",0,..,..,..,"Brazil, Sao Paulo (1973)",0,..,..,..,"Brazil, Sao Paulo (1973)",0,..,..,..,
South America,"  Colombia, Cali (1972-1976)",1,0,0.1,..,"  Colombia, Cali (1972-1976)",0,0,0,0,"  Colombia, Cali (1972-1976)",0,0,0,0,"  Colombia, Cali (1972-1976)",0,0,0,0,"  Colombia, Cali (1972-1976)",0,0,0,0,"  Colombia, Cali (1972-1976)",0,0,0,0,"  Colombia, Cali (1972-1976)",0,0,0,0,"  Colombia, Cali (1972-1976)",0,0,0,0,"  Colombia, Cali (1972-1976)",0,0,0,0,"  Colombia, Cali (1972-1976)",0,0,0,0,"  Colombia, Cali (1972-1976)",0,0,0,0,"  Colombia, Cali (1972-1976)",0,0,0,0,"  Colombia, Cali (1972-1976)",0,0,0,0,"  Colombia, Cali (1972-1976)",0,0,0,0,"  Colombia, Cali (1972-1976)",0,0,0,0,"  Colombia, Cali (1972-1976)",1,5.7,5.7,0.03,"  Colombia, Cali (1972-1976)",0,..,..,..,"  Colombia, Cali (1972-1976)",0,..,..,..,"  Colombia, Cali (1972-1976)",0,..,..,..,
South America,  Cuba (1973-1977),95,0.4,0.5,..,  Cuba (1973-1977),0,0,0,0,  Cuba (1973-1977),0,0,0,0,  Cuba (1973-1977),0,0,0,0,  Cuba (1973-1977),0,0,0,0,  Cuba (1973-1977),0,0,0,0,  Cuba (1973-1977),0,0,0,0,  Cuba (1973-1977),1,0.1,0.1,0,  Cuba (1973-1977),2,0.1,0.1,0,  Cuba (1973-1977),6,0.5,0.5,0,  Cuba (1973-1977),6,0.6,0.6,0,  Cuba (1973-1977),10,1.1,1.1,0.01,  Cuba (1973-1977),8,0.9,0.9,0,  Cuba (1973-1977),10,1.4,1.4,0.01,  Cuba (1973-1977),18,2.3,2.4,0.01,  Cuba (1973-1977),14,4.5,4.6,0.02,  Cuba (1973-1977),2,0.8,0.8,0,  Cuba (1973-1977),9,5.2,5.2,0.03,  Cuba (1973-1977),8,6.2,6.2,..,
South America,"  Jamaica, Kingston and St.Andrew (1973-1977)",4,0.3,0.5,..,"  Jamaica, Kingston and St.Andrew (1973-1977)",0,0,0,0,"  Jamaica, Kingston and St.Andrew (1973-1977)",0,0,0,0,"  Jamaica, Kingston and St.Andrew (1973-1977)",0,0,0,0,"  Jamaica, Kingston and St.Andrew (1973-1977)",0,0,0,0,"  Jamaica, Kingston and St.Andrew (1973-1977)",0,0,0,0,"  Jamaica, Kingston and St.Andrew (1973-1977)",0,0,0,0,"  Jamaica, Kingston and St.Andrew (1973-1977)",0,0,0,0,"  Jamaica, Kingston and St.Andrew (1973-1977)",0,0,0,0,"  Jamaica, Kingston and St.Andrew (1973-1977)",0,0,0,0,"  Jamaica, Kingston and St.Andrew (1973-1977)",0,0,0,0,"  Jamaica, Kingston and St.Andrew (1973-1977)",1,2.2,2.2,0.01,"  Jamaica, Kingston and St.Andrew (1973-1977)",1,2.7,2.7,0.01,"  Jamaica, Kingston and St.Andrew (1973-1977)",0,0,0,0,"  Jamaica, Kingston and St.Andrew (1973-1977)",0,0,0,0,"  Jamaica, Kingston and St.Andrew (1973-1977)",1,7.7,7.7,0.04,"  Jamaica, Kingston and St.Andrew (1973-1977)",0,0,0,0,"  Jamaica, Kingston and St.Andrew (1973-1977)",1,28.6,28.6,0.14,"  Jamaica, Kingston and St.Andrew (1973-1977)",0,0,0,..,
South America,"  Netherlands, Antilles (1973-1978)",0,0,0,..,"  Netherlands, Antilles (1973-1978)",0,0,0,0,"  Netherlands, Antilles (1973-1978)",0,0,0,0,"  Netherlands, Antilles (1973-1978)",0,0,0,0,"  Netherlands, Antilles (1973-1978)",0,0,0,0,"  Netherlands, Antilles (1973-1978)",0,0,0,0,"  Netherlands, Antilles (1973-1978)",0,0,0,0,"  Netherlands, Antilles (1973-1978)",0,0,0,0,"  Netherlands, Antilles (1973-1978)",0,0,0,0,"  Netherlands, Antilles (1973-1978)",0,0,0,0,"  Netherlands, Antilles (1973-1978)",0,0,0,0,"  Netherlands, Antilles (1973-1978)",0,0,0,0,"  Netherlands, Antilles (1973-1978)",0,0,0,0,"  Netherlands, Antilles (1973-1978)",0,0,0,0,"  Netherlands, Antilles (1973-1978)",0,0,0,0,"  Netherlands, Antilles (1973-1978)",0,0,0,0,"  Netherlands, Antilles (1973-1978)",0,0,0,0,"  Netherlands, Antilles (1973-1978)",0,0,0,0,"  Netherlands, Antilles (1973-1978)",0,0,0,..,
South America,"  USA, Puerto Rico (1973-1977)",20,0.3,0.3,..,"  USA, Puerto Rico (1973-1977)",0,0,0,0,"  USA, Puerto Rico (1973-1977)",0,0,0,0,"  USA, Puerto Rico (1973-1977)",0,0,0,0,"  USA, Puerto Rico (1973-1977)",0,0,0,0,"  USA, Puerto Rico (1973-1977)",0,0,0,0,"  USA, Puerto Rico (1973-1977)",0,0,0,0,"  USA, Puerto Rico (1973-1977)",0,0,0,0,"  USA, Puerto Rico (1973-1977)",0,0,0,0,"  USA, Puerto Rico (1973-1977)",1,0.3,0.3,0,"  USA, Puerto Rico (1973-1977)",4,1.2,1.2,0.01,"  USA, Puerto Rico (1973-1977)",1,0.3,0.3,0,"  USA, Puerto Rico (1973-1977)",1,0.4,0.4,0,"  USA, Puerto Rico (1973-1977)",2,0.9,0.9,0,"  USA, Puerto Rico (1973-1977)",5,2.6,2.6,0.01,"  USA, Puerto Rico (1973-1977)",3,2.3,2.3,0.01,"  USA, Puerto Rico (1973-1977)",1,1.2,1.2,0.01,"  USA, Puerto Rico (1973-1977)",1,1.8,1.8,0.01,"  USA, Puerto Rico (1973-1977)",1,2.2,2.2,..,
South America,,132,1.4,1.9,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,1,0.3,0.4,0,,0,0,0,0,,0,0,0,0,,2,0.5,0.5,0,,2,0.1,0.1,0,,7,0.8,0.8,0,,11,2.4,2.5,0.01,,15,5.9,6.1,0.03,,11,5.1,5.2,0.02,,13,3.8,3.9,0.02,,25,8.9,9.4,0.04,,20,23.3,23.7,0.12,,3,2,2,0.01,,11,35.6,35.6,0.18,,9,8.4,8.4,0,
North America,"Canada, Alberta (1973-1977)",],0.7,0.7,..,"Canada, Alberta (1973-1977)",0,0,0,0,"Canada, Alberta (1973-1977)",0,0,0,0,"Canada, Alberta (1973-1977)",1,0.2,0.2,0,"  Canada, Alberta (1973-1977)",0,0,0,0,"Canada, Alberta (1973-1977)",0,0,0,0,"Canada, Alberta (1973-1977)",1,0.3,0.3,0,"Canada, Alberta (1973-1977)",0,0,0,0,"Canada, Alberta (1973-1977)",0,0,0,0,"Canada, Alberta (1973-1977)",1,0.4,0.4,0,"Canada, Alberta (1973-1977)",0,0,0,0,"Canada, Alberta (1973-1977)",3,1.4,1.5,0.01,"Canada, Alberta (1973-1977)",5,2.9,3,0.01,"Canada, Alberta (1973-1977)",1,0.7,0.7,0,"Canada, Alberta (1973-1977)",5,4.3,4.5,0.02,"Canada, Alberta (1973-1977)",5,5.6,5.8,0.03,"Canada, Alberta (1973-1977)",3,5.6,5.8,0.03,"  Canada, Alberta (1973-1977)",3,8.8,9.1,0.05,"Canada, Alberta (1973-1977)",1,3.7,3.8,..,
North America,"  Canada, British Columbia (1973-1977)",53,0.9,0.7,..,"  Canada, British Columbia (1973-1977)",0,0,0,0,"  Canada, British Columbia (1973-1977)",0,0,0,0,"  Canada, British Columbia (1973-1977)",0,0,0,0,"  Canada, British Columbia (1973-1977)",0,0,0,0,"  Canada, British Columbia (1973-1977)",0,0,0,0,"  Canada, British Columbia (1973-1977)",0,0,0,0,"  Canada, British Columbia (1973-1977)",0,0,0,0,"  Canada, British Columbia (1973-1977)",1,0.3,0.3,0,"  Canada, British Columbia (1973-1977)",5,1.4,1.4,0.01,"  Canada, British Columbia (1973-1977)",3,0.9,0.9,0,"  Canada, British Columbia (1973-1977)",4,1.2,1.2,0.01,"  Canada, British Columbia (1973-1977)",3,1.1,1.1,0.01,"  Canada, British Columbia (1973-1977)",4,1.6,1.6,0.01,"  Canada, British Columbia (1973-1977)",10,5.1,5.1,0.03,"  Canada, British Columbia (1973-1977)",8,5.5,5.5,0.03,"  Canada, British Columbia (1973-1977)",5,5.7,5.7,0.03,"  Canada, British Columbia (1973-1977)",8,14.2,14.2,0.07,"  Canada, British Columbia (1973-1977)",2,4.3,4.3,..,
North America,"  Canada, Manitoba (1973-1977)",20,0.8,0.6,..,"  Canada, Manitoba (1973-1977)",0,0,0,0,"  Canada, Manitoba (1973-1977)",0,0,0,0,"  Canada, Manitoba (1973-1977)",0,0,0,0,"  Canada, Manitoba (1973-1977)",0,0,0,0,"  Canada, Manitoba (1973-1977)",0,0,0,0,"  Canada, Manitoba (1973-1977)",0,0,0,0,"  Canada, Manitoba (1973-1977)",0,0,0,0,"  Canada, Manitoba (1973-1977)",0,0,0,0,"  Canada, Manitoba (1973-1977)",1,0.8,0.8,0,"  Canada, Manitoba (1973-1977)",0,0,0,0,"  Canada, Manitoba (1973-1977)",2,1.5,1.5,0.01,"  Canada, Manitoba (1973-1977)",0,0,0,0,"  Canada, Manitoba (1973-1977)",4,3.6,3.6,0.02,"  Canada, Manitoba (1973-1977)",2,2.4,2.4,0.01,"  Canada, Manitoba (1973-1977)",5,7.9,7.9,0.04,"  Canada, Manitoba (1973-1977)",1,2.5,2.5,0.01,"  Canada, Manitoba (1973-1977)",2,7.7,7.7,0.04,"  Canada, Manitoba (1973-1977)",3,15,15,..,
North America,"  Canada, Maritime Provinces (1973-1977)",32,0.8,0.7,..,"  Canada, Maritime Provinces (1973-1977)",0,0,0,0,"  Canada, Maritime Provinces (1973-1977)",0,0,0,0,"  Canada, Maritime Provinces (1973-1977)",0,0,0,0,"  Canada, Maritime Provinces (1973-1977)",0,0,0,0,"  Canada, Maritime Provinces (1973-1977)",0,0,0,0,"  Canada, Maritime Provinces (1973-1977)",1,0.3,0.3,0,"  Canada, Maritime Provinces (1973-1977)",1,0.4,0.4,0,"  Canada, Maritime Provinces (1973-1977)",1,0.5,0.5,0,"  Canada, Maritime Provinces (1973-1977)",2,1,1,0.01,"  Canada, Maritime Provinces (1973-1977)",2,1.1,1.1,0.01,"  Canada, Maritime Provinces (1973-1977)",2,1,1,0.01,"  Canada, Maritime Provinces (1973-1977)",0,0,0,0,"  Canada, Maritime Provinces (1973-1977)",5,3.1,3.1,0.02,"  Canada, Maritime Provinces (1973-1977)",6,4.7,4.7,0.02,"  Canada, Maritime Provinces (1973-1977)",3,3.4,3.4,0.02,"  Canada, Maritime Provinces (1973-1977)",6,9.9,9.9,0.05,"  Canada, Maritime Provinces (1973-1977)",1,2.7,2.7,0.01,"  Canada, Maritime Provinces (1973-1977)",2,7.7,7.7,..,
North America,"  Canada, Newfoundland (1973-1977)",6,0.4,0.5,..,"  Canada, Newfoundland (1973-1977)",0,0,0,0,"  Canada, Newfoundland (1973-1977)",0,0,0,0,"  Canada, Newfoundland (1973-1977)",0,0,0,0,"  Canada, Newfoundland (1973-1977)",0,0,0,0,"  Canada, Newfoundland (1973-1977)",0,0,0,0,"  Canada, Newfoundland (1973-1977)",0,0,0,0,"  Canada, Newfoundland (1973-1977)",0,0,0,0,"  Canada, Newfoundland (1973-1977)",0,0,0,0,"  Canada, Newfoundland (1973-1977)",0,0,0,0,"  Canada, Newfoundland (1973-1977)",1,1.7,1.7,0.01,"  Canada, Newfoundland (1973-1977)",0,0,0,0,"  Canada, Newfoundland (1973-1977)",2,3.7,3.7,0.02,"  Canada, Newfoundland (1973-1977)",0,0,0,0,"  Canada, Newfoundland (1973-1977)",0,0,0,0,"  Canada, Newfoundland (1973-1977)",1,4.5,4.5,0.02,"  Canada, Newfoundland (1973-1977)",2,13.8,13.8,0.07,"  Canada, Newfoundland (1973-1977)",0,0,0,0,"  Canada, Newfoundland (1973-1977)",0,0,0,..,
North America,"  Canada, Northwest Territories and Yukon (1973-1977)",0,0,0,..,"  Canada, Northwest Territories and Yukon (1973-1977)",0,0,0,0,"  Canada, Northwest Territories and Yukon (1973-1977)",0,0,0,0,"  Canada, Northwest Territories and Yukon (1973-1977)",0,0,0,0,"  Canada, Northwest Territories and Yukon (1973-1977)",0,0,0,0,"  Canada, Northwest Territories and Yukon (1973-1977)",0,0,0,0,"  Canada, Northwest Territories and Yukon (1973-1977)",0,0,0,0,"  Canada, Northwest Territories and Yukon (1973-1977)",0,0,0,0,"  Canada, Northwest Territories and Yukon (1973-1977)",0,0,0,0,"  Canada, Northwest Territories and Yukon (1973-1977)",0,0,0,0,"  Canada, Northwest Territories and Yukon (1973-1977)",0,0,0,0,"  Canada, Northwest Territories and Yukon (1973-1977)",0,0,0,0,"  Canada, Northwest Territories and Yukon (1973-1977)",0,0,0,0,"  Canada, Northwest Territories and Yukon (1973-1977)",0,0,0,0,"  Canada, Northwest Territories and Yukon (1973-1977)",0,0,0,0,"  Canada, Northwest Territories and Yukon (1973-1977)",0,0,0,0,"  Canada, Northwest Territories and Yukon (1973-1977)",0,..,..,..,"  Canada, Northwest Territories and Yukon (1973-1977)",0,..,..,..,"  Canada, Northwest Territories and Yukon (1973-1977)",0,..,..,..,
