,Breast(C50)-male age 0-85+,,,,,,age 0-4,,,,,age 5-9,,,,,age 10-14,,,,,age 15-19,,,,,age 20-24,,,,,age 25-29,,,,,age 30-34,,,,,age 35-39,,,,age 40-44,,,,,,age 45-49,,,,age 50-54,,,,,age 55-59,,,,,age 60-64,,,,,age 65-69,,,,,age 70-74,,,,,age 75-79,,,,,age 80-84,,,,,age 85+,,,,,
Continent,Population,Cases,Crude Rate,ASR (W),Cumulative Rate,Population,Cases,Crude Rate,ASR (W),Cumulative Rate,Population,Cases,Crude Rate,ASR (W),Cumulative Rate,Population,Cases,Crude Rate,ASR (W),Cumulative Rate,Population,Cases,Crude Rate,ASR (W),Cumulative Rate,Population,Cases,Crude Rate,ASR (W),Cumulative Rate,Population,Cases,Crude Rate,ASR (W),Cumulative Rate,Population,Cases,Crude Rate,ASR (W),Cumulative Rate,Population,Cases,Crude Rate,ASR (W),Cumulative Rate,Population,Cases,Crude Rate,ASR (W),Cumulative Rate,Population,Cases,Crude Rate,ASR (W),Cumulative Rate,Population,Cases,Crude Rate,ASR (W),Cumulative Rate,Population,Cases,Crude Rate,ASR (W),Cumulative Rate,Population,Cases,Crude Rate,ASR (W),Cumulative Rate,Population,Cases,Crude Rate,ASR (W),Cumulative Rate,Population,Cases,Crude Rate,ASR (W),Cumulative Rate,Population,Cases,Crude Rate,ASR (W),Cumulative Rate,Population,Cases,Crude Rate,ASR (W),Cumulative Rate,Population,Cases,Crude Rate,ASR (W),Cumulative Rate,https://ci5.iarc.fr/CI5I-X/Pages/table2_sel.aspx
Africa,"  Algeria, Setif Wilaya (1998-2002)",12,0.4,0.6,..,"Algeria, Setif Wilaya (1998-2002)",0,0,0,0,"Algeria, Setif Wilaya (1998-2002)",0,0,0,0,"  Algeria, Setif Wilaya (1998-2002)",0,0,0,0,"Algeria, Setif Wilaya (1998-2002)",0,0,0,0,"Algeria, Setif Wilaya (1998-2002)",0,0,0,0,"Algeria, Setif Wilaya (1998-2002)",0,0,0,0,"Algeria, Setif Wilaya (1998-2002)",0,0,0,0,"Algeria, Setif Wilaya (1998-2002)",0,0,0,0,"Algeria, Setif Wilaya (1998-2002)",1,0.5,0.5,0,"Algeria, Setif Wilaya (1998-2002)",2,1.1,1.1,0.01,"Algeria, Setif Wilaya (1998-2002)",2,2.9,2.9,0.01,"Algeria, Setif Wilaya (1998-2002)",3,4.8,4.8,0.02,"Algeria, Setif Wilaya (1998-2002)",0,0,0,0,"Algeria, Setif Wilaya (1998-2002)",0,0,0,0,"Algeria, Setif Wilaya (1998-2002)",1,..,..,..,"Algeria, Setif Wilaya (1998-2002)",1,..,..,..,"Algeria, Setif Wilaya (1998-2002)",1,..,..,..,"Algeria, Setif Wilaya (1998-2002)",1,..,..,..,
Africa,"  Egypt, Gharbiah (1999-2002)",31,0.4,0.8,..,"  Egypt, Gharbiah (1999-2002)",0,0,0,0,"  Egypt, Gharbiah (1999-2002)",0,0,0,0,"  Egypt, Gharbiah (1999-2002)",0,0,0,0,"  Egypt, Gharbiah (1999-2002)",0,0,0,0,"  Egypt, Gharbiah (1999-2002)",0,0,0,0,"  Egypt, Gharbiah (1999-2002)",0,0,0,0,"  Egypt, Gharbiah (1999-2002)",0,0,0,0,"  Egypt, Gharbiah (1999-2002)",0,0,0,0,"  Egypt, Gharbiah (1999-2002)",1,0.2,0.2,0,"  Egypt, Gharbiah (1999-2002)",4,1.2,1.2,0.01,"  Egypt, Gharbiah (1999-2002)",5,1.9,1.9,0.01,"  Egypt, Gharbiah (1999-2002)",6,2.6,2.6,0.01,"  Egypt, Gharbiah (1999-2002)",6,4.3,4.3,0.02,"  Egypt, Gharbiah (1999-2002)",3,2.9,2.9,0.01,"  Egypt, Gharbiah (1999-2002)",2,..,..,..,"  Egypt, Gharbiah (1999-2002)",3,..,..,..,"  Egypt, Gharbiah (1999-2002)",1,..,..,..,"  Egypt, Gharbiah (1999-2002)",0,..,..,..,
Africa,"  Tunisia, Centre, Sousse (1998-2002)",8,0.6,0.9,..,"  Tunisia, Centre, Sousse (1998-2002)",0,0,0,0,"  Tunisia, Centre, Sousse (1998-2002)",0,0,0,0,"  Tunisia, Centre, Sousse (1998-2002)",0,0,0,0,"  Tunisia, Centre, Sousse (1998-2002)",0,0,0,0,"  Tunisia, Centre, Sousse (1998-2002)",0,0,0,0,"  Tunisia, Centre, Sousse (1998-2002)",0,0,0,0,"  Tunisia, Centre, Sousse (1998-2002)",0,0,0,0,"  Tunisia, Centre, Sousse (1998-2002)",0,0,0,0,"  Tunisia, Centre, Sousse (1998-2002)",1,1.3,1.3,0.01,"  Tunisia, Centre, Sousse (1998-2002)",0,0,0,0,"  Tunisia, Centre, Sousse (1998-2002)",1,2.6,2.6,0.01,"  Tunisia, Centre, Sousse (1998-2002)",1,3.2,3.2,0.02,"  Tunisia, Centre, Sousse (1998-2002)",2,6.6,6.6,0.03,"  Tunisia, Centre, Sousse (1998-2002)",1,3.7,3.7,0.02,"  Tunisia, Centre, Sousse (1998-2002)",0,..,..,..,"  Tunisia, Centre, Sousse (1998-2002)",0,..,..,..,"  Tunisia, Centre, Sousse (1998-2002)",1,..,..,..,"  Tunisia, Centre, Sousse (1998-2002)",1,..,..,..,
Africa,"  Uganda, Kyadondo County (1998-2002)",15,0.4,1.4,..,"  Uganda, Kyadondo County (1998-2002)",0,0,0,0,"  Uganda, Kyadondo County (1998-2002)",0,0,0,0,"  Uganda, Kyadondo County (1998-2002)",0,0,0,0,"  Uganda, Kyadondo County (1998-2002)",0,0,0,0,"  Uganda, Kyadondo County (1998-2002)",0,0,0,0,"  Uganda, Kyadondo County (1998-2002)",1,0.2,0.2,0,"  Uganda, Kyadondo County (1998-2002)",1,0.3,0.3,0,"  Uganda, Kyadondo County (1998-2002)",2,1.1,1.1,0.01,"  Uganda, Kyadondo County (1998-2002)",2,1.6,1.6,0.01,"  Uganda, Kyadondo County (1998-2002)",1,1.3,1.3,0.01,"  Uganda, Kyadondo County (1998-2002)",3,5.5,5.5,0.03,"  Uganda, Kyadondo County (1998-2002)",1,3.5,3.5,0.02,"  Uganda, Kyadondo County (1998-2002)",0,0,0,0,"  Uganda, Kyadondo County (1998-2002)",2,13.9,13.9,0.07,"  Uganda, Kyadondo County (1998-2002)",2,..,..,..,"  Uganda, Kyadondo County (1998-2002)",0,..,..,..,"  Uganda, Kyadondo County (1998-2002)",0,..,..,..,"  Uganda, Kyadondo County (1998-2002)",0,..,..,..,
Africa,"  Zimbabwe, Harare: African (1998-2002)",9,0.2,0.6,..,"  Zimbabwe, Harare: African (1998-2002)",0,0,0,0,"  Zimbabwe, Harare: African (1998-2002)",0,0,0,0,"  Zimbabwe, Harare: African (1998-2002)",0,0,0,0,"  Zimbabwe, Harare: African (1998-2002)",0,0,0,0,"  Zimbabwe, Harare: African (1998-2002)",0,0,0,0,"  Zimbabwe, Harare: African (1998-2002)",0,0,0,0,"  Zimbabwe, Harare: African (1998-2002)",0,0,0,0,"  Zimbabwe, Harare: African (1998-2002)",1,0.4,0.4,0,"  Zimbabwe, Harare: African (1998-2002)",1,0.5,0.5,0,"  Zimbabwe, Harare: African (1998-2002)",0,0,0,0,"  Zimbabwe, Harare: African (1998-2002)",0,0,0,0,"  Zimbabwe, Harare: African (1998-2002)",1,1.1,1.1,0.01,"  Zimbabwe, Harare: African (1998-2002)",2,3.6,3.6,0.02,"  Zimbabwe, Harare: African (1998-2002)",2,3.3,3.3,0.02,"  Zimbabwe, Harare: African (1998-2002)",0,..,..,..,"  Zimbabwe, Harare: African (1998-2002)",2,..,..,..,"  Zimbabwe, Harare: African (1998-2002)",0,..,..,..,"  Zimbabwe, Harare: African (1998-2002)",0,..,..,..,
Africa,,75,2,4.3,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,1,0.2,0.2,0,,1,0.3,0.3,0,,3,1.5,1.5,0.01,,6,4.1,4.1,0.02,,7,3.6,3.6,0.03,,11,12.9,12.9,0.06,,12,15.2,15.2,0.08,,10,14.5,14.5,0.07,,8,23.8,23.8,0.12,,5,0,0,0,,6,0,0,0,,3,0,0,0,,2,0,0,0,
South America,"Argentina, Bahia Blanca (1998-2002)",16,2.3,1.9,..,"Argentina, Bahia Blanca (1998-2002)",0,0,0,0,"  Argentina, Bahia Blanca (1998-2002)",0,0,0,0,"Argentina, Bahia Blanca (1998-2002)",0,0,0,0,"Argentina, Bahia Blanca (1998-2002)",0,0,0,0,"Argentina, Bahia Blanca (1998-2002)",0,0,0,0,"Argentina, Bahia Blanca (1998-2002)",0,0,0,0,"Argentina, Bahia Blanca (1998-2002)",0,0,0,0,"Argentina, Bahia Blanca (1998-2002)",0,0,0,0,"Argentina, Bahia Blanca (1998-2002)",2,4.9,4.9,0.02,"Argentina, Bahia Blanca (1998-2002)",1,2.6,2.6,0.01,"Argentina, Bahia Blanca (1998-2002)",1,2.7,2.7,0.01,"Argentina, Bahia Blanca (1998-2002)",3,9.7,9.7,0.05,"Argentina, Bahia Blanca (1998-2002)",1,3.8,3.8,0.02,"Argentina, Bahia Blanca (1998-2002)",1,4.4,4.4,0.02,"Argentina, Bahia Blanca (1998-2002)",2,10.3,10.3,0.05,"Argentina, Bahia Blanca (1998-2002)",2,13.9,13.9,0.07,"Argentina, Bahia Blanca (1998-2002)",1,12.1,12.1,0.06,"Argentina, Bahia Blanca (1998-2002)",2,43.1,43.1,..,
South America,"  Brazil, Brasilia (1998-2001)",13,0.3,0.6,..,"  Brazil, Brasilia (1998-2001)",0,0,0,0,"  Brazil, Brasilia (1998-2001)",0,0,0,0,"  Brazil, Brasilia (1998-2001)",0,0,0,0,"  Brazil, Brasilia (1998-2001)",0,0,0,0,"  Brazil, Brasilia (1998-2001)",0,0,0,0,"  Brazil, Brasilia (1998-2001)",0,0,0,0,"  Brazil, Brasilia (1998-2001)",0,0,0,0,"  Brazil, Brasilia (1998-2001)",0,0,0,0,"  Brazil, Brasilia (1998-2001)",1,0.4,0.4,0,"  Brazil, Brasilia (1998-2001)",1,0.6,0.6,0,"  Brazil, Brasilia (1998-2001)",1,0.7,0.7,0,"  Brazil, Brasilia (1998-2001)",5,5.1,5.1,0.03,"  Brazil, Brasilia (1998-2001)",1,1.4,1.4,0.01,"  Brazil, Brasilia (1998-2001)",1,2.2,2.2,0.01,"  Brazil, Brasilia (1998-2001)",3,10.1,10.1,0.05,"  Brazil, Brasilia (1998-2001)",0,0,0,0,"  Brazil, Brasilia (1998-2001)",0,0,0,0,"  Brazil, Brasilia (1998-2001)",0,0,0,..,
South America,"  Brazil, Cuiaba (2000-2002)",1,0.1,0.1,..,"  Brazil, Cuiaba (2000-2002)",0,0,0,0,"  Brazil, Cuiaba (2000-2002)",0,0,0,0,"  Brazil, Cuiaba (2000-2002)",0,0,0,0,"  Brazil, Cuiaba (2000-2002)",0,0,0,0,"  Brazil, Cuiaba (2000-2002)",0,0,0,0,"  Brazil, Cuiaba (2000-2002)",0,0,0,0,"  Brazil, Cuiaba (2000-2002)",0,0,0,0,"  Brazil, Cuiaba (2000-2002)",0,0,0,0,"  Brazil, Cuiaba (2000-2002)",0,0,0,0,"  Brazil, Cuiaba (2000-2002)",1,1.9,1.9,0.01,"  Brazil, Cuiaba (2000-2002)",0,0,0,0,"  Brazil, Cuiaba (2000-2002)",0,0,0,0,"  Brazil, Cuiaba (2000-2002)",0,0,0,0,"  Brazil, Cuiaba (2000-2002)",0,0,0,0,"  Brazil, Cuiaba (2000-2002)",0,0,0,0,"  Brazil, Cuiaba (2000-2002)",0,0,0,0,"  Brazil, Cuiaba (2000-2002)",0,0,0,0,"  Brazil, Cuiaba (2000-2002)",0,0,0,..,
South America,"  Brazil, Goiania (1999-2002)",10,0.5,0.8,..,"  Brazil, Goiania (1999-2002)",0,0,0,0,"  Brazil, Goiania (1999-2002)",0,0,0,0,"  Brazil, Goiania (1999-2002)",0,0,0,0,"  Brazil, Goiania (1999-2002)",0,0,0,0,"  Brazil, Goiania (1999-2002)",0,0,0,0,"  Brazil, Goiania (1999-2002)",0,0,0,0,"  Brazil, Goiania (1999-2002)",0,0,0,0,"  Brazil, Goiania (1999-2002)",0,0,0,0,"  Brazil, Goiania (1999-2002)",1,0.7,0.8,0,"  Brazil, Goiania (1999-2002)",0,0,0,0,"  Brazil, Goiania (1999-2002)",2,2.4,2.6,0.01,"  Brazil, Goiania (1999-2002)",0,0,0,0,"  Brazil, Goiania (1999-2002)",2,4.3,4.8,0.02,"  Brazil, Goiania (1999-2002)",2,6.1,6.8,0.03,"  Brazil, Goiania (1999-2002)",1,4.4,4.9,0.02,"  Brazil, Goiania (1999-2002)",1,7.3,8.1,0.04,"  Brazil, Goiania (1999-2002)",0,..,..,..,"  Brazil, Goiania (1999-2002)",0,..,..,..,
