,Breast(C50)-Male age 0-85+,,,,,,age 0-4,,,,,age 5-9,,,,,age 10-14,,,,,age 15-19,,,,,age 20-24,,,,,age 25-29,,,,,age 30-34,,,,,age 35-39,,,,age 40-44,,,,,,age 45-49,,,,age 50-54,,,,,age 55-59,,,,,age 60-64,,,,,age 65-69,,,,,age 70-74,,,,,age 75-79,,,,,age 80-84,,,,,age 85+,,,,,
Continent,Population,Cases,Crude Rate,ASR (W),Cumulative Rate,Population,Cases,Crude Rate,ASR (W),Cumulative Rate,Population,Cases,Crude Rate,ASR (W),Cumulative Rate,Population,Cases,Crude Rate,ASR (W),Cumulative Rate,Population,Cases,Crude Rate,ASR (W),Cumulative Rate,Population,Cases,Crude Rate,ASR (W),Cumulative Rate,Population,Cases,Crude Rate,ASR (W),Cumulative Rate,Population,Cases,Crude Rate,ASR (W),Cumulative Rate,Population,Cases,Crude Rate,ASR (W),Cumulative Rate,Population,Cases,Crude Rate,ASR (W),Cumulative Rate,Population,Cases,Crude Rate,ASR (W),Cumulative Rate,Population,Cases,Crude Rate,ASR (W),Cumulative Rate,Population,Cases,Crude Rate,ASR (W),Cumulative Rate,Population,Cases,Crude Rate,ASR (W),Cumulative Rate,Population,Cases,Crude Rate,ASR (W),Cumulative Rate,Population,Cases,Crude Rate,ASR (W),Cumulative Rate,Population,Cases,Crude Rate,ASR (W),Cumulative Rate,Population,Cases,Crude Rate,ASR (W),Cumulative Rate,Population,Cases,Crude Rate,ASR (W),Cumulative Rate,https://ci5.iarc.fr/CI5I-X/Pages/table2_sel.aspx
South America,"Brazil, Fortaleza (1978-1982)",10,0.3,0.6,..,"Brazil, Fortaleza (1978-1982)",0,0,0,0,"Brazil, Fortaleza (1978-1982)",0,0,0,0,"Brazil, Fortaleza (1978-1982)",0,0,0,0,"Brazil, Fortaleza (1978-1982)",0,0,0,0,"Brazil, Fortaleza (1978-1982)",0,0,0,0,"Brazil, Fortaleza (1978-1982)",0,0,0,0,"Brazil, Fortaleza (1978-1982)",1,0.5,0.5,0,"Brazil, Fortaleza (1978-1982)",1,0.7,0.7,0,"Brazil, Fortaleza (1978-1982)",0,0,0,0,"Brazil, Fortaleza (1978-1982)",0,0,0,0,"Brazil, Fortaleza (1978-1982)",3,3.2,3.2,0.02,"Brazil, Fortaleza (1978-1982)",0,0,0,0,"Brazil, Fortaleza (1978-1982)",2,4,4,0.02,"Brazil, Fortaleza (1978-1982)",2,5,5,0.02,"  Brazil, Fortaleza (1978-1982)",1,4.2,4.2,0.02,"Brazil, Fortaleza (1978-1982)",0,0,0,0,"Brazil, Fortaleza (1978-1982)",0,0,0,0,"Brazil, Fortaleza (1978-1982)",0,0,0,..,
South America,"  Brazil, Pernambuco (Recife) (1980)",10,1.8,3.4,..,"  Brazil, Pernambuco (Recife) (1980)",0,0,0,0,"  Brazil, Pernambuco (Recife) (1980)",0,0,0,0,"  Brazil, Pernambuco (Recife) (1980)",0,0,0,0,"  Brazil, Pernambuco (Recife) (1980)",0,0,0,0,"  Brazil, Pernambuco (Recife) (1980)",0,0,0,0,"  Brazil, Pernambuco (Recife) (1980)",0,0,0,0,"  Brazil, Pernambuco (Recife) (1980)",0,0,0,0,"  Brazil, Pernambuco (Recife) (1980)",0,0,0,0,"  Brazil, Pernambuco (Recife) (1980)",1,3.9,4.9,0.02,"  Brazil, Pernambuco (Recife) (1980)",0,0,0,0,"  Brazil, Pernambuco (Recife) (1980)",0,0,0,0,"  Brazil, Pernambuco (Recife) (1980)",0,0,0,0,"  Brazil, Pernambuco (Recife) (1980)",1,8.6,10.8,0.05,"  Brazil, Pernambuco (Recife) (1980)",1,12,15,0.07,"  Brazil, Pernambuco (Recife) (1980)",1,20.5,25.6,0.13,"  Brazil, Pernambuco (Recife) (1980)",1,38.1,47.6,0.24,"  Brazil, Pernambuco (Recife) (1980)",3,..,..,..,"  Brazil, Pernambuco (Recife) (1980)",0,..,..,..,
South America,"  Brazil, Porto Alegre (1979-1982)",11,0.5,0.8,..,"  Brazil, Porto Alegre (1979-1982)",0,0,0,0,"  Brazil, Porto Alegre (1979-1982)",0,0,0,0,"  Brazil, Porto Alegre (1979-1982)",0,0,0,0,"  Brazil, Porto Alegre (1979-1982)",0,0,0,0,"  Brazil, Porto Alegre (1979-1982)",0,0,0,0,"  Brazil, Porto Alegre (1979-1982)",0,0,0,0,"  Brazil, Porto Alegre (1979-1982)",0,0,0,0,"  Brazil, Porto Alegre (1979-1982)",2,1.5,1.7,0.01,"  Brazil, Porto Alegre (1979-1982)",0,0,0,0,"  Brazil, Porto Alegre (1979-1982)",2,1.9,2.1,0.01,"  Brazil, Porto Alegre (1979-1982)",0,0,0,0,"  Brazil, Porto Alegre (1979-1982)",0,0,0,0,"  Brazil, Porto Alegre (1979-1982)",0,0,0,0,"  Brazil, Porto Alegre (1979-1982)",3,8.3,9.1,0.05,"  Brazil, Porto Alegre (1979-1982)",0,..,..,..,"  Brazil, Porto Alegre (1979-1982)",3,..,..,..,"  Brazil, Porto Alegre (1979-1982)",0,..,..,..,"  Brazil, Porto Alegre (1979-1982)",0,..,..,..,
South America,"  Brazil, Sao Paulo (1978)",18,0.5,0.8,..,"  Brazil, Sao Paulo (1978)",0,0,0,0,"  Brazil, Sao Paulo (1978)",0,0,0,0,"  Brazil, Sao Paulo (1978)",0,0,0,0,"  Brazil, Sao Paulo (1978)",0,0,0,0,"  Brazil, Sao Paulo (1978)",0,0,0,0,"  Brazil, Sao Paulo (1978)",0,0,0,0,"  Brazil, Sao Paulo (1978)",1,0.4,0.4,0,"  Brazil, Sao Paulo (1978)",2,0.9,1.1,0.01,"  Brazil, Sao Paulo (1978)",1,0.5,0.6,0,"  Brazil, Sao Paulo (1978)",0,0,0,0,"  Brazil, Sao Paulo (1978)",1,0.7,0.9,0,"  Brazil, Sao Paulo (1978)",2,1.9,2.3,0.01,"  Brazil, Sao Paulo (1978)",5,6.8,8.2,0.04,"  Brazil, Sao Paulo (1978)",1,1.8,2.2,0.01,"  Brazil, Sao Paulo (1978)",1,..,..,..,"  Brazil, Sao Paulo (1978)",0,..,..,..,"  Brazil, Sao Paulo (1978)",1,..,..,..,"  Brazil, Sao Paulo (1978)",0,..,..,..,
South America,"  Colombia, Cali (1977-1981)",1,0,0,..,"  Colombia, Cali (1977-1981)",0,0,0,0,"  Colombia, Cali (1977-1981)",0,0,0,0,"  Colombia, Cali (1977-1981)",0,0,0,0,"  Colombia, Cali (1977-1981)",0,0,0,0,"  Colombia, Cali (1977-1981)",0,0,0,0,"  Colombia, Cali (1977-1981)",0,0,0,0,"  Colombia, Cali (1977-1981)",0,0,0,0,"  Colombia, Cali (1977-1981)",0,0,0,0,"  Colombia, Cali (1977-1981)",0,0,0,0,"  Colombia, Cali (1977-1981)",0,0,0,0,"  Colombia, Cali (1977-1981)",0,0,0,0,"  Colombia, Cali (1977-1981)",0,0,0,0,"  Colombia, Cali (1977-1981)",0,0,0,0,"  Colombia, Cali (1977-1981)",0,0,0,0,"  Colombia, Cali (1977-1981)",0,0,0,0,"  Colombia, Cali (1977-1981)",0,0,0,0,"  Colombia, Cali (1977-1981)",0,0,0,0,"  Colombia, Cali (1977-1981)",0,0,0,..,
South America,  Costa Rica (1980-1982),2,0.1,0.1,..,  Costa Rica (1980-1982),0,0,0,0,  Costa Rica (1980-1982),0,0,0,0,  Costa Rica (1980-1982),0,0,0,0,  Costa Rica (1980-1982),0,0,0,0,  Costa Rica (1980-1982),0,0,0,0,  Costa Rica (1980-1982),0,0,0,0,  Costa Rica (1980-1982),0,0,0,0,  Costa Rica (1980-1982),0,0,0,0,  Costa Rica (1980-1982),0,0,0,0,  Costa Rica (1980-1982),0,0,0,0,  Costa Rica (1980-1982),0,0,0,0,  Costa Rica (1980-1982),0,0,0,0,  Costa Rica (1980-1982),0,0,0,0,  Costa Rica (1980-1982),1,2.1,2.1,0.01,  Costa Rica (1980-1982),1,3.1,3.1,0.02,  Costa Rica (1980-1982),0,0,0,0,  Costa Rica (1980-1982),0,0,0,0,  Costa Rica (1980-1982),0,0,0,..,
South America,"  France, Martinique (1981-1982)",1,0.3,0.3,..,"  France, Martinique (1981-1982)",0,0,0,0,"  France, Martinique (1981-1982)",0,0,0,0,"  France, Martinique (1981-1982)",0,0,0,0,"  France, Martinique (1981-1982)",0,0,0,0,"  France, Martinique (1981-1982)",0,0,0,0,"  France, Martinique (1981-1982)",0,0,0,0,"  France, Martinique (1981-1982)",0,0,0,0,"  France, Martinique (1981-1982)",0,0,0,0,"  France, Martinique (1981-1982)",0,0,0,0,"  France, Martinique (1981-1982)",0,0,0,0,"  France, Martinique (1981-1982)",0,0,0,0,"  France, Martinique (1981-1982)",1,8.3,8.3,0.04,"  France, Martinique (1981-1982)",0,0,0,0,"  France, Martinique (1981-1982)",0,0,0,0,"  France, Martinique (1981-1982)",0,0,0,0,"  France, Martinique (1981-1982)",0,0,0,0,"  France, Martinique (1981-1982)",0,0,0,0,"  France, Martinique (1981-1982)",0,0,0,..,
South America,"  Netherlands, Antilles (1978-1982)",1,0.2,0.2,..,"  Netherlands, Antilles (1978-1982)",0,0,0,0,"  Netherlands, Antilles (1978-1982)",0,0,0,0,"  Netherlands, Antilles (1978-1982)",0,0,0,0,"  Netherlands, Antilles (1978-1982)",0,0,0,0,"  Netherlands, Antilles (1978-1982)",0,0,0,0,"  Netherlands, Antilles (1978-1982)",0,0,0,0,"  Netherlands, Antilles (1978-1982)",0,0,0,0,"  Netherlands, Antilles (1978-1982)",0,0,0,0,"  Netherlands, Antilles (1978-1982)",0,0,0,0,"  Netherlands, Antilles (1978-1982)",0,0,0,0,"  Netherlands, Antilles (1978-1982)",0,0,0,0,"  Netherlands, Antilles (1978-1982)",0,0,0,0,"  Netherlands, Antilles (1978-1982)",0,0,0,0,"  Netherlands, Antilles (1978-1982)",0,0,0,0,"  Netherlands, Antilles (1978-1982)",0,0,0,0,"  Netherlands, Antilles (1978-1982)",0,0,0,0,"  Netherlands, Antilles (1978-1982)",1,44.8,44.8,0.22,"  Netherlands, Antilles (1978-1982)",0,0,0,..,
South America,"  USA, Puerto Rico (1978-1982)",21,0.3,0.3,..,"  USA, Puerto Rico (1978-1982)",0,0,0,0,"  USA, Puerto Rico (1978-1982)",0,0,0,0,"  USA, Puerto Rico (1978-1982)",0,0,0,0,"  USA, Puerto Rico (1978-1982)",0,0,0,0,"  USA, Puerto Rico (1978-1982)",0,0,0,0,"  USA, Puerto Rico (1978-1982)",0,0,0,0,"  USA, Puerto Rico (1978-1982)",0,0,0,0,"  USA, Puerto Rico (1978-1982)",1,0.2,0.2,0,"  USA, Puerto Rico (1978-1982)",0,0,0,0,"  USA, Puerto Rico (1978-1982)",1,0.3,0.3,0,"  USA, Puerto Rico (1978-1982)",2,0.7,0.7,0,"  USA, Puerto Rico (1978-1982)",4,1.4,1.4,0.01,"  USA, Puerto Rico (1978-1982)",1,0.4,0.4,0,"  USA, Puerto Rico (1978-1982)",2,0.9,0.9,0,"  USA, Puerto Rico (1978-1982)",4,2.5,2.5,0.01,"  USA, Puerto Rico (1978-1982)",2,1.8,1.8,0.01,"  USA, Puerto Rico (1978-1982)",2,3.6,3.6,0.02,"  USA, Puerto Rico (1978-1982)",2,4.2,4.2,..,
