,Breast(C50)-Male age 0-85+,,,,,,age 0-4,,,,,age 5-9,,,,,age 10-14,,,,,age 15-19,,,,,age 20-24,,,,,age 25-29,,,,,age 30-34,,,,,age 35-39,,,,age 40-44,,,,,,age 45-49,,,,age 50-54,,,,,age 55-59,,,,,age 60-64,,,,,age 65-69,,,,,age 70-74,,,,,age 75-79,,,,,age 80-84,,,,,age 85+,,,,,
Continent,Population,Cases,Crude Rate,ASR (W),Cumulative Rate,Population,Cases,Crude Rate,ASR (W),Cumulative Rate,Population,Cases,Crude Rate,ASR (W),Cumulative Rate,Population,Cases,Crude Rate,ASR (W),Cumulative Rate,Population,Cases,Crude Rate,ASR (W),Cumulative Rate,Population,Cases,Crude Rate,ASR (W),Cumulative Rate,Population,Cases,Crude Rate,ASR (W),Cumulative Rate,Population,Cases,Crude Rate,ASR (W),Cumulative Rate,Population,Cases,Crude Rate,ASR (W),Cumulative Rate,Population,Cases,Crude Rate,ASR (W),Cumulative Rate,Population,Cases,Crude Rate,ASR (W),Cumulative Rate,Population,Cases,Crude Rate,ASR (W),Cumulative Rate,Population,Cases,Crude Rate,ASR (W),Cumulative Rate,Population,Cases,Crude Rate,ASR (W),Cumulative Rate,Population,Cases,Crude Rate,ASR (W),Cumulative Rate,Population,Cases,Crude Rate,ASR (W),Cumulative Rate,Population,Cases,Crude Rate,ASR (W),Cumulative Rate,Population,Cases,Crude Rate,ASR (W),Cumulative Rate,Population,Cases,Crude Rate,ASR (W),Cumulative Rate,https://ci5.iarc.fr/CI5I-X/Pages/table2_sel.aspx
Africa,"Algeria, Setif Wilaya (1986-1989)",8,0.4,0.8,..,"Algeria, Setif Wilaya (1986-1989)",0,0,0,0,"  Algeria, Setif Wilaya (1986-1989)",0,0,0,0,"Algeria, Setif Wilaya (1986-1989)",0,0,0,0,"Algeria, Setif Wilaya (1986-1989)",0,0,0,0,"Algeria, Setif Wilaya (1986-1989)",0,0,0,0,"Algeria, Setif Wilaya (1986-1989)",0,0,0,0,"Algeria, Setif Wilaya (1986-1989)",0,0,0,0,"Algeria, Setif Wilaya (1986-1989)",2,3.1,3.1,0.02,"Algeria, Setif Wilaya (1986-1989)",0,0,0,0,"Algeria, Setif Wilaya (1986-1989)",0,0,0,0,"Algeria, Setif Wilaya (1986-1989)",1,2.1,2.1,0.01,"Algeria, Setif Wilaya (1986-1989)",1,2.4,2.4,0.01,"Algeria, Setif Wilaya (1986-1989)",1,..,..,..,"  Algeria, Setif Wilaya (1986-1989)",2,..,..,..,"Algeria, Setif Wilaya (1986-1989)",0,..,..,..,"Algeria, Setif Wilaya (1986-1989)",1,..,..,..,"Algeria, Setif Wilaya (1986-1989)",0,..,..,..,"Algeria, Setif Wilaya (1986-1989)",0,..,..,..,
Africa,"  Mali, Bamako (1987-1989)",3,0.3,0.8,..,"  Mali, Bamako (1987-1989)",0,0,0,0,"  Mali, Bamako (1987-1989)",0,0,0,0,"  Mali, Bamako (1987-1989)",0,0,0,0,"  Mali, Bamako (1987-1989)",0,0,0,0,"  Mali, Bamako (1987-1989)",0,0,0,0,"  Mali, Bamako (1987-1989)",0,0,0,0,"  Mali, Bamako (1987-1989)",0,0,0,0,"  Mali, Bamako (1987-1989)",0,0,0,0,"  Mali, Bamako (1987-1989)",0,0,0,0,"  Mali, Bamako (1987-1989)",0,0,0,0,"  Mali, Bamako (1987-1989)",1,3.8,3.8,0.02,"  Mali, Bamako (1987-1989)",0,0,0,0,"  Mali, Bamako (1987-1989)",0,0,0,0,"  Mali, Bamako (1987-1989)",1,11,11,0.05,"  Mali, Bamako (1987-1989)",0,0,0,0,"  Mali, Bamako (1987-1989)",0,0,0,0,"  Mali, Bamako (1987-1989)",1,..,..,..,"  Mali, Bamako (1987-1989)",0,..,..,..,
Africa,  The Gambia (1987-1989),0,0,0,..,  The Gambia (1987-1989),0,0,0,0,  The Gambia (1987-1989),0,0,0,0,  The Gambia (1987-1989),0,0,0,0,  The Gambia (1987-1989),0,0,0,0,  The Gambia (1987-1989),0,0,0,0,  The Gambia (1987-1989),0,0,0,0,  The Gambia (1987-1989),0,0,0,0,  The Gambia (1987-1989),0,0,0,0,  The Gambia (1987-1989),0,0,0,0,  The Gambia (1987-1989),0,0,0,0,  The Gambia (1987-1989),0,0,0,0,  The Gambia (1987-1989),0,0,0,0,  The Gambia (1987-1989),0,0,0,0,  The Gambia (1987-1989),0,..,..,..,  The Gambia (1987-1989),0,..,..,..,  The Gambia (1987-1989),0,..,..,..,  The Gambia (1987-1989),0,..,..,..,  The Gambia (1987-1989),0,..,..,..,
Africa,,11,0.7,1.6,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,2,3.1,3.1,0.02,,0,0,0,0,,0,0,0,0,,2,5.9,5.9,0.03,,1,2.4,2.4,0.01,,1,0,0,0,,3,11,11,0.05,,0,0,0,0,,1,0,0,0,,1,0,0,0,,0,0,0,0,
South America,"Brazil, Goiania (1988-1989)",2,0.2,0.4,..,"Brazil, Goiania (1988-1989)",0,0,0,0,"  Brazil, Goiania (1988-1989)",0,0,0,0,"Brazil, Goiania (1988-1989)",0,0,0,0,"Brazil, Goiania (1988-1989)",0,0,0,0,"Brazil, Goiania (1988-1989)",0,0,0,0,"  Brazil, Goiania (1988-1989)",0,0,0,0,"  Brazil, Goiania (1988-1989)",0,0,0,0,"Brazil, Goiania (1988-1989)",1,1.8,1.8,0.01,"Brazil, Goiania (1988-1989)",0,0,0,0,"  Brazil, Goiania (1988-1989)",0,0,0,0,"Brazil, Goiania (1988-1989)",0,0,0,0,"Brazil, Goiania (1988-1989)",0,0,0,0,"Brazil, Goiania (1988-1989)",0,0,0,0,"Brazil, Goiania (1988-1989)",0,0,0,0,"  Brazil, Goiania (1988-1989)",0,0,0,0,"Brazil, Goiania (1988-1989)",0,0,0,0,"Brazil, Goiania (1988-1989)",1,63.9,63.9,0.32,"Brazil, Goiania (1988-1989)",0,0,0,..,
South America,"  Brazil, Porto Alegre (1987)",1,0.2,0.2,..,"  Brazil, Porto Alegre (1987)",0,0,0,0,"  Brazil, Porto Alegre (1987)",0,0,0,0,"  Brazil, Porto Alegre (1987)",0,0,0,0,"  Brazil, Porto Alegre (1987)",0,0,0,0,"  Brazil, Porto Alegre (1987)",0,0,0,0,"  Brazil, Porto Alegre (1987)",0,0,0,0,"  Brazil, Porto Alegre (1987)",0,0,0,0,"  Brazil, Porto Alegre (1987)",0,0,0,0,"  Brazil, Porto Alegre (1987)",0,0,0,0,"  Brazil, Porto Alegre (1987)",1,3.5,3.5,0.02,"  Brazil, Porto Alegre (1987)",0,0,0,0,"  Brazil, Porto Alegre (1987)",0,0,0,0,"  Brazil, Porto Alegre (1987)",0,0,0,0,"  Brazil, Porto Alegre (1987)",0,0,0,0,"  Brazil, Porto Alegre (1987)",0,0,0,0,"  Brazil, Porto Alegre (1987)",0,..,..,..,"  Brazil, Porto Alegre (1987)",0,..,..,..,"  Brazil, Porto Alegre (1987)",0,..,..,..,
South America,"  Colombia, Cali (1982-1986)",7,0.2,0.4,..,"  Colombia, Cali (1982-1986)",0,0,0,0,"  Colombia, Cali (1982-1986)",0,0,0,0,"  Colombia, Cali (1982-1986)",0,0,0,0,"  Colombia, Cali (1982-1986)",0,0,0,0,"  Colombia, Cali (1982-1986)",0,0,0,0,"  Colombia, Cali (1982-1986)",0,0,0,0,"  Colombia, Cali (1982-1986)",0,0,0,0,"  Colombia, Cali (1982-1986)",0,0,0,0,"  Colombia, Cali (1982-1986)",0,0,0,0,"  Colombia, Cali (1982-1986)",1,0.8,0.8,0,"  Colombia, Cali (1982-1986)",1,0.9,0.9,0,"  Colombia, Cali (1982-1986)",0,0,0,0,"  Colombia, Cali (1982-1986)",1,1.5,1.5,0.01,"  Colombia, Cali (1982-1986)",1,2.3,2.3,0.01,"  Colombia, Cali (1982-1986)",1,3.2,3.2,0.02,"  Colombia, Cali (1982-1986)",1,5.1,5.1,0.03,"  Colombia, Cali (1982-1986)",0,0,0,0,"  Colombia, Cali (1982-1986)",1,13.6,13.6,..,
South America,  Costa Rica (1984-1987),12,0.2,0.4,..,  Costa Rica (1984-1987),0,0,0,0,  Costa Rica (1984-1987),0,0,0,0,  Costa Rica (1984-1987),0,0,0,0,  Costa Rica (1984-1987),0,0,0,0,  Costa Rica (1984-1987),0,0,0,0,  Costa Rica (1984-1987),0,0,0,0,  Costa Rica (1984-1987),0,0,0,0,  Costa Rica (1984-1987),1,0.3,0.3,0,  Costa Rica (1984-1987),0,0,0,0,  Costa Rica (1984-1987),0,0,0,0,  Costa Rica (1984-1987),1,0.6,0.6,0,  Costa Rica (1984-1987),0,0,0,0,  Costa Rica (1984-1987),2,1.9,1.9,0.01,  Costa Rica (1984-1987),4,5,5,0.02,  Costa Rica (1984-1987),1,1.8,1.8,0.01,  Costa Rica (1984-1987),2,5.9,5.9,0.03,  Costa Rica (1984-1987),1,..,..,..,  Costa Rica (1984-1987),0,..,..,..,
South America,  Cuba (1986),12,0.2,0.2,..,  Cuba (1986),0,0,0,0,  Cuba (1986),0,0,0,0,  Cuba (1986),1,0.2,0.2,0,  Cuba (1986),0,0,0,0,  Cuba (1986),0,0,0,0,  Cuba (1986),0,0,0,0,  Cuba (1986),1,0.3,0.3,0,  Cuba (1986),0,0,0,0,  Cuba (1986),2,0.6,0.7,0,  Cuba (1986),1,0.4,0.4,0,  Cuba (1986),0,0,0,0,  Cuba (1986),0,0,0,0,  Cuba (1986),2,1.2,1.4,0.01,  Cuba (1986),2,1.3,1.4,0.01,  Cuba (1986),0,0,0,0,  Cuba (1986),1,1.1,1.2,0.01,  Cuba (1986),0,0,0,0,  Cuba (1986),1,3.6,3.9,..,
