,Breast(C50)-Male age 0-85+,,,,,,age 0-4,,,,,age 5-9,,,,,age 10-14,,,,,age 15-19,,,,,age 20-24,,,,,age 25-29,,,,,age 30-34,,,,,age 35-39,,,,age 40-44,,,,,,age 45-49,,,,age 50-54,,,,,age 55-59,,,,,age 60-64,,,,,age 65-69,,,,,age 70-74,,,,,age 75-79,,,,,age 80-84,,,,,age 85+,,,,,
Continent,Population,Cases,Crude Rate,ASR (W),Cumulative Rate,Population,Cases,Crude Rate,ASR (W),Cumulative Rate,Population,Cases,Crude Rate,ASR (W),Cumulative Rate,Population,Cases,Crude Rate,ASR (W),Cumulative Rate,Population,Cases,Crude Rate,ASR (W),Cumulative Rate,Population,Cases,Crude Rate,ASR (W),Cumulative Rate,Population,Cases,Crude Rate,ASR (W),Cumulative Rate,Population,Cases,Crude Rate,ASR (W),Cumulative Rate,Population,Cases,Crude Rate,ASR (W),Cumulative Rate,Population,Cases,Crude Rate,ASR (W),Cumulative Rate,Population,Cases,Crude Rate,ASR (W),Cumulative Rate,Population,Cases,Crude Rate,ASR (W),Cumulative Rate,Population,Cases,Crude Rate,ASR (W),Cumulative Rate,Population,Cases,Crude Rate,ASR (W),Cumulative Rate,Population,Cases,Crude Rate,ASR (W),Cumulative Rate,Population,Cases,Crude Rate,ASR (W),Cumulative Rate,Population,Cases,Crude Rate,ASR (W),Cumulative Rate,Population,Cases,Crude Rate,ASR (W),Cumulative Rate,Population,Cases,Crude Rate,ASR (W),Cumulative Rate,https://ci5.iarc.fr/CI5I-X/Pages/table2_sel.aspx
Africa,"Algeria, Setif Wilaya (1990-1993)",2,0.1,0.3,..,"Algeria, Setif Wilaya (1990-1993)",0,0,0,0,"Algeria, Setif Wilaya (1990-1993)",0,0,0,0,"Algeria, Setif Wilaya (1990-1993)",0,0,0,0,"Algeria, Setif Wilaya (1990-1993)",0,0,0,0,"Algeria, Setif Wilaya (1990-1993)",0,0,0,0,"  Algeria, Setif Wilaya (1990-1993)",0,0,0,0,"Algeria, Setif Wilaya (1990-1993)",0,0,0,0,"Algeria, Setif Wilaya (1990-1993)",0,0,0,0,"  Algeria, Setif Wilaya (1990-1993)",0,0,0,0,"Algeria, Setif Wilaya (1990-1993)",0,0,0,0,"Algeria, Setif Wilaya (1990-1993)",0,0,0,0,"  Algeria, Setif Wilaya (1990-1993)",0,0,0,0,"Algeria, Setif Wilaya (1990-1993)",0,..,..,..,"Algeria, Setif Wilaya (1990-1993)",1,..,..,..,"Algeria, Setif Wilaya (1990-1993)",0,..,..,..,"  Algeria, Setif Wilaya (1990-1993)",0,..,..,..,"Algeria, Setif Wilaya (1990-1993)",1,..,..,..,"Algeria, Setif Wilaya (1990-1993)",0,..,..,..,
Africa,"  France, La Reunion (1988-1992)",5,0.3,0.5,..,"  France, La Reunion (1988-1992)",0,0,0,0,"  France, La Reunion (1988-1992)",0,0,0,0,"  France, La Reunion (1988-1992)",0,0,0,0,"  France, La Reunion (1988-1992)",0,0,0,0,"  France, La Reunion (1988-1992)",0,0,0,0,"  France, La Reunion (1988-1992)",0,0,0,0,"  France, La Reunion (1988-1992)",0,0,0,0,"  France, La Reunion (1988-1992)",0,0,0,0,"  France, La Reunion (1988-1992)",0,0,0,0,"  France, La Reunion (1988-1992)",0,0,0,0,"  France, La Reunion (1988-1992)",0,0,0,0,"  France, La Reunion (1988-1992)",3,6.5,6.5,0.03,"  France, La Reunion (1988-1992)",0,0,0,0,"  France, La Reunion (1988-1992)",0,0,0,0,"  France, La Reunion (1988-1992)",1,..,..,..,"  France, La Reunion (1988-1992)",1,..,..,..,"  France, La Reunion (1988-1992)",0,..,..,..,"  France, La Reunion (1988-1992)",0,..,..,..,
Africa,"  Mali, Bamako (1988-1992)",3,0.2,0.5,..,"  Mali, Bamako (1988-1992)",0,0,0,0,"  Mali, Bamako (1988-1992)",0,0,0,0,"  Mali, Bamako (1988-1992)",0,0,0,0,"  Mali, Bamako (1988-1992)",0,0,0,0,"  Mali, Bamako (1988-1992)",0,0,0,0,"  Mali, Bamako (1988-1992)",0,0,0,0,"  Mali, Bamako (1988-1992)",0,0,0,0,"  Mali, Bamako (1988-1992)",0,0,0,0,"  Mali, Bamako (1988-1992)",0,0,0,0,"  Mali, Bamako (1988-1992)",0,0,0,0,"  Mali, Bamako (1988-1992)",1,2.1,2.1,0.01,"  Mali, Bamako (1988-1992)",0,0,0,0,"  Mali, Bamako (1988-1992)",1,4.6,4.6,0.02,"  Mali, Bamako (1988-1992)",1,5.8,5.8,0.03,"  Mali, Bamako (1988-1992)",0,..,..,..,"  Mali, Bamako (1988-1992)",0,..,..,..,"  Mali, Bamako (1988-1992)",0,..,..,..,"  Mali, Bamako (1988-1992)",0,..,..,..,
Africa,"  Uganda, Kyadondo County (1991-1993)",6,0.4,1.4,..,"  Uganda, Kyadondo County (1991-1993)",0,0,0,0,"  Uganda, Kyadondo County (1991-1993)",0,0,0,0,"  Uganda, Kyadondo County (1991-1993)",0,0,0,0,"  Uganda, Kyadondo County (1991-1993)",0,0,0,0,"  Uganda, Kyadondo County (1991-1993)",0,0,0,0,"  Uganda, Kyadondo County (1991-1993)",0,0,0,0,"  Uganda, Kyadondo County (1991-1993)",1,0.8,1,0,"  Uganda, Kyadondo County (1991-1993)",0,0,0,0,"  Uganda, Kyadondo County (1991-1993)",0,0,0,0,"  Uganda, Kyadondo County (1991-1993)",1,2.9,3.5,0.02,"  Uganda, Kyadondo County (1991-1993)",0,0,0,0,"  Uganda, Kyadondo County (1991-1993)",2,14.6,17.5,0.09,"  Uganda, Kyadondo County (1991-1993)",1,8.8,10.6,0.05,"  Uganda, Kyadondo County (1991-1993)",0,0,0,0,"  Uganda, Kyadondo County (1991-1993)",0,..,..,..,"  Uganda, Kyadondo County (1991-1993)",0,..,..,..,"  Uganda, Kyadondo County (1991-1993)",0,..,..,..,"  Uganda, Kyadondo County (1991-1993)",0,..,..,..,
Africa,"  Zimbabwe, Harare: African (1990-1992)",5,0.3,0.5,..,"  Zimbabwe, Harare: African (1990-1992)",0,0,0,0,"  Zimbabwe, Harare: African (1990-1992)",0,0,0,0,"  Zimbabwe, Harare: African (1990-1992)",0,0,0,0,"  Zimbabwe, Harare: African (1990-1992)",0,0,0,0,"  Zimbabwe, Harare: African (1990-1992)",0,0,0,0,"  Zimbabwe, Harare: African (1990-1992)",0,0,0,0,"  Zimbabwe, Harare: African (1990-1992)",0,0,0,0,"  Zimbabwe, Harare: African (1990-1992)",0,0,0,0,"  Zimbabwe, Harare: African (1990-1992)",1,1.2,1.2,0.01,"  Zimbabwe, Harare: African (1990-1992)",1,1.6,1.6,0.01,"  Zimbabwe, Harare: African (1990-1992)",2,4,4,0.02,"  Zimbabwe, Harare: African (1990-1992)",0,0,0,0,"  Zimbabwe, Harare: African (1990-1992)",1,4.1,4.1,0.02,"  Zimbabwe, Harare: African (1990-1992)",0,0,0,0,"  Zimbabwe, Harare: African (1990-1992)",0,..,..,..,"  Zimbabwe, Harare: African (1990-1992)",0,..,..,..,"  Zimbabwe, Harare: African (1990-1992)",0,..,..,..,"  Zimbabwe, Harare: African (1990-1992)",0,..,..,..,
Africa,"  Zimbabwe, Harare: European (1990-1992)",0,0,0,..,"  Zimbabwe, Harare: European (1990-1992)",0,0,0,0,"  Zimbabwe, Harare: European (1990-1992)",0,0,0,0,"  Zimbabwe, Harare: European (1990-1992)",0,0,0,0,"  Zimbabwe, Harare: European (1990-1992)",0,0,0,0,"  Zimbabwe, Harare: European (1990-1992)",0,0,0,0,"  Zimbabwe, Harare: European (1990-1992)",0,0,0,0,"  Zimbabwe, Harare: European (1990-1992)",0,0,0,0,"  Zimbabwe, Harare: European (1990-1992)",0,0,0,0,"  Zimbabwe, Harare: European (1990-1992)",0,0,0,0,"  Zimbabwe, Harare: European (1990-1992)",0,0,0,0,"  Zimbabwe, Harare: European (1990-1992)",0,0,0,0,"  Zimbabwe, Harare: European (1990-1992)",0,0,0,0,"  Zimbabwe, Harare: European (1990-1992)",0,0,0,0,"  Zimbabwe, Harare: European (1990-1992)",0,0,0,0,"  Zimbabwe, Harare: European (1990-1992)",0,..,..,..,"  Zimbabwe, Harare: European (1990-1992)",0,..,..,..,"  Zimbabwe, Harare: European (1990-1992)",0,..,..,..,"  Zimbabwe, Harare: European (1990-1992)",0,..,..,..,
Africa,,21,1.3,3.2,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,1,0.8,1,0,,0,0,0,0,,1,1.2,1.2,0.01,,2,4.5,5.1,0.03,,3,6.1,6.1,0.03,,5,21.1,24,0.12,,3,17.5,19.3,0.09,,2,5.8,5.8,0.03,,1,0,0,0,,1,0,0,0,,1,0,0,0,,0,0,0,0,
South America,"Argentina, Concordia (1990-1994)",1,0.3,0.4,..,"Argentina, Concordia (1990-1994)",0,0,0,0,"Argentina, Concordia (1990-1994)",0,0,0,0,"Argentina, Concordia (1990-1994)",0,0,0,0,"Argentina, Concordia (1990-1994)",0,0,0,0,"Argentina, Concordia (1990-1994)",0,0,0,0,"Argentina, Concordia (1990-1994)",0,0,0,0,"Argentina, Concordia (1990-1994)",0,0,0,0,"Argentina, Concordia (1990-1994)",0,0,0,0,"Argentina, Concordia (1990-1994)",0,0,0,0,"Argentina, Concordia (1990-1994)",0,0,0,0,"Argentina, Concordia (1990-1994)",1,7.3,7.3,0.04,"Argentina, Concordia (1990-1994)",0,0,0,0,"Argentina, Concordia (1990-1994)",0,0,0,0,"Argentina, Concordia (1990-1994)",0,0,0,0,"Argentina, Concordia (1990-1994)",0,0,0,0,"  Argentina, Concordia (1990-1994)",0,0,0,0,"Argentina, Concordia (1990-1994)",0,0,0,0,"Argentina, Concordia (1990-1994)",0,0,0,..,
South America,"  Brazil, Belem (1989-1991)",7,0.4,0.8,..,"  Brazil, Belem (1989-1991)",0,0,0,0,"  Brazil, Belem (1989-1991)",0,0,0,0,"  Brazil, Belem (1989-1991)",0,0,0,0,"  Brazil, Belem (1989-1991)",0,0,0,0,"  Brazil, Belem (1989-1991)",0,0,0,0,"  Brazil, Belem (1989-1991)",0,0,0,0,"  Brazil, Belem (1989-1991)",0,0,0,0,"  Brazil, Belem (1989-1991)",0,0,0,0,"  Brazil, Belem (1989-1991)",0,0,0,0,"  Brazil, Belem (1989-1991)",1,1.4,1.4,0.01,"  Brazil, Belem (1989-1991)",2,3.6,3.6,0.02,"  Brazil, Belem (1989-1991)",1,2.5,2.5,0.01,"  Brazil, Belem (1989-1991)",0,0,0,0,"  Brazil, Belem (1989-1991)",0,0,0,0,"  Brazil, Belem (1989-1991)",2,14.1,14.1,0.07,"  Brazil, Belem (1989-1991)",0,0,0,0,"  Brazil, Belem (1989-1991)",1,22.3,22.3,0.11,"  Brazil, Belem (1989-1991)",0,0,0,..,
