,Breast(C50)-Female age 0-85+,,,,,,age 0-4,,,,,age 5-9,,,,,age 10-14,,,,,age 15-19,,,,,age 20-24,,,,,age 25-29,,,,,age 30-34,,,,,age 35-39,,,,age 40-44,,,,,,age 45-49,,,,age 50-54,,,,,age 55-59,,,,,age 60-64,,,,,age 65-69,,,,,age 70-74,,,,,age 75-79,,,,,age 80-84,,,,,age 85+,,,,,
Continent,Population,Cases,Crude Rate,ASR (W),Cumulative Rate,Population,Cases,Crude Rate,ASR (W),Cumulative Rate,Population,Cases,Crude Rate,ASR (W),Cumulative Rate,Population,Cases,Crude Rate,ASR (W),Cumulative Rate,Population,Cases,Crude Rate,ASR (W),Cumulative Rate,Population,Cases,Crude Rate,ASR (W),Cumulative Rate,Population,Cases,Crude Rate,ASR (W),Cumulative Rate,Population,Cases,Crude Rate,ASR (W),Cumulative Rate,Population,Cases,Crude Rate,ASR (W),Cumulative Rate,Population,Cases,Crude Rate,ASR (W),Cumulative Rate,Population,Cases,Crude Rate,ASR (W),Cumulative Rate,Population,Cases,Crude Rate,ASR (W),Cumulative Rate,Population,Cases,Crude Rate,ASR (W),Cumulative Rate,Population,Cases,Crude Rate,ASR (W),Cumulative Rate,Population,Cases,Crude Rate,ASR (W),Cumulative Rate,Population,Cases,Crude Rate,ASR (W),Cumulative Rate,Population,Cases,Crude Rate,ASR (W),Cumulative Rate,Population,Cases,Crude Rate,ASR (W),Cumulative Rate,Population,Cases,Crude Rate,ASR (W),Cumulative Rate,https://ci5.iarc.fr/CI5I-X/Pages/table2_sel.aspx
Africa,"Algeria, Algiers (1993-1997)",26,0.5,0.7,..,"Algeria, Algiers (1993-1997)",0,0,0,0,"Algeria, Algiers (1993-1997)",0,0,0,0,"Algeria, Algiers (1993-1997)",0,0,0,0,"Algeria, Algiers (1993-1997)",0,0,0,0,"Algeria, Algiers (1993-1997)",0,0,0,0,"Algeria, Algiers (1993-1997)",0,0,0,0,"Algeria, Algiers (1993-1997)",1,0.2,0.2,0,"Algeria, Algiers (1993-1997)",2,0.6,0.6,0,"Algeria, Algiers (1993-1997)",1,0.4,0.4,0,"Algeria, Algiers (1993-1997)",2,0.8,0.9,0,"Algeria, Algiers (1993-1997)",3,1.7,1.8,0.01,"Algeria, Algiers (1993-1997)",3,1.8,1.9,0.01,"Algeria, Algiers (1993-1997)",5,3.8,4,0.02,"Algeria, Algiers (1993-1997)",2,2,2,0.01,"Algeria, Algiers (1993-1997)",3,4.6,4.8,0.02,"Algeria, Algiers (1993-1997)",3,..,..,..,"Algeria, Algiers (1993-1997)",0,..,..,..,"Algeria, Algiers (1993-1997)",0,..,..,..,
Africa,"  France, La Reunion (1993-1994)",5,0.8,1.1,..,"  France, La Reunion (1993-1994)",0,0,0,0,"  France, La Reunion (1993-1994)",0,0,0,0,"  France, La Reunion (1993-1994)",0,0,0,0,"  France, La Reunion (1993-1994)",0,0,0,0,"  France, La Reunion (1993-1994)",0,0,0,0,"  France, La Reunion (1993-1994)",0,0,0,0,"  France, La Reunion (1993-1994)",0,0,0,0,"  France, La Reunion (1993-1994)",0,0,0,0,"  France, La Reunion (1993-1994)",0,0,0,0,"  France, La Reunion (1993-1994)",0,0,0,0,"  France, La Reunion (1993-1994)",0,0,0,0,"  France, La Reunion (1993-1994)",2,9.6,9.6,0.05,"  France, La Reunion (1993-1994)",1,5.7,5.7,0.03,"  France, La Reunion (1993-1994)",1,7.7,7.7,0.04,"  France, La Reunion (1993-1994)",1,11.4,11.4,0.06,"  France, La Reunion (1993-1994)",0,0,0,0,"  France, La Reunion (1993-1994)",0,..,..,..,"  France, La Reunion (1993-1994)",0,..,..,..,
Africa,"  Mali, Bamako (1994-1996)",5,0.4,0.8,..,"  Mali, Bamako (1994-1996)",0,0,0,0,"  Mali, Bamako (1994-1996)",0,0,0,0,"  Mali, Bamako (1994-1996)",0,0,0,0,"  Mali, Bamako (1994-1996)",0,0,0,0,"  Mali, Bamako (1994-1996)",0,0,0,0,"  Mali, Bamako (1994-1996)",0,0,0,0,"  Mali, Bamako (1994-1996)",1,1.1,1.1,0.01,"  Mali, Bamako (1994-1996)",0,0,0,0,"  Mali, Bamako (1994-1996)",1,1.8,1.8,0.01,"  Mali, Bamako (1994-1996)",1,2.4,2.4,0.01,"  Mali, Bamako (1994-1996)",1,3.2,3.2,0.02,"  Mali, Bamako (1994-1996)",0,0,0,0,"  Mali, Bamako (1994-1996)",0,0,0,0,"  Mali, Bamako (1994-1996)",1,9.4,9.4,0.05,"  Mali, Bamako (1994-1996)",0,0,0,0,"  Mali, Bamako (1994-1996)",0,..,..,..,"  Mali, Bamako (1994-1996)",0,..,..,..,"  Mali, Bamako (1994-1996)",0,..,..,..,
Africa,  The Gambia (1997-1998),1,0.1,0.2,..,  The Gambia (1997-1998),0,0,0,0,  The Gambia (1997-1998),0,0,0,0,  The Gambia (1997-1998),0,0,0,0,  The Gambia (1997-1998),0,0,0,0,  The Gambia (1997-1998),0,0,0,0,  The Gambia (1997-1998),0,0,0,0,  The Gambia (1997-1998),0,0,0,0,  The Gambia (1997-1998),0,0,0,0,  The Gambia (1997-1998),0,0,0,0,  The Gambia (1997-1998),1,3.6,3.6,0.02,  The Gambia (1997-1998),0,0,0,0,  The Gambia (1997-1998),0,0,0,0,  The Gambia (1997-1998),0,0,0,0,  The Gambia (1997-1998),0,..,..,..,  The Gambia (1997-1998),0,..,..,..,  The Gambia (1997-1998),0,..,..,..,  The Gambia (1997-1998),0,..,..,..,  The Gambia (1997-1998),0,..,..,..,
Africa,"  Uganda, Kyadondo County (1993-1997)",10,0.4,1,..,"  Uganda, Kyadondo County (1993-1997)",0,0,0,0,"  Uganda, Kyadondo County (1993-1997)",0,0,0,0,"  Uganda, Kyadondo County (1993-1997)",0,0,0,0,"  Uganda, Kyadondo County (1993-1997)",0,0,0,0,"  Uganda, Kyadondo County (1993-1997)",1,0.3,0.3,0,"  Uganda, Kyadondo County (1993-1997)",1,0.3,0.3,0,"  Uganda, Kyadondo County (1993-1997)",0,0,0,0,"  Uganda, Kyadondo County (1993-1997)",1,0.7,0.7,0,"  Uganda, Kyadondo County (1993-1997)",0,0,0,0,"  Uganda, Kyadondo County (1993-1997)",2,3.2,3.2,0.02,"  Uganda, Kyadondo County (1993-1997)",2,4,4,0.02,"  Uganda, Kyadondo County (1993-1997)",0,0,0,0,"  Uganda, Kyadondo County (1993-1997)",0,0,0,0,"  Uganda, Kyadondo County (1993-1997)",0,0,0,0,"  Uganda, Kyadondo County (1993-1997)",1,10,10,0.05,"  Uganda, Kyadondo County (1993-1997)",1,17.4,17.4,0.09,"  Uganda, Kyadondo County (1993-1997)",0,..,..,..,"  Uganda, Kyadondo County (1993-1997)",1,..,..,..,
Africa,"  Zimbabwe, Harare: African (1993-1997)",4,0.1,0.5,..,"  Zimbabwe, Harare: African (1993-1997)",0,0,0,0,"  Zimbabwe, Harare: African (1993-1997)",0,0,0,0,"  Zimbabwe, Harare: African (1993-1997)",0,0,0,0,"  Zimbabwe, Harare: African (1993-1997)",0,0,0,0,"  Zimbabwe, Harare: African (1993-1997)",0,0,0,0,"  Zimbabwe, Harare: African (1993-1997)",0,0,0,0,"  Zimbabwe, Harare: African (1993-1997)",0,0,0,0,"  Zimbabwe, Harare: African (1993-1997)",0,0,0,0,"  Zimbabwe, Harare: African (1993-1997)",0,0,0,0,"  Zimbabwe, Harare: African (1993-1997)",0,0,0,0,"  Zimbabwe, Harare: African (1993-1997)",0,0,0,0,"  Zimbabwe, Harare: African (1993-1997)",1,1.4,1.4,0.01,"  Zimbabwe, Harare: African (1993-1997)",1,2.1,2.1,0.01,"  Zimbabwe, Harare: African (1993-1997)",0,0,0,0,"  Zimbabwe, Harare: African (1993-1997)",0,0,0,0,"  Zimbabwe, Harare: African (1993-1997)",2,..,..,..,"  Zimbabwe, Harare: African (1993-1997)",0,..,..,..,"  Zimbabwe, Harare: African (1993-1997)",0,..,..,..,
Africa,,51,2.3,4.3,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,0,0,0,0,0,,1,0.3,0.3,0,,1,0.3,0.3,0,,2,1.3,1.3,0.01,,3,1.3,1.3,0,,2,2.2,2.2,0.01,,6,10,10.1,0.05,,6,8.9,9,0.05,,6,12.8,12.9,0.07,,7,11.6,11.8,0.06,,4,19.1,19.1,0.1,,5,26,26.2,0.13,,6,17.4,17.4,0.09,,0,0,0,0,,1,0,0,0,
South America,"Argentina, Bahia Blanca (1993-1997)",9,1,0.9,..,"Argentina, Bahia Blanca (1993-1997)",0,0,0,0,"Argentina, Bahia Blanca (1993-1997)",0,0,0,0,"Argentina, Bahia Blanca (1993-1997)",0,0,0,0,"Argentina, Bahia Blanca (1993-1997)",1,1.2,1.2,0.01,"Argentina, Bahia Blanca (1993-1997)",0,0,0,0,"Argentina, Bahia Blanca (1993-1997)",0,0,0,0,"Argentina, Bahia Blanca (1993-1997)",0,0,0,0,"Argentina, Bahia Blanca (1993-1997)",2,3.4,3.4,0.02,"Argentina, Bahia Blanca (1993-1997)",0,0,0,0,"Argentina, Bahia Blanca (1993-1997)",0,0,0,0,"Argentina, Bahia Blanca (1993-1997)",0,0,0,0,"Argentina, Bahia Blanca (1993-1997)",0,0,0,0,"Argentina, Bahia Blanca (1993-1997)",4,10.7,10.7,0.05,"Argentina, Bahia Blanca (1993-1997)",1,3.1,3.1,0.02,"Argentina, Bahia Blanca (1993-1997)",0,0,0,0,"Argentina, Bahia Blanca (1993-1997)",1,..,..,..,"Argentina, Bahia Blanca (1993-1997)",0,..,..,..,"Argentina, Bahia Blanca (1993-1997)",0,..,..,..,
South America,"  Argentina, Concordia (1993-1997)",1,0.3,0.3,..,"  Argentina, Concordia (1993-1997)",0,0,0,0,"  Argentina, Concordia (1993-1997)",0,0,0,0,"  Argentina, Concordia (1993-1997)",0,0,0,0,"  Argentina, Concordia (1993-1997)",0,0,0,0,"  Argentina, Concordia (1993-1997)",0,0,0,0,"  Argentina, Concordia (1993-1997)",0,0,0,0,"  Argentina, Concordia (1993-1997)",0,0,0,0,"  Argentina, Concordia (1993-1997)",0,0,0,0,"  Argentina, Concordia (1993-1997)",0,0,0,0,"  Argentina, Concordia (1993-1997)",0,0,0,0,"  Argentina, Concordia (1993-1997)",1,6.6,6.6,0.03,"  Argentina, Concordia (1993-1997)",0,0,0,0,"  Argentina, Concordia (1993-1997)",0,0,0,0,"  Argentina, Concordia (1993-1997)",0,0,0,0,"  Argentina, Concordia (1993-1997)",0,0,0,0,"  Argentina, Concordia (1993-1997)",0,..,..,..,"  Argentina, Concordia (1993-1997)",0,..,..,..,"  Argentina, Concordia (1993-1997)",0,..,..,..,
