,Breast(C50)-Male age 0-85+,,,,,,,,age 0-4,,,,,,,,age 5-9,,,,,,,,age 10-14,,,,,,,,age 15-19,,,,,,,,age 20-24,,,,,,,,age 25-29,,,,,,,,age 30-34,,,,,,,,age 35-39,,,,,,,age 40-44,,,,,,,,,age 45-49,,,,,,,age 50-54,,,,,,,,age 55-59,,,,,,,,age 60-64,,,,,,,,age 65-69,,,,,,,,age 70-74,,,,,,,,age 75-79,,,,,,,,age 80-84,,,,,,,,age 85+,,,,,,,,
Continent,Population,Cases,Crude Rate,Std Dev,ASR ,(W),Cumulative Rate,Population,Cases,Crude Rate,Std Dev,ASR (W),Std Dev,Cumulative Rate,Std Dev,Population,Cases,Crude Rate,Std Dev,ASR(W) ,Std Dev,Cumulative Rate,Std Dev,Population,Cases,Crude Rate,Std Dev,ASR (W),Std Dev,Cumulative Rate,Std Dev,Population,Cases,Crude Rate,Std Dev,ASR (W),Std Dev,Cumulative Rate,Std Dev,Population,Cases,Crude Rate,Std Dev,ASR (W),Std Dev,Cumulative Rate,Std Dev,Population,Cases,Crude Rate,Std Dev,ASR (W),Std Dev,Cumulative Rate,Std Dev,Population,Cases,Crude Rate,Std Dev,ASR (W),Std Dev,Cumulative Rate,Std Dev,Population,Cases,Crude Rate,Std Dev,ASR (W),Std Dev,Cumulative Rate,Std Dev,Population,Cases,Crude Rate,Std Dev,ASR (W),Std Dev,Cumulative Rate,Std Dev,Population,Cases,Crude Rate,Std Dev,ASR (W),Std Dev,Cumulative Rate,Std Dev,Population,Cases,Crude Rate,Std Dev,ASR (W),Std Dev,Cumulative Rate,Std Dev,Population,Cases,Crude Rate,Std Dev,ASR (W),Std Dev,Cumulative Rate,Std Dev,Population,Cases,Crude Rate,Std Dev,ASR (W),Std Dev,Cumulative Rate,Std Dev,Population,Cases,Crude Rate,Std Dev,ASR (W),Std Dev,Cumulative Rate,Std Dev,Population,Cases,Crude Rate,Std Dev,ASR (W),Std Dev,Cumulative Rate,Std Dev,Population,Cases,Crude Rate,Std Dev,ASR (W),Std Dev,Cumulative Rate,Std Dev,Population,Cases,Crude Rate,Std Dev,ASR (W),Std Dev,Cumulative Rate,Std Dev,Population,Cases,Crude Rate,Std Dev,ASR (W),Std Dev,Cumulative Rate,,https://ci5.iarc.fr/CI5-XI/Pages/summary_table_site_sel.aspx
Africa,"*Algeria, Setif",37,1.20,0.20,1.40,0.240,NULL,"*Algeria, Setif",0,0.00,0.00,0.00,0.00,0.000,0.000,"*Algeria, Setif",0,0.00,0.00,0.00,0.00,0.000,0.000,"*Algeria, Setif",0,0.00,0.00,0.00,0.00,0.000,0.000,"*Algeria, Setif",0,0.00,0.00,0.00,0.00,0.000,0.000,"*Algeria, Setif",0,0.00,0.00,0.00,0.00,0.000,0.000,"*Algeria, Setif",1,0.30,0.29,0.30,0.29,0.000,0.001,"*Algeria, Setif",5,1.80,0.80,1.80,0.80,0.010,0.004,"*Algeria, Setif",5,2.30,1.01,2.30,1.01,0.010,0.005,"*Algeria, Setif",2,1.10,0.80,1.10,0.80,0.010,0.004,"*Algeria, Setif",7,4.60,1.74,4.60,1.74,0.020,0.009,"*Algeria, Setif",3,2.40,1.40,2.40,1.40,0.010,0.007,"*Algeria, Setif",5,5.10,2.27,5.10,2.27,0.030,0.011,"*Algeria, Setif",0,0.00,0.00,0.00,0.00,0.000,0.000,"*Algeria, Setif",3,7.30,4.19,7.30,4.19,0.040,0.021,"*Algeria, Setif",2,5.20,3.66,5.20,3.66,0.030,0.018,"*Algeria, Setif",2,NULL,NULL,NULL,NULL,NULL,NULL,"*Algeria, Setif",1,NULL,NULL,NULL,NULL,NULL,NULL,"*Algeria, Setif",1,NULL,NULL,NULL,NULL,NULL,NULL,
Africa,"*Algeria, Batna",14,0.50,0.13,0.70,0.180,NULL,"*Algeria, Batna",0,0.00,0.00,0.00,0.00,0.000,0.000,"*Algeria, Batna",0,0.00,0.00,0.00,0.00,0.000,0.000,"*Algeria, Batna",0,0.00,0.00,0.00,0.00,0.000,0.000,"*Algeria, Batna",0,0.00,0.00,0.00,0.00,0.000,0.000,"*Algeria, Batna",0,0.00,0.00,0.00,0.00,0.000,0.000,"*Algeria, Batna",0,0.00,0.00,0.00,0.00,0.000,0.000,"*Algeria, Batna",0,0.00,0.00,0.00,0.00,0.000,0.000,"*Algeria, Batna",0,0.00,0.00,0.00,0.00,0.000,0.000,"*Algeria, Batna",0,0.00,0.00,0.00,0.00,0.000,0.000,"*Algeria, Batna",4,2.90,1.46,2.90,1.46,0.010,0.007,"*Algeria, Batna",2,1.80,1.28,1.80,1.28,0.010,0.006,"*Algeria, Batna",0,0.00,0.00,0.00,0.00,0.000,0.000,"*Algeria, Batna",2,3.70,2.64,3.70,2.64,0.020,0.013,"*Algeria, Batna",1,2.10,2.07,2.10,2.07,0.010,0.010,"*Algeria, Batna",1,2.50,2.52,2.50,2.52,0.010,0.013,"*Algeria, Batna",3,NULL,NULL,NULL,NULL,NULL,NULL,"*Algeria, Batna",1,NULL,NULL,NULL,NULL,NULL,NULL,"*Algeria, Batna",0,NULL,NULL,NULL,NULL,NULL,NULL,
Africa,"*Kenya, Nairobi",62,0.80,0.10,2.30,0.360,NULL,"*Kenya, Nairobi",0,0.00,0.00,0.00,0.00,0.000,0.000,"*Kenya, Nairobi",1,0.10,0.13,0.10,0.13,0.000,0.001,"*Kenya, Nairobi",0,0.00,0.00,0.00,0.00,0.000,0.000,"*Kenya, Nairobi",1,0.20,0.17,0.20,0.17,0.000,0.001,"*Kenya, Nairobi",0,0.00,0.00,0.00,0.00,0.000,0.000,"*Kenya, Nairobi",0,0.00,0.00,0.00,0.00,0.000,0.000,"*Kenya, Nairobi",4,0.40,0.22,0.40,0.22,0.000,0.001,"*Kenya, Nairobi",2,0.30,0.21,0.30,0.21,0.000,0.001,"*Kenya, Nairobi",7,1.60,0.59,1.60,0.59,0.010,0.003,"*Kenya, Nairobi",10,3.00,0.96,3.00,0.96,0.020,0.005,"*Kenya, Nairobi",6,2.90,1.18,2.90,1.18,0.010,0.006,"*Kenya, Nairobi",5,4.10,1.84,4.10,1.84,0.020,0.009,"*Kenya, Nairobi",14,18.60,4.97,18.60,4.97,0.090,0.025,"*Kenya, Nairobi",3,8.20,4.71,8.20,4.71,0.040,0.024,"*Kenya, Nairobi",3,13.40,7.76,13.40,7.76,0.070,0.039,"*Kenya, Nairobi",5,NULL,NULL,NULL,NULL,NULL,NULL,"*Kenya, Nairobi",0,NULL,NULL,NULL,NULL,NULL,NULL,"*Kenya, Nairobi",1,NULL,NULL,NULL,NULL,NULL,NULL,
Africa, Seychelles,2,1.10,0.80,1.00,0.690,NULL, Seychelles,0,0.00,0.00,0.00,0.00,0.000,0.000, Seychelles,0,0.00,0.00,0.00,0.00,0.000,0.000, Seychelles,0,0.00,0.00,0.00,0.00,0.000,0.000, Seychelles,0,0.00,0.00,0.00,0.00,0.000,0.000, Seychelles,0,0.00,0.00,0.00,0.00,0.000,0.000, Seychelles,0,0.00,0.00,0.00,0.00,0.000,0.000, Seychelles,0,0.00,0.00,0.00,0.00,0.000,0.000, Seychelles,0,0.00,0.00,0.00,0.00,0.000,0.000, Seychelles,0,0.00,0.00,0.00,0.00,0.000,0.000, Seychelles,0,0.00,0.00,0.00,0.00,0.000,0.000, Seychelles,1,8.80,8.84,8.80,8.84,0.040,0.044, Seychelles,1,13.10,13.10,13.10,13.10,0.070,0.066, Seychelles,0,0.00,0.00,0.00,0.00,0.000,0.000, Seychelles,0,0.00,0.00,0.00,0.00,0.000,0.000, Seychelles,0,0.00,0.00,0.00,0.00,0.000,0.000, Seychelles,0,NULL,NULL,NULL,NULL,NULL,NULL, Seychelles,0,NULL,NULL,NULL,NULL,NULL,NULL, Seychelles,0,NULL,NULL,NULL,NULL,NULL,NULL,
Africa,"*South Africa, Eastern Cape",14,0.60,0.15,1.00,0.260,NULL,"*South Africa, Eastern Cape",0,0.00,0.00,0.00,0.00,0.000,0.000,"*South Africa, Eastern Cape",0,0.00,0.00,0.00,0.00,0.000,0.000,"*South Africa, Eastern Cape",0,0.00,0.00,0.00,0.00,0.000,0.000,"*South Africa, Eastern Cape",0,0.00,0.00,0.00,0.00,0.000,0.000,"*South Africa, Eastern Cape",0,0.00,0.00,0.00,0.00,0.000,0.000,"*South Africa, Eastern Cape",0,0.00,0.00,0.00,0.00,0.000,0.000,"*South Africa, Eastern Cape",0,0.00,0.00,0.00,0.00,0.000,0.000,"*South Africa, Eastern Cape",0,0.00,0.00,0.00,0.00,0.000,0.000,"*South Africa, Eastern Cape",2,2.90,2.03,2.90,2.03,0.010,0.010,"*South Africa, Eastern Cape",1,1.50,1.51,1.50,1.51,0.010,0.008,"*South Africa, Eastern Cape",2,2.90,2.04,2.90,2.04,0.010,0.010,"*South Africa, Eastern Cape",2,3.40,2.37,3.40,2.37,0.020,0.012,"*South Africa, Eastern Cape",2,3.60,2.52,3.60,2.52,0.020,0.013,"*South Africa, Eastern Cape",1,2.50,2.45,2.50,2.45,0.010,0.012,"*South Africa, Eastern Cape",3,8.00,4.64,8.00,4.64,0.040,0.023,"*South Africa, Eastern Cape",1,NULL,NULL,NULL,NULL,NULL,NULL,"*South Africa, Eastern Cape",0,NULL,NULL,NULL,NULL,NULL,NULL,"*South Africa, Eastern Cape",0,NULL,NULL,NULL,NULL,NULL,NULL,
Africa,"*Uganda, Kyadondo",30,0.60,0.10,2.10,0.440,NULL,"*Uganda, Kyadondo",0,0.00,0.00,0.00,0.00,0.000,0.000,"*Uganda, Kyadondo",0,0.00,0.00,0.00,0.00,0.000,0.000,"*Uganda, Kyadondo",0,0.00,0.00,0.00,0.00,0.000,0.000,"*Uganda, Kyadondo",0,0.00,0.00,0.00,0.00,0.000,0.000,"*Uganda, Kyadondo",1,0.10,0.14,0.10,0.14,0.000,0.001,"*Uganda, Kyadondo",2,0.30,0.23,0.30,0.23,0.000,0.001,"*Uganda, Kyadondo",3,0.70,0.39,0.70,0.39,0.000,0.002,"*Uganda, Kyadondo",0,0.00,0.00,0.00,0.00,0.000,0.000,"*Uganda, Kyadondo",3,1.50,0.85,1.50,0.85,0.010,0.004,"*Uganda, Kyadondo",3,2.50,1.45,2.50,1.45,0.010,0.007,"*Uganda, Kyadondo",3,3.60,2.07,3.60,2.07,0.020,0.010,"*Uganda, Kyadondo",3,6.70,3.88,6.70,3.88,0.030,0.019,"*Uganda, Kyadondo",5,12.90,5.77,12.90,5.77,0.060,0.029,"*Uganda, Kyadondo",3,13.60,7.83,13.60,7.83,0.070,0.039,"*Uganda, Kyadondo",3,16.80,9.72,16.80,9.72,0.080,0.049,"*Uganda, Kyadondo",0,NULL,NULL,NULL,NULL,NULL,NULL,"*Uganda, Kyadondo",0,NULL,NULL,NULL,NULL,NULL,NULL,"*Uganda, Kyadondo",1,NULL,NULL,NULL,NULL,NULL,NULL,
Africa,"*Zimbabwe, Harare: African",15,0.70,0.18,1.80,0.480,NULL,"*Zimbabwe, Harare: African",0,0.00,0.00,0.00,0.00,0.000,0.000,"*Zimbabwe, Harare: African",0,0.00,0.00,0.00,0.00,0.000,0.000,"*Zimbabwe, Harare: African",0,0.00,0.00,0.00,0.00,0.000,0.000,"*Zimbabwe, Harare: African",0,0.00,0.00,0.00,0.00,0.000,0.000,"*Zimbabwe, Harare: African",0,0.00,0.00,0.00,0.00,0.000,0.000,"*Zimbabwe, Harare: African",0,0.00,0.00,0.00,0.00,0.000,0.000,"*Zimbabwe, Harare: African",0,0.00,0.00,0.00,0.00,0.000,0.000,"*Zimbabwe, Harare: African",1,0.60,0.61,0.60,0.61,0.000,0.003,"*Zimbabwe, Harare: African",0,0.00,0.00,0.00,0.00,0.000,0.000,"*Zimbabwe, Harare: African",2,2.90,2.06,2.90,2.06,0.010,0.010,"*Zimbabwe, Harare: African",2,4.00,2.81,4.00,2.81,0.020,0.014,"*Zimbabwe, Harare: African",3,7.50,4.33,7.50,4.33,0.040,0.022,"*Zimbabwe, Harare: African",0,0.00,0.00,0.00,0.00,0.000,0.000,"*Zimbabwe, Harare: African",2,12.20,8.63,12.20,8.63,0.060,0.043,"*Zimbabwe, Harare: African",1,8.40,8.39,8.40,8.39,0.040,0.042,"*Zimbabwe, Harare: African",4,NULL,NULL,NULL,NULL,NULL,NULL,"*Zimbabwe, Harare: African",0,NULL,NULL,NULL,NULL,NULL,NULL,"*Zimbabwe, Harare: African",0,NULL,NULL,NULL,NULL,NULL,NULL,
,,174,5.50,1.66,10.30,2.650,0.000,,0,0.00,0.00,0.00,0.00,0.00,0.00,,1,0.10,0.13,0.10,0.13,0.000,0.001,,0,0.00,0.00,0.00,0.00,0.000,0.000,,1,0.20,0.17,0.20,0.17,0.000,0.001,,1,0.10,0.14,0.10,0.14,0.000,0.001,,3,0.60,0.52,0.60,0.52,0.000,0.002,,12,2.90,1.41,2.90,1.41,0.010,0.007,,8,3.20,1.83,3.20,1.83,0.010,0.009,,14,7.10,4.27,7.10,4.27,0.040,0.021,,27,17.40,9.18,17.40,9.18,0.080,0.046,,19,26.40,19.62,26.40,19.62,0.120,0.097,,19,39.90,27.79,39.90,27.79,0.210,0.139,,23,38.80,15.90,38.80,15.90,0.190,0.080,,13,45.90,29.88,45.90,29.88,0.230,0.149,,13,54.30,36.69,54.30,36.69,0.270,0.184,,15,0.00,0.00,0.00,0.00,0.000,0.000,,2,0.00,0.00,0.00,0.00,0.000,0.000,,3,0.00,0.00,0.00,0.00,0.000,,
Latin America and Caribbea,"Argentina, Chaco",18,0.70,0.16,0.80,0.180,NULL,"Argentina, Chaco",0,0.00,0.00,0.00,0.00,0.000,0.000,"Argentina, Chaco",0,0.00,0.00,0.00,0.00,0.000,0.000,"Argentina, Chaco",0,0.00,0.00,0.00,0.00,0.000,0.000,"Argentina, Chaco",0,0.00,0.00,0.00,0.00,0.000,0.000,"Argentina, Chaco",0,0.00,0.00,0.00,0.00,0.000,0.000," Argentina, Chaco",0,0.00,,0.00,0.00,0.000,0.000,"Argentina, Chaco",0,0.00,0.00,0.00,0.00,0.000,0.000,"Argentina, Chaco",0,0.00,0.00,0.00,0.00,0.00,0.00,"Argentina, Chaco",0,0.00,0.00,0.00,0.00,0.000,0.000,"Argentina, Chaco",2,1.40,1.02,1.40,1.02,0.010,0.005,"Argentina, Chaco",0,0.00,0.00,0.00,0.00,0.000,0.000,"Argentina, Chaco",3,2.80,1.60,2.80,1.60,0.010,0.008,"Argentina, Chaco",2,2.50,1.74,2.50,1.74,0.010,0.009," Argentina, Chaco",4,6.80,3.41,6.80,3.41,0.030,0.017," Argentina, Chaco",3,6.80,3.93,6.80,3.93,0.030,0.020,"Argentina, Chaco",4,13.50,6.74,13.50,6.74,0.070,0.034,"Argentina, Chaco",0,NULL,NULL,NULL,NULL,NULL,NULL,"Argentina, Chaco",0,NULL,NULL,NULL,NULL,NULL,NULL,
